time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,1.3967,1.2858,1.2355,1.8004,1.3205,1.4159,1.407,1.3469,0.996,1.556,1.7181,1.0789,1.9018,1.8328,1.7903
0.422,2.248,2.1107,2.0301,2.6464,2.1293,2.2374,2.2305,2.1834,1.7847,2.4034,2.573,1.8788,2.7475,2.6727,2.6271
0.844,3.1112,2.9649,2.9019,3.5963,2.9898,3.1066,3.1264,3.0466,2.8395,3.284,3.4528,2.7243,3.632,3.5493,3.5313
1.266,4.0399,3.8575,3.8252,4.5122,3.8823,4.0298,4.0308,3.9641,3.7341,4.2208,4.3908,3.6083,4.5777,4.4556,4.5628
1.688,4.9812,4.8018,4.7463,5.4817,4.8124,4.9602,4.9678,4.9209,4.6546,5.1493,5.3702,4.6616,5.5148,5.3936,5.4996
2.11,5.9323,5.7653,5.6921,6.4484,5.9616,5.911,5.9221,5.8705,5.7936,6.1422,6.3319,5.6012,6.4688,6.3543,6.4833
2.532,6.941,6.7617,6.6559,7.5698,6.9446,6.9056,6.9043,6.8388,6.77,7.1364,7.3794,6.565,7.4466,7.3271,7.4743
2.954,7.9275,7.7427,7.6738,8.5668,8.0634,7.897,7.8932,7.8269,7.7558,8.1347,8.4098,7.5449,8.4413,8.3171,8.4634
3.376,8.8729,8.7404,8.6843,8.3837,8.831,8.7584,8.7757,8.7932,8.6695,8.8362,8.7754,8.5428,8.5881,8.7587,8.6008
3.797,8.3887,8.6147,8.5638,7.3661,7.9911,8.0864,8.0295,8.3137,7.9614,7.9955,7.7825,8.47,7.5692,7.7828,7.552
4.219,7.3717,7.5966,7.543,6.3716,6.9696,6.998,7.0205,7.2387,6.9547,6.9835,6.6472,7.4151,6.5758,6.7857,6.5623
4.641,6.3798,6.6046,6.5442,5.2764,5.9596,6.0107,6.0378,6.235,5.9708,5.968,5.6525,6.4254,5.4655,5.79,5.5927
5.063,5.3684,5.6093,5.5695,4.3316,4.9832,5.0524,5.0443,5.2687,5.012,4.9725,4.7064,5.4587,4.5041,4.7264,4.6463
5.485,4.3986,4.6525,4.6206,3.4195,4.0548,4.1054,4.1095,4.3217,4.0748,4.009,3.7854,4.5141,3.5522,3.8034,3.7237
5.907,3.4876,3.7063,3.6826,2.526,3.1411,3.1984,3.2029,3.4087,3.1652,3.0937,2.8903,3.5979,2.6576,2.9137,2.8122
6.329,2.6091,2.8182,2.7427,1.708,2.2735,2.3239,2.3002,2.5267,2.2633,2.2244,2.0071,2.7122,1.8099,2.0599,1.9419
6.751,1.769,1.9454,1.8909,0.9709,1.4722,1.4938,1.4649,1.6813,1.491,1.3529,1.1972,1.8892,1.1149,1.305,1.1942
7.173,1.0045,1.1534,1.1384,0.285,0.6522,0.6593,0.7172,0.9651,0.7399,0.6706,0.5194,1.1317,0.5029,0.6235,0.5241
7.595,0.3217,0.4822,0.4628,-0.2333,0.0584,0.0354,0.1025,0.3482,0.1113,0.1011,-0.0103,0.488,-0.0247,0.0774,-0.0043
8.017,-0.1775,-0.0751,-0.0731,-0.4206,-0.3646,-0.4261,-0.3623,-0.1558,-0.35,-0.3105,-0.3371,-0.035,-0.3224,-0.2977,-0.3367
8.439,-0.3335,-0.338,-0.3507,-0.0106,-0.2252,-0.3741,-0.4221,-0.3059,-0.3932,-0.1647,0.0088,-0.2991,0.0053,-0.0649,-0.0448
8.861,0.1006,0.0536,0.0536,0.5806,0.26,0.094,0.0265,0.1193,0.1235,0.3994,0.556,0.0524,0.5371,0.4322,0.477
9.283,0.7737,0.617,0.6986,1.3209,0.8914,0.7043,0.6206,0.6934,0.7358,1.0728,1.2619,0.5909,1.2088,1.0971,1.1365
9.705,1.5097,1.3188,1.4147,2.1314,1.6475,1.4472,1.3467,1.4079,1.4754,1.8421,2.0649,1.2704,1.9931,1.8791,1.9401
10.127,2.3346,2.1367,2.2561,3.0054,2.4796,2.3208,2.1779,2.3251,2.332,2.683,2.9257,2.0626,2.856,2.7296,2.8
10.549,3.2224,3.0314,3.1366,3.9023,3.3861,3.1968,3.0517,3.197,3.2078,3.5681,3.8487,2.9154,3.7457,3.6145,3.6849
10.97,4.125,3.9386,4.0584,4.941,4.2972,4.1183,3.9777,4.2339,4.1443,4.4852,4.7711,3.9369,4.79,4.5468,4.6085
11.392,5.0522,4.864,5.0112,5.8882,5.2436,5.0571,4.9118,5.1845,5.1203,5.4547,5.734,4.8845,5.7616,5.5033,5.5792
11.814,6.0484,5.819,5.9609,6.8887,6.2094,6.1255,5.8635,6.1624,6.0771,6.4398,6.7323,5.9444,6.7542,6.4892,6.5356
12.236,7.0458,6.8138,6.9306,7.8733,7.1835,7.1019,6.8359,7.137,7.0585,7.4493,7.7195,7.0005,7.753,7.4665,7.5429
12.658,8.0449,7.8024,7.919,8.7866,8.171,8.0968,7.8536,8.1325,8.0569,8.4441,8.7199,7.9866,8.7633,8.4656,8.5376
13.08,8.9332,8.8006,8.9129,8.1648,8.8191,8.7533,8.7996,8.9321,8.7588,8.7096,8.5949,8.9269,8.4444,8.7917,8.6332
13.502,8.2592,8.614,8.2609,7.1361,7.7743,7.8799,7.9875,8.1484,7.8417,7.6527,7.5723,8.211,7.3898,7.7168,7.576
13.924,7.2425,7.4726,7.2083,6.1159,6.7511,6.8652,6.9791,7.135,6.8319,6.642,6.5379,7.1957,6.3951,6.7161,6.5819
14.346,6.2218,6.4813,6.1907,5.0899,5.7364,5.8862,5.9908,6.1087,5.849,5.6661,5.5647,6.1814,5.4262,5.7434,5.5582
14.768,5.2576,5.5091,5.2211,4.1505,4.7773,4.9284,4.8903,5.1396,4.8802,4.6996,4.5655,5.2189,4.48,4.791,4.6148
15.19,4.3133,4.5622,4.2815,3.2064,3.8157,3.9649,3.9269,4.1745,3.9449,3.775,3.6433,4.2788,3.5455,3.8648,3.6861
15.612,3.4049,3.6472,3.3304,2.3268,2.8874,3.0272,2.9888,3.2355,2.9234,2.8447,2.7371,3.3678,2.6192,2.971,2.7996
16.034,2.4782,2.7407,2.4216,1.3924,2.028,2.142,2.1204,2.3607,2.0557,1.9882,1.8851,2.4725,1.7751,2.113,1.8203
16.456,1.6462,1.8587,1.5919,0.6571,1.2239,1.2939,1.301,1.4749,1.2431,1.173,1.0809,1.6399,1.0037,1.148,1.0215
16.878,0.8894,1.0771,0.8413,0.0423,0.5254,0.5716,0.5799,0.7407,0.5233,0.4828,0.4238,0.8768,0.3587,0.4803,0.375
17.3,0.243,0.4151,0.213,-0.4057,-0.025,-0.0152,-0.0114,0.15,-0.0477,-0.0433,-0.0782,0.261,-0.1333,-0.0338,-0.1159
17.722,-0.2297,-0.0971,-0.255,-0.382,-0.4057,-0.4465,-0.44,-0.2884,-0.469,-0.3655,-0.3275,-0.2044,-0.3644,-0.3295,-0.3491
18.143,-0.2794,-0.3382,-0.3033,0.0926,-0.1472,-0.3626,-0.3216,-0.2565,-0.3268,-0.0669,0.0417,-0.269,-0.0023,-0.0292,0.01
18.565,0.1935,0.0897,0.1642,0.7363,0.3608,0.1143,0.1526,0.2009,0.1866,0.4799,0.5822,0.18,0.5572,0.4926,0.5572
18.987,0.8033,0.6601,0.7633,1.4907,1.0151,0.7315,0.8022,0.8039,0.8212,1.1501,1.2678,0.7686,1.2648,1.1521,1.2422
19.409,1.5419,1.4642,1.4937,2.3244,1.8084,1.4912,1.5735,1.5372,1.5814,1.933,2.1858,1.4893,2.0876,1.9892,2.048
19.831,2.3751,2.3439,2.3143,3.1443,2.8434,2.4275,2.4173,2.3645,2.4453,2.7824,3.0695,2.3069,2.9482,2.85,2.9045
20.253,3.2614,3.2132,3.1798,2.731,3.2078,3.1715,3.1937,3.2236,3.169,3.2734,3.121,3.168,3.1399,3.2534,3.1949
20.675,2.9644,2.9579,2.983,1.7592,2.3575,2.5877,2.6273,2.8894,2.4912,2.4757,2.2401,2.9779,2.2679,2.4232,2.3421
21.097,2.062,2.0643,2.1098,0.9501,1.5175,1.7038,1.7503,2.0112,1.6306,1.5192,1.3858,2.1053,1.4372,1.584,1.5134
21.519,1.2234,1.2576,1.2686,0.1845,0.7583,0.9111,0.9549,1.1931,0.8482,0.7662,0.6547,1.2899,0.6853,0.6834,0.7683
21.941,0.5165,0.5304,0.5426,-0.3338,0.127,0.1532,0.2511,0.4855,0.1843,0.1447,-0.0038,0.4903,0.0791,0.0681,0.1432
22.363,-0.067,-0.0358,-0.0357,0.0,-0.3493,-0.3569,-0.2804,-0.0796,-0.3965,-0.3237,-0.4064,-0.0667,-0.3719,-0.3658,-0.3273
22.785,-0.4553,-0.4236,-0.4541,0.0,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,-0.4462,0.0,0.0,0.0
