time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,0.2065,-0.037,0.1733,0.574,0.1478,-0.0355,0.4482,-0.0794,0.0291,0.4402,-0.0917,0.2102,0.1958,-0.0271,0.1442
0.422,1.0589,1.2622,0.9704,1.4084,0.8937,0.7013,1.2135,0.5599,0.6833,1.2546,0.5678,0.9293,1.2167,0.6222,0.9631
0.844,2.0349,3.3468,1.9271,2.3795,1.8561,1.6202,2.172,1.4464,1.5919,2.2628,1.4905,1.868,2.2242,1.5129,1.9818
1.266,3.0784,4.4631,2.9741,3.4257,2.9017,2.648,3.3453,2.61,2.6137,3.3887,2.5234,2.908,3.3088,2.5862,3.1138
1.688,4.1965,6.6024,4.3151,4.5548,4.0117,3.8048,4.4953,3.7408,3.8958,4.5695,3.6438,4.1932,4.4626,3.6837,4.25
2.11,5.3603,5.8437,5.5252,5.7418,5.1963,4.9731,5.6597,4.9256,5.1189,5.7787,4.8966,5.3753,5.8687,4.8967,5.4606
2.532,6.3771,3.6692,6.5159,6.7121,6.4383,6.183,6.8133,6.179,6.3493,6.9394,6.1227,6.6069,6.6623,6.1414,6.6738
2.954,5.3813,2.5536,5.6313,5.7709,6.3782,6.4439,6.1733,6.6174,6.6418,6.2169,6.6911,6.3589,5.5111,6.6707,5.9594
3.376,4.1799,0.6662,4.4418,4.53,4.9538,5.1697,4.8631,5.3876,5.3642,4.9556,5.461,5.0715,4.2242,5.4209,4.7233
3.797,2.9407,0.0,3.2226,3.3691,3.734,3.7218,3.6675,4.1613,4.0945,3.7406,4.1843,3.8581,3.0396,4.1791,3.5279
4.219,1.8862,-0.0002,2.1578,2.291,2.4763,2.5833,2.5189,2.9618,2.896,2.6016,2.9994,2.7061,1.9192,3.0009,2.3983
4.641,0.9154,0.6703,1.1681,1.2668,1.3559,1.5441,1.4772,1.858,1.7727,1.45,1.8777,1.6297,0.8864,1.8812,1.3494
5.063,0.1044,1.5742,0.3022,0.3913,0.4594,0.5991,0.5552,0.819,0.7618,0.5104,0.855,0.6096,0.0432,0.8702,0.4469
5.485,-0.3426,2.4969,-0.2636,-0.1494,-0.1533,-0.1076,-0.0668,0.0344,0.0029,-0.0797,0.0532,-0.0789,-0.3968,0.0015,-0.1937
5.907,0.1299,1.9398,-0.0325,0.071,0.1171,-0.2226,0.0527,-0.3312,-0.2486,0.0756,-0.313,-0.1122,-0.0185,-0.2325,-0.0571
6.329,0.9706,0.9782,0.67,0.8315,0.8614,0.3831,0.7556,0.1796,0.2608,0.8539,0.1031,0.5221,0.7787,0.2694,0.6134
6.751,1.9503,0.1942,1.6277,1.7874,1.8091,1.2634,1.6911,1.0442,1.1243,1.8261,0.9002,1.4159,1.7548,1.0855,1.5459
7.173,2.0887,-0.1369,2.3282,2.4255,2.3144,2.2694,2.4831,2.0444,2.1405,2.4842,2.121,2.4091,2.1652,2.0819,2.3644
7.595,0.998,0.3709,1.4658,1.5191,1.3139,1.8964,1.6913,2.0102,1.9609,1.5308,1.955,1.7981,1.1372,2.0948,1.582
8.017,0.138,1.1737,0.5167,0.5972,0.4074,0.8988,0.7022,0.9702,0.8952,0.5752,0.9162,0.7903,0.2257,1.0191,0.5893
8.439,-0.3947,2.1852,-0.1914,-0.0988,-0.2447,0.0533,-0.0351,0.0414,0.0156,-0.0868,0.0542,0.0101,-0.3831,0.1746,-0.1237
8.861,-0.0696,3.2599,-0.2554,-0.0474,-0.0781,-0.3253,-0.1309,-0.4243,-0.4351,-0.0601,-0.4174,-0.2284,-0.2028,-0.3457,-0.1989
9.283,0.6757,4.4065,0.4202,0.6212,0.5979,0.1626,0.4837,-0.023,-0.0178,0.618,-0.0355,0.3715,0.5913,-0.001,0.4316
9.705,1.6219,5.5896,1.319,1.5152,1.5459,0.9808,1.3695,0.7598,0.7741,1.5588,0.7623,1.2515,1.5488,0.7778,1.3218
10.127,2.6565,6.679,2.3411,2.5249,2.6163,1.9793,2.3883,1.7411,1.9033,2.6517,1.788,2.2711,2.612,1.7395,2.3572
10.549,3.8895,5.9108,3.4317,3.6506,3.7364,3.0869,3.5095,2.8034,3.0154,3.8147,2.8899,3.361,3.7362,2.9611,3.4702
10.97,5.055,4.7135,4.5581,4.8135,4.9296,4.2092,4.9259,3.9346,4.176,4.992,4.0277,4.6829,4.9436,4.1602,4.637
11.392,6.2225,3.5637,5.7463,6.2723,6.1461,5.4331,6.1421,5.11,5.4123,6.2311,5.2258,5.9348,6.3529,5.3851,5.9251
11.814,5.8025,2.3354,6.4121,6.2421,6.0975,6.5321,6.5397,6.3703,6.4921,6.5871,6.4979,6.5704,5.9874,6.5623,6.7098
12.236,4.6126,1.3232,5.2871,4.9938,4.8211,5.7406,5.1483,5.9656,5.6724,5.3015,5.7675,5.3675,4.7087,5.9133,5.4605
12.658,3.4667,0.4741,4.0351,3.8035,3.6562,4.4499,3.9504,4.7122,4.3689,4.0651,4.4651,4.1371,3.4521,4.6131,4.2058
13.08,2.3872,0.0,2.9282,2.6843,2.5316,3.2532,2.7739,3.5122,3.1824,2.8854,3.2678,2.9597,2.2941,3.3771,3.0347
13.502,1.3703,0.0,1.8633,1.5522,1.4761,2.1387,1.6971,2.375,2.0553,1.7673,2.1463,1.8222,1.2153,2.25,1.929
13.924,0.3552,0.0,0.8474,0.5938,0.5295,1.0995,0.7089,1.3029,0.9936,0.7952,1.0876,0.7999,0.2118,1.1711,0.9011
14.346,-0.3075,0.0,0.0487,-0.1276,-0.1969,0.1844,-0.0453,0.3075,-0.0019,-0.0504,0.1824,-0.0067,0.0,0.2614,0.0856
