time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,0.2164,0.5162,0.4009,0.1609,0.0693,0.4297,0.1756,0.1192,0.5362,0.1374,0.6024,0.4191,0.1839,0.1386,0.6529
0.422,0.9272,1.3807,1.1857,0.8711,0.7002,1.2309,0.862,0.7744,1.3608,0.8387,1.4895,1.2037,0.9398,0.8193,1.5216
0.844,1.8764,2.4281,2.2196,1.8146,1.5894,2.3736,1.8026,1.6881,2.3914,1.7897,2.5701,2.2307,1.9016,1.7525,2.5716
1.266,2.9704,3.5597,3.3369,2.8986,2.6473,3.5027,3.0338,2.8015,3.5644,3.0361,3.7286,3.3952,3.0418,2.8499,3.7237
1.688,4.1492,4.7921,4.532,4.1286,3.8348,4.7395,4.2187,4.0108,4.7996,4.2291,4.9578,4.5975,4.2282,4.0434,4.9603
2.11,5.3832,6.2345,5.7873,5.3923,5.0567,6.0023,5.4688,5.2835,6.0741,5.486,6.2776,5.8997,5.5007,5.299,6.2906
2.532,6.6912,6.7547,6.8566,6.6562,6.3388,6.8637,6.7447,6.6102,6.8598,6.7321,6.7869,6.9181,6.7583,6.5909,6.7657
2.954,6.1485,5.4867,5.9113,6.2102,6.6241,5.6998,6.2324,6.4053,5.6524,6.1034,5.4736,5.9094,6.211,6.1533,5.4754
3.376,4.7954,4.1886,4.6148,4.9194,5.2845,4.3659,4.9382,5.0967,4.3799,4.8072,4.1739,4.6235,4.7375,4.8428,4.2093
3.797,3.5716,2.9985,3.4082,3.6913,3.9717,3.1668,3.4452,3.8582,3.1781,3.5512,2.9833,3.3656,3.5141,3.6138,3.0142
4.219,2.3881,1.8717,2.2653,2.5063,2.791,2.0467,2.2986,2.6861,2.0571,2.3555,1.7907,2.2283,2.3575,2.4563,1.8715
4.641,1.3514,0.9143,1.2167,1.4464,1.691,1.0687,1.2667,1.6053,1.0421,1.2572,0.8393,1.0736,1.3171,1.39,0.895
5.063,0.5243,0.2463,0.3658,0.5564,0.7507,0.3493,0.4689,0.6994,0.3233,0.4156,0.19,0.3489,0.4949,0.5196,0.2225
5.485,-0.0093,-0.0274,-0.0266,0.0029,0.1225,-0.0307,-0.0358,0.0901,-0.033,-0.089,-0.0211,-0.0269,-0.0133,-0.0083,-0.0247
5.907,0.0372,0.3457,0.2394,-0.0007,-0.0173,0.2762,0.1599,-0.0225,0.297,0.008,0.4175,0.2417,0.1198,0.0421,0.3871
6.329,0.5985,1.1637,0.9156,0.5326,0.4573,0.9707,0.7727,0.4587,1.0187,0.5781,1.1782,0.9073,0.7384,0.5949,1.1259
6.751,1.4927,2.1568,1.8517,1.382,1.2406,1.959,1.7135,1.2923,2.0079,1.4491,2.2035,2.0031,1.6565,1.4689,2.1563
7.173,2.3782,2.0792,2.3505,2.319,2.2494,2.2934,2.3945,2.291,2.255,2.3213,2.0561,2.2502,2.3943,2.3682,2.1314
7.595,1.6697,1.0487,1.328,1.6507,1.964,1.281,1.364,1.7261,1.2253,1.5525,1.0401,1.2245,1.5168,1.6783,1.1145
8.017,0.7417,0.3081,0.4816,0.7073,0.9796,0.4638,0.5192,0.7556,0.4153,0.633,0.2931,0.4227,0.6216,0.7426,0.3304
8.439,0.0907,-0.1071,-0.0285,0.0516,0.25,-0.0457,-0.0178,0.1098,-0.0626,-0.0009,-0.1044,-0.0627,-0.0154,0.0331,-0.1002
8.861,-0.1669,-0.1413,-0.1392,-0.2158,-0.1524,-0.1322,-0.1555,-0.1737,-0.1381,-0.2434,-0.142,-0.1364,-0.176,-0.1901,-0.1373
9.283,-0.1681,0.0,0.0,-0.2075,-0.1613,0.0,0.0,-0.1804,0.0,0.0,0.0,0.0,0.0,-0.1828,0.0
