time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,0.4954,0.6441,0.4242,-0.0516,0.5085,0.0732,0.2445,0.3562,-0.0506,-0.0144,0.0717,0.1011,0.2451,0.2432,0.1761
0.422,1.4917,1.6373,1.392,0.661,1.5813,0.8683,1.1105,1.2861,0.6193,0.7044,0.8374,0.9257,1.1243,1.1165,1.0649
0.844,2.7275,2.8564,2.6432,1.6975,2.8118,2.117,2.2536,2.5165,1.6161,1.7427,1.9059,2.0467,2.2552,2.2913,2.1789
1.266,4.0603,4.2323,4.0246,2.937,4.1565,3.4472,3.5503,3.8843,3.0018,3.0215,3.2584,3.325,3.5468,3.6041,3.4618
1.688,5.5154,5.6431,5.4396,4.329,5.5715,4.8267,5.1573,5.2857,4.3536,4.3781,4.6201,4.7102,4.9772,5.1648,4.8392
2.11,7.001,7.1424,6.991,5.7603,7.0706,6.3302,6.6697,6.7575,5.8206,5.8183,6.0959,6.1562,6.5393,6.6386,6.2898
2.532,7.3002,7.4485,7.2964,7.2632,7.2957,7.6216,7.6312,7.5048,7.3129,7.3346,7.5298,7.5357,7.6931,7.4743,7.6264
2.954,5.773,5.863,5.7854,7.2808,5.6043,6.364,6.3094,5.9167,7.2048,7.1292,6.8777,6.6927,6.5282,6.0333,6.4871
3.376,4.2666,4.4265,4.1278,5.6736,4.1582,4.6935,4.842,4.4136,5.6966,5.5923,5.3422,5.118,5.0462,4.5818,5.01
3.797,2.9176,3.0278,2.7818,4.1929,2.8076,3.1906,3.4516,3.0344,4.2671,4.1184,3.8973,3.7126,3.5986,3.2064,3.5736
4.219,1.6696,1.7775,1.4832,2.8451,1.5342,1.7613,2.1521,1.7686,2.9115,2.7735,2.5692,2.3544,2.2767,1.824,2.2664
4.641,0.6388,0.6315,0.4933,1.6115,0.5373,0.71,1.0285,0.7119,1.6655,1.544,1.3609,1.1781,1.1316,0.7503,1.099
5.063,-0.0443,-0.0023,-0.1501,0.6142,-0.1051,0.0043,0.1973,-0.0037,0.6498,0.4603,0.4324,0.3031,0.2707,0.0252,0.2769
5.485,-0.2706,-0.1286,-0.2858,-0.0424,-0.2569,-0.2398,-0.2148,-0.283,-0.0067,-0.1244,-0.1303,-0.2202,-0.1695,-0.2847,-0.1811
5.907,0.1821,0.3904,0.1964,-0.1563,0.317,0.1923,0.0818,0.1516,-0.192,-0.1478,-0.0481,-0.0875,0.0807,0.0719,0.0027
6.329,1.0045,1.2996,1.2635,0.3977,1.2097,0.9971,0.7943,0.9581,0.302,0.4236,0.564,0.5437,0.7863,0.8691,0.6292
6.751,2.1805,2.517,2.4672,1.2895,2.3888,2.1561,1.8497,2.1054,1.1504,1.3459,1.5723,1.5273,1.8242,1.988,1.7903
7.173,3.4872,3.8634,3.8355,2.4659,3.7488,3.4493,3.1077,3.4017,2.3014,2.5381,2.7979,2.7549,3.1333,3.2716,3.0459
7.595,4.8765,5.2673,5.2385,3.7811,5.1539,4.8347,4.6503,4.7864,3.6092,3.8677,4.1361,4.0946,4.5331,4.6455,4.5858
8.017,6.4033,6.7323,6.7098,5.2294,6.6238,6.2849,6.1447,6.2591,5.0373,5.2872,5.5721,5.5108,5.974,6.1411,6.1464
8.439,7.577,7.7166,7.5,6.9073,7.3828,7.5966,7.557,7.573,6.6969,6.8711,7.1604,7.0382,7.462,7.5154,7.5695
8.861,6.4031,6.4161,6.0759,7.5558,5.8832,6.5736,6.8583,6.2862,7.6094,7.4996,7.2987,7.3338,7.0564,6.5481,6.6619
9.283,4.8848,4.9478,4.5595,6.106,4.3897,5.0891,5.3675,4.7951,6.2438,6.0343,5.7808,5.8256,5.4892,5.0679,5.1536
9.705,3.3398,3.5545,3.1751,4.6511,3.0252,3.6386,3.9463,3.4019,4.7808,4.5822,4.3138,4.3739,4.0592,3.6267,3.6977
10.127,2.0463,2.2145,1.8946,3.2747,1.7658,2.2776,2.6112,2.1001,3.3526,3.1819,2.9506,2.9598,2.7081,2.2941,2.3827
10.549,0.9204,1.0696,0.8029,1.9916,0.7102,1.1124,1.2591,0.9626,2.0533,1.902,1.6655,1.7029,1.4726,1.087,1.1853
10.97,0.1082,0.2504,0.0474,0.7895,-0.01,0.2541,0.3731,0.1598,0.9471,0.8194,0.6527,0.668,0.4174,0.2336,0.3299
11.392,-0.2845,-0.1544,-0.297,0.0727,-0.2696,-0.2263,-0.1531,-0.2625,0.1455,0.0747,0.0007,-0.0103,-0.1144,-0.245,-0.1459
11.814,0.019,0.1306,0.0426,-0.2006,0.1672,-0.0174,-0.0526,0.0016,-0.1994,-0.2155,-0.1831,-0.2495,-0.0571,-0.1007,-0.0106
12.236,0.7365,0.8301,0.8036,0.2248,0.9744,0.6468,0.5468,0.7319,0.163,0.184,0.2773,0.1958,0.5376,0.5015,0.5877
12.658,1.7963,1.9206,1.9236,1.0218,2.1154,1.6687,1.6559,1.7863,0.914,0.9811,1.3155,1.0052,1.4849,1.4798,1.5534
13.08,2.3092,2.4724,2.2415,2.1376,2.1162,2.4415,2.5128,2.3851,2.0156,2.1315,2.4406,2.1394,2.4738,2.3622,2.4893
13.502,1.1266,1.3152,1.072,2.2066,0.9598,1.3537,1.5319,1.2529,2.3188,2.2036,1.7859,2.0982,1.4953,1.2705,1.5064
13.924,0.2245,0.3681,0.1241,1.0465,0.1072,0.392,0.5296,0.3168,1.1499,1.0411,0.7179,0.7933,0.4804,0.3256,0.5219
14.346,-0.3082,-0.1714,-0.3541,0.1775,-0.3321,-0.2075,-0.1235,-0.2584,0.2447,0.1899,-0.0028,0.0026,-0.1485,-0.2463,-0.1061
14.768,-0.07,-0.0289,-0.0994,-0.2729,0.0043,-0.2037,-0.1896,-0.1215,-0.2405,-0.2628,-0.2533,-0.3218,-0.1842,-0.2247,-0.1624
15.19,0.6436,0.6334,0.6303,0.0106,0.7607,0.3836,0.3968,0.5332,0.0017,0.0036,0.2064,0.0918,0.3914,0.35,0.4788
15.612,1.6904,1.6369,1.8239,0.7562,1.8431,1.3273,1.3219,1.5532,0.7031,0.8177,1.0664,0.886,1.3118,1.2981,1.4424
16.034,2.9727,2.9413,3.0923,1.8727,3.2843,2.5241,2.5861,2.7923,1.8828,1.881,2.2055,2.0243,2.516,2.4944,2.6481
16.456,4.3754,4.3313,4.4572,3.1833,4.7069,3.9098,3.9248,4.1396,3.1517,3.3373,3.5253,3.3218,3.8845,3.8188,3.983
16.878,5.851,5.7737,5.9072,4.5605,6.1586,5.3191,5.33,5.5597,4.5185,4.8255,4.913,4.7103,5.3233,5.2212,5.399
17.3,7.3379,7.2549,7.3828,6.0034,7.5291,6.8987,6.843,7.3692,5.9562,6.3317,6.4224,6.1664,6.8062,6.6934,6.8942
17.722,6.9573,7.3776,6.6777,7.5836,6.6816,7.4507,7.4191,6.944,7.4374,7.604,7.6493,7.5328,7.4391,7.467,7.475
18.143,5.465,5.8554,5.1484,6.7679,5.1908,5.9721,5.858,5.2399,7.0302,6.5509,6.4728,6.7083,5.9528,6.0608,5.9954
18.565,4.0445,4.4058,3.718,5.2791,3.6666,4.5106,4.406,3.8224,5.3448,5.0689,4.9769,5.1231,4.4983,4.6012,4.535
18.987,2.6902,2.9532,2.3878,3.8627,2.2972,3.1237,3.0351,2.4857,3.9255,3.5699,3.5625,3.7125,3.0735,3.2197,3.1569
19.409,1.4556,1.6961,1.1914,2.5295,1.1205,1.8429,1.7357,1.2567,2.5565,2.2415,2.2382,2.3786,1.756,1.9078,1.8798
19.831,0.374,0.6757,0.1941,1.3263,0.2226,0.7604,0.6979,0.3393,1.3497,1.0761,1.065,1.1866,0.7009,0.7815,0.8069
20.253,0.0,0.0006,0.0,0.3797,0.0,0.0205,0.0132,0.0,0.4237,0.2245,0.2326,0.2173,0.0143,0.0452,0.0928
