time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.1,-0.068,0.0,-0.0794,-0.0366,-0.0798,-0.129,-0.0951,-0.0934,-0.0582,-0.1009,-0.0769,-0.0285,-0.0932,-0.086
0.422,0.0893,-0.0492,0.2223,0.0,0.1754,0.006,0.1434,0.0796,0.1702,-0.001,0.0,0.1167,-0.0055,0.0,0.1841
0.844,0.694,0.3154,0.8527,0.5086,0.7916,0.5098,0.8042,0.6934,0.8152,0.4796,0.5206,0.741,0.3827,0.5068,0.8346
1.266,1.656,1.0588,1.8185,1.3495,1.765,1.3497,1.7987,1.6485,1.931,1.2804,1.3707,1.6816,1.1501,1.3687,1.7989
1.688,2.714,2.092,2.8365,2.4689,2.7728,2.4983,2.6855,2.6913,2.6979,2.367,2.5405,2.7091,2.2113,2.4884,2.7231
2.11,1.9953,2.6523,2.0052,2.4208,2.0095,2.3103,1.7328,1.9864,1.6624,2.5899,2.2361,1.9219,2.6522,2.3047,1.8521
2.532,0.9165,1.51,0.9633,1.2791,0.9363,1.1445,0.7393,0.929,0.6969,1.4031,1.1336,0.8862,1.5187,1.1931,0.8275
2.954,0.2011,0.5829,0.2432,0.4029,0.2117,0.3209,0.0171,0.206,0.0595,0.5234,0.3203,0.1839,0.6164,0.3361,0.1461
3.376,-0.0241,0.037,0.0334,-0.0424,0.0266,-0.059,0.0267,-0.0365,0.0652,0.0089,-0.0581,0.0,0.0493,-0.0538,0.0067
3.797,0.4798,0.2128,0.5587,0.2943,0.5442,0.3213,0.627,0.4546,0.6779,0.2165,0.3131,0.6183,0.1886,0.306,0.548
4.219,1.4644,0.8862,1.422,1.0402,1.4025,1.1184,1.556,1.3128,1.6278,0.9054,1.0754,1.5498,0.8542,1.0895,1.4249
4.641,2.6643,1.8847,2.6195,2.1315,2.5746,2.2114,2.7302,2.4337,2.8071,1.9105,2.2297,2.7496,1.8296,2.155,2.6032
5.063,3.9632,3.0996,3.9079,3.454,3.9016,3.5047,4.2056,3.7322,4.1123,3.1214,3.4828,4.066,3.021,3.4144,3.8862
5.485,5.3473,4.5152,5.3056,4.8052,5.2897,4.8575,5.7181,5.0969,5.4935,4.4412,4.8237,5.4447,4.3321,4.7499,5.2975
5.907,6.8019,5.9341,6.7703,6.2776,6.7452,6.3225,7.3999,6.7006,6.9777,5.8404,6.2401,6.8938,5.716,6.2733,6.7872
6.329,7.7809,7.4266,7.7926,7.6938,7.8142,7.6808,7.229,7.7441,7.6398,7.3067,7.6333,7.6843,7.2109,7.6511,7.697
6.751,6.3393,7.5749,6.5357,6.842,6.494,6.8747,5.7356,6.4827,6.1672,7.4583,6.6897,6.297,7.524,6.8959,6.3106
7.173,4.8665,6.0626,5.0715,5.365,5.0225,5.3997,4.2877,5.0247,4.7216,5.9603,5.2292,4.8617,6.0,5.4314,4.8716
7.595,3.5015,4.6295,3.6863,3.96,3.6408,3.982,2.9553,3.646,3.3009,4.5278,3.7974,3.4806,4.5777,4.0369,3.4826
8.017,2.235,3.2329,2.3698,2.6317,2.3544,2.5061,1.7374,2.3636,2.0547,3.1245,2.506,2.2152,3.1951,2.7096,2.1755
8.439,1.1397,1.9944,1.1918,1.4666,1.0891,1.3589,0.7419,1.2445,0.9855,1.9,1.3658,1.0025,1.9664,1.4148,1.077
8.861,0.3884,0.9684,0.3858,0.4737,0.329,0.5009,0.1204,0.4388,0.2781,0.9004,0.5179,0.2836,0.9594,0.5482,0.3364
9.283,0.0472,0.3004,-0.025,0.003,0.0,0.0,0.0,0.0,0.0,0.2469,0.0228,0.0167,0.234,0.0403,0.0
9.705,0.4575,0.1068,0.2542,0.216,0.3735,0.1342,0.5074,0.2269,0.3913,0.0486,0.1928,0.434,0.0948,0.1698,0.3595
10.127,1.2685,0.5697,0.9793,0.8693,1.2351,0.7545,1.3653,0.8918,1.1803,0.5075,0.8383,1.2146,0.5983,0.7894,1.0998
10.549,2.3733,1.3923,2.0822,1.8698,2.3797,1.7502,2.502,1.9198,2.2715,1.3233,1.83,2.3071,1.4801,1.7545,2.2028
10.97,2.5266,2.5195,2.5615,2.6555,2.3652,2.6307,2.0183,2.6359,2.3993,2.5806,2.6362,2.3749,2.6099,2.6553,2.4893
11.392,1.351,2.4111,1.3947,1.6315,1.2079,1.6821,0.9162,1.5891,1.2278,2.1194,1.6481,1.2346,2.1221,1.7093,1.2888
11.814,0.4981,1.2708,0.5012,0.6389,0.308,0.6936,0.1669,0.6385,0.4031,1.0391,0.6855,0.415,1.0364,0.6767,0.4416
12.236,0.0,0.3788,-0.0362,0.0425,-0.0813,0.0482,-0.1598,0.0471,-0.0535,0.2991,0.0641,-0.0491,0.2893,0.0693,-0.0464
12.658,-0.0676,-0.0041,-0.1506,-0.1424,-0.1073,-0.165,-0.1663,-0.1335,-0.1145,-0.0624,-0.138,-0.1022,-0.0449,-0.1256,-0.1122
13.08,0.0,-0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0806,0.0,0.0,-0.0544,0.0,0.0
