time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.1295,-0.164,-0.2735,-0.4752,-0.431,-0.4912,-0.16,-0.0776,-0.0866,-0.1004,-0.0993,-0.0798,-0.0995,-0.1352,-0.0691
0.422,0.6113,0.5779,0.4453,0.1329,0.1572,0.0992,0.4123,0.7572,0.6859,0.7115,0.6411,0.8373,0.6726,0.6107,0.7321
0.844,1.629,1.5922,1.4383,1.0381,1.1635,0.9793,1.3537,1.8168,1.8947,1.7849,1.697,1.9493,1.7005,1.6089,1.7963
1.266,2.8299,2.7609,2.6032,2.1506,2.2843,2.2436,2.4578,3.0315,3.1202,3.0184,2.8898,3.1629,2.964,2.7987,2.9927
1.688,4.1009,4.0177,3.8588,3.3962,3.5151,3.482,3.7281,4.314,4.4075,4.3231,4.2371,4.4511,4.2594,4.1089,4.3114
2.11,5.431,5.3528,5.23,4.7464,4.8193,4.8302,5.0464,5.7104,5.7558,5.7165,5.5821,5.8305,5.6051,5.463,5.6814
2.532,6.5925,6.5382,6.4631,6.1354,6.2098,6.2167,6.4131,6.4169,6.4639,6.508,6.591,6.4521,6.5847,6.6106,6.5267
2.954,5.3448,5.5487,5.6449,6.0185,5.8695,5.9386,6.4811,5.0931,5.1424,5.1861,5.4334,5.1126,5.4303,5.4383,5.2594
3.376,3.9706,4.1723,4.2746,4.6255,4.4874,4.5507,5.0828,3.7133,3.7762,3.8188,3.8949,3.7016,4.0333,4.0721,3.8684
3.797,2.6981,2.8423,2.9768,3.2006,3.1316,3.2163,3.755,2.4378,2.511,2.5459,2.5758,2.4371,2.5768,2.7828,2.5469
4.219,1.5168,1.6462,1.7644,1.9458,1.8711,1.9822,2.3396,1.274,1.3252,1.3765,1.3622,1.2739,1.365,1.5872,1.2093
4.641,0.5182,0.6139,0.6749,0.809,0.7643,0.8147,1.23,0.3102,0.3464,0.4014,0.3973,0.3193,0.3979,0.5408,0.2762
5.063,-0.1807,-0.1445,-0.1113,-0.0332,-0.0393,-0.0248,0.3734,-0.3492,-0.2963,-0.2753,-0.249,-0.3145,-0.2649,-0.1724,-0.3491
5.485,0.0,0.0,0.0,0.0,0.0,0.0,-0.1626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
