time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.1715,-0.077,-0.0813,-0.1098,-0.1262,-0.0495,-0.1537,-0.0829,-0.1207,-0.0832,-0.16,-0.0759,-0.1164,-0.1451,-0.0619
0.422,0.0543,-0.0376,-0.0725,0.0163,-0.1239,-0.0053,0.0232,-0.0711,-0.0964,0.005,0.0254,-0.0641,0.0207,0.1006,0.0094
0.844,0.6299,0.3469,0.2237,0.5136,0.1306,0.3877,0.5707,0.2549,0.2603,0.464,0.5818,0.2775,0.5234,0.6888,0.4367
1.266,1.4804,1.0335,0.841,1.32,0.7175,1.0764,1.4184,0.9015,0.9188,1.2194,1.4372,0.9231,1.3356,1.5462,1.1546
1.688,2.3253,1.9727,1.844,2.2827,1.6049,2.0435,2.2994,1.8128,1.8366,2.194,2.289,1.8404,2.2857,2.2776,2.1362
2.11,1.4725,2.1815,2.3154,1.8436,2.3476,2.2263,1.6321,2.3237,2.2725,1.9911,1.5689,2.3014,1.7526,1.3319,2.0182
2.532,0.6029,1.1741,1.3438,0.828,1.4131,1.1053,0.7171,1.3464,1.2499,0.9145,0.6707,1.3312,0.822,0.5019,1.0135
2.954,0.0135,0.4114,0.5239,0.1776,0.5459,0.3581,0.0982,0.5212,0.4567,0.2455,0.0613,0.5052,0.1716,-0.0255,0.3119
3.376,-0.0538,-0.02,0.0027,-0.0654,0.008,-0.0248,-0.093,0.0057,-0.0389,-0.047,-0.1014,0.0029,-0.0827,0.0064,-0.0408
3.797,0.4633,0.2198,0.0746,0.3444,0.017,0.2739,0.339,0.084,0.0907,0.3302,0.3579,0.105,0.3043,0.5433,0.2763
4.219,1.2682,0.954,0.6365,1.0808,0.5638,0.9467,1.0727,0.6362,0.7591,1.0341,1.1425,0.6845,1.1307,1.3834,0.9449
4.641,2.2399,1.888,1.5165,2.1049,1.3883,1.8837,2.065,1.4718,1.6768,2.0232,2.1291,1.5736,2.1242,2.2785,1.8749
5.063,1.6879,2.3293,2.3598,2.1275,2.3321,2.2956,1.8069,2.3498,2.3048,2.1583,1.86,2.3648,1.9796,1.5745,2.218
5.485,0.7606,1.3422,1.5934,1.1202,1.7263,1.2932,0.8324,1.6739,1.3763,1.15,0.8658,1.5562,0.9857,0.6709,1.2129
5.907,0.114,0.5079,0.6744,0.3411,0.8009,0.4944,0.1569,0.7469,0.5398,0.3907,0.1685,0.6769,0.2657,0.0488,0.4281
6.329,-0.1118,0.005,0.0872,-0.0769,0.1417,0.0006,-0.1367,0.1253,0.0043,-0.0448,-0.1567,0.0898,-0.1061,-0.0981,-0.0377
6.751,0.3192,0.1536,-0.0241,0.1991,-0.0717,0.1586,0.2469,-0.0511,0.0067,0.1556,0.1717,-0.0259,0.2114,0.3624,0.153
7.173,1.0536,0.7505,0.4658,0.875,0.3633,0.7638,0.9483,0.3888,0.5368,0.772,0.8402,0.532,0.8742,1.1174,0.7714
7.595,2.0315,1.6568,1.2448,1.8393,1.1165,1.6478,1.9064,1.1288,1.3749,1.6768,1.7951,1.3652,1.8302,2.1346,1.6612
8.017,3.1644,2.7248,2.4886,2.9295,2.1374,2.7047,3.0208,2.1068,2.4035,2.7571,2.8856,2.431,2.9278,3.2946,2.7245
8.439,4.3994,3.9249,3.7947,4.1033,3.2836,3.8854,4.2011,3.2578,3.5423,3.9152,4.212,3.5699,4.1313,4.5488,3.8825
8.861,5.6936,5.3529,5.0469,5.4183,4.5315,5.1126,5.4465,4.4947,4.8114,5.1392,5.4572,4.9631,5.3746,5.8098,5.2761
9.283,6.7378,6.6386,6.3715,6.6874,5.808,6.4516,6.6493,5.7509,6.0995,6.4247,6.6321,6.2351,6.6268,6.6779,6.5939
9.705,5.7458,6.3243,6.5062,6.0771,6.7591,6.5013,5.9023,6.7737,6.653,6.4346,5.913,6.566,6.0699,5.5455,6.1939
10.127,4.4591,4.986,5.1966,4.7859,5.6744,5.1513,4.612,5.7982,5.393,5.1291,4.6314,5.2546,4.7477,4.2201,4.8808
10.549,3.2478,3.7517,3.9522,3.5362,4.3595,3.9038,3.3813,4.4804,3.9718,3.8795,3.4225,4.004,3.5257,2.9832,3.6503
10.97,2.115,2.5358,2.7384,2.3223,3.1342,2.7379,2.2406,3.273,2.7585,2.6752,2.2877,2.8205,2.3315,1.8549,2.4815
11.392,1.0981,1.4599,1.6309,1.3028,2.0163,1.6333,1.2071,2.1296,1.676,1.5825,1.0511,1.713,1.29,0.9054,1.4387
11.814,0.3456,0.627,0.7513,0.5182,1.0195,0.7432,0.4128,1.1107,0.7842,0.7229,0.3343,0.7947,0.5044,0.2389,0.6049
12.236,0.0,0.0,0.1725,0.0,0.3307,0.1924,0.0,0.3912,0.1866,0.1586,0.0,0.198,0.0,0.0,0.0
