time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,0.5958,0.0777,0.1405,0.1044,-0.0015,0.0691,0.0781,-0.0595,0.2335,0.1338,0.2341,0.2793,0.3606,0.0215,0.1593
0.422,1.5248,0.7472,0.8568,0.815,0.654,0.7401,0.7605,0.5597,0.9896,0.8481,1.0393,1.1034,1.3369,0.6329,0.8522
0.844,2.6772,1.7209,1.8691,1.8265,1.6218,1.7561,1.7649,1.5143,2.0307,1.8678,2.1342,2.2044,2.4769,1.5627,2.028
1.266,3.9757,2.975,3.0684,3.0717,2.7981,2.9829,2.9963,2.8829,3.2545,3.0985,3.4291,3.5076,3.7821,2.8896,3.2908
1.688,5.409,4.3243,4.4048,4.4608,4.266,4.2973,4.3858,4.228,4.6538,4.5142,4.8549,4.9038,5.1822,4.2402,4.6226
2.11,6.8911,5.7782,5.8108,5.8835,5.7313,5.7258,5.817,5.6365,6.3064,5.9796,6.3466,6.351,6.628,5.6632,6.0645
2.532,7.0083,7.2017,7.2309,7.2639,7.1713,7.2057,7.2354,7.0903,7.433,7.3443,7.3245,7.3416,7.067,7.1261,7.3785
2.954,5.4978,6.6743,6.6041,6.4724,6.6769,6.7293,6.63,6.9976,6.3019,6.5156,6.0613,6.0669,5.5811,6.9356,6.4922
3.376,4.1101,5.1861,5.1584,4.9829,5.2257,5.2333,5.1787,5.3231,4.8562,5.0163,4.6046,4.6118,4.1384,5.4654,4.9428
3.797,2.7176,3.8165,3.7906,3.564,3.7979,3.8349,3.798,3.9374,3.5025,3.6052,3.2491,3.2688,2.7804,3.8605,3.5786
4.219,1.5421,2.5372,2.5064,2.2755,2.497,2.4936,2.4765,2.6408,2.2401,2.3201,1.9997,2.0139,1.5661,2.5412,2.2688
4.641,0.6071,1.3892,1.351,1.1592,1.3473,1.3226,1.3338,1.4826,1.0162,1.1761,0.9403,0.9635,0.6203,1.3961,1.1555
5.063,0.0,0.5252,0.4772,0.3549,0.4584,0.4765,0.4743,0.5933,0.2926,0.379,0.2018,0.2065,-0.0099,0.5178,0.3722
5.485,-0.138,-0.0124,-0.0344,-0.1295,-0.0723,-0.0452,-0.044,0.0344,-0.0914,-0.0858,-0.1836,-0.163,-0.1616,-0.013,-0.0859
5.907,0.3352,-0.0524,-0.0171,-0.0007,-0.1047,-0.0119,-0.0253,0.054,0.1602,0.0227,0.0494,0.0928,0.2807,-0.0024,0.0828
6.329,1.1285,0.4564,0.5172,0.5615,0.3829,0.5156,0.5025,0.5946,0.7916,0.585,0.8394,0.7199,1.0598,0.5241,0.6652
6.751,2.2222,1.2901,1.5064,1.467,1.1997,1.3963,1.3642,1.4751,1.7688,1.4861,1.8747,1.6882,2.2313,1.3788,1.5869
7.173,1.7994,2.3484,2.3921,2.3424,2.2752,2.3775,2.3505,2.3894,2.3701,2.3723,1.9961,2.1419,1.7508,2.3904,2.4157
7.595,0.7483,1.5737,1.546,1.4353,1.682,1.5654,1.654,1.5706,1.3171,1.4628,0.9132,1.0413,0.7223,1.6636,1.494
8.017,0.0607,0.6211,0.6015,0.5074,0.6837,0.5976,0.6099,0.4975,0.4468,0.5151,0.1414,0.2272,0.035,0.5815,0.5644
8.439,-0.2318,-0.0086,-0.0087,-0.0767,0.0132,-0.0077,-0.0087,-0.0772,-0.1044,-0.0625,-0.2513,-0.2068,-0.2544,-0.0041,-0.0343
8.861,0.1296,-0.1554,-0.1386,-0.1689,-0.2187,-0.1482,-0.1895,-0.1083,-0.0134,-0.1392,0.0162,0.0,0.1943,-0.1093,-0.0609
9.283,0.8633,0.3103,0.3613,0.3483,0.2013,0.3401,0.2448,0.4327,0.5523,0.4363,0.6673,0.8162,0.9569,0.3958,0.4762
9.705,1.9203,1.1011,1.2024,1.1908,0.9578,1.1656,1.1191,1.2875,1.447,1.3096,1.7366,1.8393,2.0529,1.2287,1.3594
10.127,2.1306,2.2125,2.2943,2.2461,2.0134,2.2459,2.1957,2.3172,2.4258,2.3236,2.2546,2.1988,1.9348,2.2969,2.3641
10.549,0.9967,1.9167,1.8221,1.7474,2.0102,1.8754,1.8937,1.6758,1.6106,1.667,1.1768,1.1002,0.8601,1.8606,1.6685
10.97,0.2016,0.8641,0.7911,0.6973,0.9236,0.8312,0.8333,0.6501,0.6382,0.6658,0.3001,0.2637,0.0903,0.824,0.6766
11.392,-0.2399,0.1326,0.0783,0.006,0.1122,0.1105,0.0856,-0.0038,-0.0281,-0.0025,-0.2243,-0.2282,-0.2875,0.077,-0.0092
11.814,-0.0319,-0.2186,-0.2098,-0.2609,-0.2629,-0.2131,-0.2433,-0.2178,-0.1406,-0.2146,-0.165,-0.062,0.0,-0.1914,-0.1618
12.236,0.6464,0.1018,0.1773,0.1426,0.052,0.2061,0.1322,0.2137,0.3574,0.2142,0.3868,0.5468,0.665,0.1941,0.3147
12.658,1.6159,0.9733,0.9095,0.8999,0.7581,0.9883,0.8504,0.9852,1.1795,1.1872,1.2722,1.4826,1.6644,0.9525,1.1485
13.08,2.7999,2.2086,2.1091,1.9518,1.7699,2.0756,1.9136,2.0902,2.4612,2.3005,2.4166,2.7083,2.8722,2.0009,2.2559
13.502,4.0908,3.4865,3.3772,3.1738,3.0281,3.4914,3.185,3.3285,3.731,3.5881,3.7548,4.0463,4.3338,3.2309,3.5883
13.924,5.4531,4.8178,4.7098,4.5354,4.3535,4.8328,4.5081,4.6602,5.086,4.9344,5.1402,5.4691,5.7745,4.7769,4.9361
14.346,7.1254,6.2256,6.1543,5.9367,5.7848,6.2821,5.9155,6.2694,6.5054,6.3921,6.5629,6.9347,7.1464,6.1778,6.3568
14.768,6.558,7.2847,7.2998,7.2348,7.1677,7.3103,7.2324,7.2737,7.237,7.257,7.1143,6.8405,6.4953,7.3437,7.3296
15.19,5.1143,6.1065,6.1518,6.3169,6.477,6.0479,6.4164,6.0124,5.8569,5.725,5.6642,5.2972,5.0371,6.2726,6.0512
15.612,3.6946,4.637,4.6828,4.8818,5.0277,4.6238,4.918,4.5634,4.4139,4.3128,4.2262,3.9063,3.4891,4.7926,4.6046
16.034,2.414,3.2953,3.3447,3.4743,3.6557,3.257,3.5485,3.2201,3.0761,2.9843,2.8988,2.6033,2.2129,3.4348,3.2204
16.456,1.235,2.0512,2.096,2.1914,2.1192,1.9841,2.2714,1.9683,1.7913,1.7376,1.6661,1.4209,1.0884,2.1354,1.9555
16.878,0.3738,0.9586,1.0201,1.0835,0.9929,0.9305,1.1259,0.7937,0.7873,0.7072,0.6553,0.4838,0.2721,1.0359,0.908
17.3,0.0,0.2125,0.2644,0.2824,0.2201,0.1967,0.3153,0.1029,0.1204,0.0609,-0.0018,0.0,0.0,0.2725,0.1884
