time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,1.1655,0.9884,1.3466,1.0529,0.7855,0.8494,0.6182,0.8721,0.9567,0.5209,0.7107,0.911,1.005,0.6661,0.9127
0.422,1.7708,1.5675,1.9426,1.6565,1.3428,1.3911,1.1206,1.4517,1.5604,1.0842,1.2615,1.4904,1.5896,1.2156,1.43
0.844,2.4357,2.248,2.5475,2.3393,1.9798,1.9674,1.7313,2.0729,2.1988,1.6587,1.8936,2.1129,2.2432,1.8458,2.0952
1.266,3.1245,2.9003,3.1453,2.9952,2.6592,2.5863,2.4736,2.775,2.9137,2.2831,2.5723,2.7739,2.8988,2.5527,2.7246
1.688,3.8016,3.5846,3.7276,3.6482,3.3395,3.2966,3.1767,3.4759,3.6333,2.9922,3.2654,3.4535,3.5666,3.2485,3.3724
2.11,4.4509,4.2892,4.376,4.3114,4.0369,3.9806,3.8718,4.1776,4.3587,3.6602,3.9805,4.1548,4.2501,3.9689,4.0499
2.532,5.1545,4.986,5.0315,4.9982,4.7104,4.6942,4.5566,4.8876,5.1755,4.3839,4.7218,4.8548,4.9574,4.7259,4.795
2.954,5.8551,5.6726,5.7432,5.7821,5.38,5.4006,5.3664,5.5607,5.6488,5.1,5.4719,5.5104,5.572,5.4561,5.4437
3.376,5.8453,5.4127,5.7557,5.4921,5.5518,5.4679,5.4829,5.0229,5.0622,5.557,5.4223,4.9568,5.0796,5.1911,5.0108
3.797,5.1194,4.6908,4.9666,4.7427,4.8459,4.7455,4.7925,4.3313,4.3477,4.9653,4.6897,4.2761,4.2124,4.477,4.311
4.219,4.4565,3.9918,4.2439,4.0544,4.1497,4.0527,4.1117,3.6026,3.6489,4.2865,3.9516,3.6002,3.4982,3.7648,3.627
4.641,3.7773,3.3113,3.4481,3.3823,3.4271,3.3917,3.4368,2.9459,2.9415,3.5956,3.2572,2.82,2.8089,3.0711,2.9574
5.063,3.0734,2.7065,2.7883,2.6252,2.828,2.7243,2.6698,2.2939,2.248,2.9013,2.6013,2.1653,2.1541,2.3782,2.2764
5.485,2.3204,2.0948,2.1216,2.0099,2.1376,2.0504,2.0494,1.611,1.607,2.1998,1.9405,1.4865,1.5247,1.6836,1.6395
5.907,1.6404,1.5307,1.4607,1.3632,1.4658,1.4373,1.44,0.9306,1.0093,1.5371,1.2997,0.8787,0.9268,1.0065,1.0556
6.329,1.0423,0.9202,0.8577,0.7609,0.8788,0.8314,0.8213,0.3929,0.4762,0.9633,0.7087,0.379,0.413,0.5036,0.5439
6.751,0.4666,0.4001,0.3339,0.3227,0.4002,0.3137,0.3094,0.0276,0.11,0.4607,0.275,0.0699,0.0695,0.163,0.1485
