time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,5.4352,5.795,5.9209,5.3204,5.1368,5.0184,5.3799,5.408,5.4593,5.2789,4.8354,5.106,5.4593,5.7385,6.0197
0.422,6.269,6.7938,6.7545,6.1296,5.9098,5.7923,6.1604,6.1884,6.2454,6.0521,5.6042,5.8896,6.2821,6.5784,7.0148
0.844,7.096,7.6438,7.5704,6.926,6.7031,6.5781,6.9779,6.9707,7.055,6.8365,6.489,6.7038,7.0947,7.4593,7.9111
1.266,7.9414,8.4839,8.4167,7.7513,7.5186,7.366,7.7686,7.7816,7.861,7.639,7.2882,7.5097,7.9488,8.3267,8.8514
1.688,8.791,9.3637,9.2628,8.5699,8.3456,8.2616,8.5736,8.594,8.6786,8.4412,8.0948,8.3411,8.7833,9.2043,9.7664
2.11,9.6516,10.24,10.1413,9.4279,9.1837,9.0734,9.388,9.4269,9.4936,9.2946,8.9345,9.1685,9.6698,10.1156,10.6966
2.532,10.5296,11.1677,11.0237,10.2772,10.0196,9.8987,10.2135,10.2727,10.3129,10.134,9.7933,10.1252,10.5396,11.0703,11.7599
2.954,11.414,12.053,11.9232,11.1264,10.8552,10.7342,11.0633,11.1072,11.1273,10.9749,10.6371,10.9877,11.4207,12.0099,12.7111
3.376,12.3102,12.9492,12.8055,11.9867,11.7302,11.5974,11.9062,11.9516,11.969,11.8208,11.4856,11.8773,12.3038,12.9654,13.672
3.797,13.2186,13.8562,13.6999,12.8708,12.5903,12.4575,12.7593,12.8036,12.8794,12.6777,12.3472,12.7664,13.1974,13.9325,14.6504
4.219,14.1658,14.7717,14.6019,13.7525,13.4567,13.3561,13.6352,13.7808,13.7473,13.5949,13.2443,13.6493,14.1862,14.9233,15.6402
4.641,15.0948,15.7018,15.6169,14.6415,14.3556,14.2598,14.5443,14.6786,14.6274,14.4939,14.1257,14.5639,15.1888,15.9725,16.6464
5.063,16.0404,16.6271,16.3789,15.5431,15.3596,15.1524,15.4334,15.5136,15.4684,15.3955,15.1334,15.4878,16.1737,17.0398,17.7511
5.485,16.7731,16.2736,15.7238,16.0733,15.8123,15.7844,15.3388,15.0544,15.0801,15.3944,15.6368,15.6301,16.2581,16.9479,17.3932
5.907,16.0441,15.3151,14.78,15.2743,14.9878,15.0682,14.4576,14.1755,14.1912,14.4935,14.8124,14.7211,15.3335,15.9774,16.3396
6.329,15.1186,14.3883,13.8762,14.381,14.1108,14.118,13.5747,13.2843,13.3208,13.5134,13.9054,13.774,14.3606,14.8842,15.3431
6.751,14.1966,13.4809,12.9812,13.4712,13.2412,13.2537,12.7012,12.397,12.4859,12.6362,13.0104,12.9058,13.4338,13.8874,14.3227
7.173,13.2888,12.5758,12.0631,12.5786,12.3785,12.3957,11.8167,11.5481,11.6398,11.7463,12.1241,12.0439,12.5143,12.9495,13.3172
