time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,1.17,0.8273,0.993,1.255,0.907,1.0367,1.1965,0.8081,1.095,0.7265,0.9138,0.6689,1.1221,0.7418,1.1127
0.422,1.7578,1.3533,1.5192,1.8511,1.4093,1.5746,1.7244,1.3274,1.6023,1.2256,1.4154,1.2184,1.6517,1.2375,1.6342
0.844,2.3189,1.8833,2.0461,2.3921,1.9656,2.1424,2.276,1.9275,2.1109,1.8128,1.9243,1.7799,2.1844,1.7661,2.1923
1.266,2.8949,2.4652,2.6573,2.9416,2.512,2.7374,2.8512,2.4925,2.6959,2.3437,2.5468,2.3155,2.7624,2.4389,2.8239
1.688,3.5983,3.0931,3.309,3.5401,3.1259,3.3793,3.5471,3.1162,3.3282,2.9021,3.1521,2.9362,3.3978,3.0257,3.5812
2.11,4.3506,3.8072,3.972,4.1503,3.8404,4.0053,4.1949,3.75,3.9594,3.5399,3.8192,3.6596,4.1213,3.6668,4.2898
2.532,4.9391,4.4176,4.6142,4.7405,4.4775,4.6385,4.8235,4.3598,4.5822,4.2043,4.4566,4.3018,4.7627,4.3321,4.8939
2.954,5.5626,4.9992,5.2286,5.3679,5.0793,5.2352,5.4183,4.9778,5.1923,4.8451,5.0832,4.9034,5.368,4.9418,5.5241
3.376,5.8611,5.5877,5.7346,5.7175,5.6865,5.6881,5.678,5.6164,5.7566,5.4624,5.69,5.5079,5.7815,5.6109,5.8153
3.797,5.2741,5.5015,5.3083,5.1421,5.5738,5.1777,4.9624,5.673,5.2655,5.624,5.4463,5.5751,5.2313,5.4329,5.2061
4.219,4.6667,4.7653,4.6897,4.5364,4.9407,4.5746,4.3453,5.0246,4.6373,4.9677,4.8123,4.9303,4.6011,4.8033,4.5912
4.641,4.0022,4.1896,4.0608,3.8728,4.3303,3.9851,3.7338,4.3393,4.0092,4.3222,4.1993,4.2813,3.9674,4.1948,3.9764
5.063,3.397,3.6013,3.4812,3.286,3.7341,3.3871,3.1278,3.7459,3.4445,3.7256,3.5979,3.6745,3.3529,3.5772,3.38
5.485,2.8986,3.0454,2.912,2.7343,3.173,2.8097,2.5463,3.1729,2.8749,3.1511,3.0254,3.0638,2.7695,2.9663,2.7919
5.907,2.3336,2.4818,2.355,2.1901,2.6191,2.2362,2.0295,2.6044,2.3117,2.5253,2.4613,2.482,2.2139,2.3963,2.1775
6.329,1.7945,1.9297,1.8342,1.6303,2.0698,1.6979,1.5008,2.0007,1.7939,1.9964,1.8978,1.9377,1.6714,1.8153,1.6417
6.751,1.2412,1.402,1.3261,1.1016,1.4612,1.1872,0.9527,1.4284,1.25,1.4624,1.3632,1.4091,1.1674,1.3043,1.1363
7.173,0.7439,0.896,0.8337,0.6115,0.9558,0.7193,0.4764,0.8403,0.7526,0.957,0.8554,0.8834,0.673,0.7498,0.6629
7.595,0.2693,0.4526,0.3784,0.1651,0.4722,0.2655,0.0774,0.3746,0.3133,0.4688,0.4066,0.4074,0.2144,0.2955,0.2601
8.017,-0.0545,0.0544,-0.0129,-0.1545,0.0723,-0.0797,-0.2034,-0.0038,-0.0339,0.075,-0.0028,-0.0147,-0.1066,-0.0502,-0.0268
8.439,0.2181,-0.0455,-0.094,-0.0184,-0.0734,-0.0107,-0.0027,-0.1948,-0.0169,-0.1291,-0.0813,-0.2002,-0.0201,-0.1497,0.1074
8.861,0.626,0.2857,0.2662,0.3585,0.2223,0.3346,0.3808,0.069,0.3182,0.1464,0.2292,0.0589,0.3266,0.1569,0.4511
9.283,1.0903,0.6914,0.6895,0.8425,0.6771,0.7713,0.858,0.4164,0.7607,0.5438,0.6566,0.4791,0.7823,0.5615,0.8867
9.705,1.5908,1.1405,1.1533,1.3546,1.1512,1.2569,1.362,0.8856,1.254,1.0195,1.1384,0.945,1.2875,1.0748,1.4826
10.127,2.0926,1.7083,1.6686,1.8771,1.6516,1.7834,1.8802,1.3851,1.7734,1.5297,1.6477,1.4663,1.8156,1.5783,1.9942
10.549,2.2745,2.235,2.2137,2.2802,2.1828,2.2609,2.2265,1.9962,2.2902,2.1107,2.2346,1.9955,2.2656,2.1138,2.2996
10.97,1.7606,2.1165,2.0916,1.8008,2.1817,1.9044,1.7484,2.0316,1.8843,2.2071,1.9444,2.1176,1.9126,2.0808,1.789
11.392,1.2476,1.568,1.561,1.268,1.6214,1.3951,1.246,1.5037,1.3448,1.639,1.393,1.5584,1.3287,1.5408,1.2519
11.814,0.7523,1.0326,1.0386,0.7666,1.0949,0.874,0.7497,0.9994,0.832,1.1075,0.8765,1.0372,0.8138,1.0032,0.7528
12.236,0.2958,0.5483,0.4916,0.3029,0.5997,0.3913,0.2944,0.5043,0.3568,0.6244,0.3906,0.5255,0.3337,0.5042,0.3019
12.658,-0.1139,0.0765,0.0514,-0.0882,0.111,-0.0072,-0.0823,0.0151,-0.0609,0.1701,-0.0262,0.0698,-0.0465,0.0822,-0.0614
13.08,-0.1277,-0.2462,-0.2505,-0.1802,-0.2044,-0.2366,-0.2034,-0.2815,-0.2322,-0.1763,-0.2511,-0.2795,-0.1638,-0.2073,-0.0596
13.502,0.2524,-0.0233,-0.0171,0.1687,-0.031,0.029,0.1045,-0.0821,0.0675,-0.0719,0.0111,-0.216,0.1634,-0.0205,0.2786
13.924,0.7112,0.3988,0.3997,0.6024,0.3412,0.4586,0.5664,0.3283,0.4806,0.3048,0.4098,0.1781,0.5848,0.3553,0.7196
14.346,1.1908,0.8562,0.8622,1.0809,0.8063,0.9284,1.0466,0.7941,0.9605,0.7529,0.8639,0.632,1.0811,0.7992,1.1861
14.768,1.691,1.3498,1.3447,1.5795,1.3133,1.4239,1.5798,1.2943,1.4679,1.2399,1.3718,1.1433,1.6008,1.2853,1.6805
15.19,2.1682,1.8372,1.893,2.0964,1.8314,1.9655,2.108,1.8422,1.9995,1.7519,1.9159,1.6628,2.1503,1.8226,2.1856
15.612,1.8985,2.1747,2.1895,2.0147,2.2578,2.2046,1.9835,2.2142,2.1468,2.2482,2.057,2.1303,2.0874,2.1536,1.8888
16.034,1.3705,1.7498,1.7018,1.5059,1.8384,1.6851,1.4549,1.7584,1.6022,1.9021,1.5146,1.7895,1.5264,1.6921,1.3186
16.456,0.8634,1.2334,1.1576,1.012,1.2987,1.1618,0.9217,1.2262,1.079,1.3453,0.9991,1.156,0.9949,1.162,0.8061
16.878,0.3937,0.729,0.6507,0.5037,0.7996,0.6772,0.4531,0.6494,0.5734,0.8311,0.492,0.6507,0.496,0.6524,0.332
17.3,-0.0659,0.2492,0.1789,0.0738,0.3264,0.1988,0.0109,0.1991,0.1218,0.3553,0.07,0.1761,0.0806,0.1947,-0.0775
17.722,-0.3795,-0.1757,-0.2067,-0.2335,-0.0611,-0.1704,-0.3015,-0.1667,-0.233,-0.0322,-0.2549,-0.2129,-0.2346,-0.1526,-0.3493
18.143,0.0,-0.4203,0.0,0.0,-0.3112,0.0,0.0,0.0,0.0,-0.3057,0.0,0.0,0.0,0.0,0.0
