time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.0844,-0.1948,-0.5371,-0.0355,-0.0793,-0.3152,0.0,-0.0479,-0.0509,-0.0655,-0.1603,-0.4736,-0.0178,-0.0721,-0.153
0.422,0.829,0.658,0.2079,0.9828,0.8391,0.4776,1.113,1.1002,0.9883,0.9164,0.7201,0.1992,1.0444,0.9166,0.701
0.844,2.1699,1.995,1.3222,2.2954,2.0579,1.6582,2.4982,2.4674,2.2856,2.1645,1.9368,1.3612,2.3837,2.1786,2.0217
1.266,3.7003,3.4922,2.7879,3.9451,3.5826,3.1084,4.1857,4.0847,3.8634,3.7072,3.4235,2.7695,4.0613,3.7479,3.7435
1.688,5.4815,5.2484,4.5213,5.777,5.4538,4.8835,6.0749,5.927,5.7021,5.5742,5.1598,4.4806,5.9817,5.5538,5.5921
2.11,7.5148,7.201,6.4394,7.7048,7.4208,6.8777,7.6107,7.7957,7.6451,7.5881,7.3921,6.4473,7.7201,7.5373,7.575
2.532,7.4193,7.7194,7.6753,6.6649,7.5063,7.761,6.0141,6.7615,6.8845,7.0513,7.501,7.7509,6.4153,7.2025,7.3611
2.954,5.295,5.7384,5.8599,4.7226,5.4958,5.8465,4.0502,4.8181,4.9243,5.0832,5.4627,5.9762,4.4849,5.2189,5.364
3.376,3.5195,3.5438,3.9799,2.9875,3.6388,3.9895,2.3751,3.0817,3.1431,3.2596,3.5953,4.0869,2.7032,3.4325,3.5694
3.797,1.9677,2.0274,2.3458,1.5397,1.923,2.1941,1.0064,1.5476,1.6537,1.7826,2.063,2.3784,1.248,1.8698,2.0363
4.219,0.7598,0.8115,1.0017,0.3193,0.7139,0.9005,-0.0931,0.4309,0.4581,0.5892,0.8424,1.0333,0.1603,0.6487,0.8211
4.641,-0.1136,-0.0731,-0.0231,-0.4049,-0.152,-0.0531,0.0,-0.3115,-0.3412,-0.207,-0.08,-0.0221,-0.5064,-0.2077,-0.0779
