time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.0257,-0.0417,-0.2679,-0.1712,-0.1006,-0.1135,-0.1332,-0.0909,-0.0706,-0.1342,-0.1287,-0.1561,-0.1336,-0.1495,-0.1561
0.422,0.0729,0.0764,-0.0191,-0.1435,0.0028,-0.0013,-0.1179,0.1031,-0.017,0.0159,0.0125,0.1063,0.155,-0.1399,-0.1367
0.844,0.6233,0.6625,0.6596,0.296,0.5612,0.5665,0.1649,0.7352,0.4773,0.6161,0.6109,0.7825,0.837,0.2381,0.2588
1.266,1.4719,1.5559,1.5953,1.0858,1.4274,1.425,0.8786,1.7653,1.2901,1.4993,1.4917,1.7569,1.8163,0.9763,1.0153
1.688,2.5438,2.61,2.5538,2.0862,2.5105,2.5213,1.8233,2.6939,2.3104,2.5356,2.5313,2.6266,2.67,2.0184,2.01
2.11,2.3953,2.3436,1.8884,2.5503,2.339,2.2461,2.6809,1.9685,2.4149,2.1915,2.2153,1.847,1.8525,2.616,2.592
2.532,1.3075,1.2796,0.7626,1.4756,1.2897,1.2043,1.8264,0.965,1.3484,1.1549,1.1502,0.8488,0.8699,1.6037,1.589
2.954,0.4425,0.4455,0.0522,0.5735,0.4268,0.3632,0.8541,0.2113,0.4875,0.3425,0.3362,0.0664,0.1582,0.6475,0.6319
3.376,0.0012,0.0002,-0.0896,-0.0243,-0.0113,-0.0399,0.1518,0.0232,0.0043,-0.0636,-0.05,0.0181,-0.0043,0.0051,0.0099
3.797,0.4361,0.382,0.5175,0.1353,0.3774,0.4248,0.0,0.6113,0.3763,0.388,0.4061,0.6575,0.573,0.1151,0.0942
4.219,1.2521,1.1756,1.4177,0.8394,1.1663,1.2443,0.5808,1.5222,1.1507,1.2183,1.2291,1.5798,1.448,0.8232,0.7632
4.641,2.2796,2.1857,2.495,1.84,2.3136,2.2991,1.492,2.6064,2.2483,2.2615,2.2639,2.6964,2.7389,1.8137,1.7001
5.063,3.4128,3.3144,3.9163,2.9647,3.4513,3.4416,2.5551,3.7592,3.3764,3.4397,3.4033,3.9086,3.9091,2.9556,2.7938
5.485,4.6136,4.553,5.2087,4.1956,4.6593,4.8106,3.7065,5.143,4.5841,4.7007,4.6135,5.1647,5.1506,4.1746,3.9671
5.907,5.8759,5.8569,6.5378,5.4566,5.9708,6.0909,4.9486,6.4282,5.8522,5.9689,5.8795,6.4878,6.489,5.4646,5.3872
6.329,7.2021,7.1496,7.0368,6.7858,7.2031,7.1836,6.2275,7.1356,7.2082,7.1385,7.1772,7.0405,7.1219,6.8282,6.7219
6.751,6.2779,6.5261,5.7473,6.9622,6.4693,6.2194,7.1503,5.8985,6.4295,6.3399,6.246,5.7478,5.8106,6.8523,6.9353
7.173,4.9693,5.2012,4.474,5.6072,5.1496,4.8704,5.9943,4.5714,5.126,4.997,4.9447,4.4622,4.4904,5.5222,5.5557
7.595,3.7,3.9403,3.2486,4.3434,3.9098,3.6447,4.7071,3.3173,3.8899,3.7567,3.71,3.252,3.2377,4.2571,4.2961
8.017,2.5293,2.7522,2.0474,3.149,2.6815,2.4174,3.4809,2.1475,2.7187,2.5239,2.5428,2.105,2.0919,3.0455,3.0957
8.439,1.4524,1.5115,1.0484,2.0254,1.6015,1.3546,2.2978,1.134,1.6397,1.4251,1.4423,1.0885,1.0572,1.9303,1.9722
8.861,0.5333,0.6185,0.3084,0.8557,0.7145,0.5055,1.2582,0.366,0.7421,0.5641,0.5743,0.3197,0.3248,0.9302,0.9838
9.283,-0.0046,0.0375,0.0082,0.2145,0.1347,0.0227,0.4454,0.0038,0.1539,0.0308,0.0375,-0.0439,0.0209,0.2468,0.2729
9.705,0.177,0.1609,0.4566,0.1224,0.3227,0.3355,-0.0001,0.3994,0.2167,0.1953,0.209,0.3376,0.4639,0.0779,0.0311
10.127,0.8697,0.8393,1.3008,0.7126,1.0185,1.077,0.285,1.1789,0.8633,0.891,0.8769,1.1083,1.2746,0.6281,0.6049
10.549,1.8261,1.788,2.3518,1.611,2.0139,2.0934,1.0297,2.3479,1.7901,1.864,1.8269,2.1341,2.3039,1.5211,1.4929
10.97,2.5992,2.6326,2.323,2.6404,2.7124,2.5674,2.0301,2.3742,2.7123,2.6304,2.6417,2.5097,2.42,2.5643,2.5528
11.392,1.6875,1.775,1.2752,2.1916,1.7654,1.5274,2.5754,1.2855,1.939,1.7097,1.7335,1.4172,1.354,2.1823,2.2632
11.814,0.6808,0.7952,0.455,1.1058,0.7208,0.6275,1.5339,0.4486,0.9614,0.7426,0.7816,0.5265,0.491,1.124,1.2121
12.236,0.0131,0.0867,0.0166,0.3456,0.1229,0.0006,0.6254,-0.0255,0.2596,0.0856,0.1221,-0.0421,-0.006,0.2994,0.3798
12.658,0.0036,-0.001,0.4604,0.0333,0.2256,0.2004,0.0257,0.2773,0.0843,0.0325,0.0451,0.175,0.2621,0.0035,-0.0112
13.08,0.6604,0.5976,1.2712,0.5263,0.8829,0.9829,0.1087,1.0424,0.6545,0.648,0.7991,0.8862,0.9947,0.4725,0.3825
13.502,1.5826,1.5156,2.3096,1.3897,1.8249,1.9673,0.8006,2.0583,1.5245,1.5807,1.7434,1.8591,2.0237,1.3313,1.1693
13.924,2.552,2.6257,2.5565,2.4932,2.7832,2.6372,1.7802,2.5597,2.6662,2.5804,2.6364,2.5935,2.5228,2.3961,2.204
14.346,1.8406,1.8498,1.4858,2.3938,2.07,1.6871,2.626,1.5314,2.1313,2.045,1.878,1.6259,1.443,2.4495,2.4646
14.768,0.8372,0.8572,0.6063,1.3411,1.063,0.7416,1.7842,0.5989,1.1048,1.0147,0.8922,0.6807,0.557,1.3455,1.3779
15.19,0.0985,0.1302,0.0521,0.4995,0.3062,0.086,0.699,-0.0088,0.348,0.2542,0.1387,0.037,0.0018,0.4907,0.5223
