time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.2207,-0.2074,-0.1422,-0.1682,-0.2211,-0.1987,-0.1691,-0.1612,-0.2159,-0.1381,-0.1596,-0.1981,-0.128,-0.1438,-0.1679
0.422,-0.1056,0.0104,-0.1386,-0.1446,-0.1311,0.0359,-0.1495,-0.0884,-0.0941,-0.1304,-0.0572,-0.0446,-0.1164,-0.0971,0.0225
0.844,0.3977,0.5608,0.1224,0.2005,0.3096,0.5874,0.1828,0.326,0.3726,0.1413,0.412,0.449,0.1794,0.2887,0.5624
1.266,1.179,1.4146,0.702,0.8422,1.0387,1.4249,0.8275,1.0561,1.1234,0.7555,1.1643,1.2266,0.7742,0.9719,1.3984
1.688,2.158,2.2409,1.5638,1.7615,2.012,2.208,1.7329,2.0214,2.0912,1.6538,2.138,2.1752,1.6669,1.9128,2.2207
2.11,1.7338,1.4465,2.2891,2.1932,1.6988,1.3895,2.1453,1.8792,1.6711,2.221,1.7563,1.5413,2.2305,2.0056,1.3821
2.532,0.7778,0.5791,1.4342,1.2117,0.7375,0.5313,1.1357,0.9085,0.7376,1.2891,0.8168,0.6438,1.29,0.9925,0.531
2.954,0.1069,-0.0104,0.5862,0.4021,0.0952,-0.0359,0.3673,0.2214,0.0941,0.4805,0.165,0.0446,0.473,0.2617,-0.0225
3.376,-0.1625,-0.1029,0.0189,-0.0774,-0.1773,-0.1,-0.0953,-0.1289,-0.1812,-0.0445,-0.1297,-0.1261,-0.0235,-0.1113,-0.0768
3.797,0.2291,0.382,-0.0283,0.0097,0.1846,0.3934,0.0225,0.17,0.1847,0.0279,0.1943,0.3335,0.0157,0.1281,0.3945
4.219,0.9594,1.1531,0.4671,0.545,0.8653,1.1672,0.5661,0.8281,0.8876,0.5658,0.8831,1.1106,0.5296,0.7284,1.1749
4.641,1.9408,2.1604,1.2797,1.3973,1.8119,2.1804,1.5307,1.7842,1.8639,1.3934,1.8227,2.1154,1.3625,1.6174,2.2021
5.063,3.0571,3.3392,2.3364,2.6786,2.9566,3.3956,2.5967,2.8833,2.9806,2.4694,2.9418,3.2707,2.442,2.702,3.3921
5.485,4.2605,4.5997,3.483,3.9013,4.1869,4.6132,3.7836,4.107,4.1905,3.6705,4.1425,4.5018,3.6309,3.9376,4.6403
5.907,5.5273,5.9821,4.708,5.1654,5.4539,5.897,5.0678,5.3837,5.5,4.9093,5.434,5.8272,4.9119,5.2312,5.9258
6.329,6.7285,6.6444,5.9894,6.48,6.6471,6.6031,6.3675,6.6374,6.6333,6.2244,6.6776,6.6503,6.2365,6.5372,6.5888
6.751,5.7248,5.4103,6.7123,6.2701,5.8269,5.3667,6.3014,5.9594,5.4878,6.5026,5.8591,5.4262,6.5114,6.1582,5.2877
7.173,4.428,4.1306,5.5004,4.8873,4.5275,4.0254,4.959,4.6536,4.2009,4.9809,4.5259,4.1272,5.1437,4.835,3.9828
7.595,3.2083,2.8974,4.1804,3.5992,3.2767,2.7846,3.7056,3.3983,2.9896,3.7254,3.2883,2.8987,3.8566,3.5821,2.7697
8.017,2.0735,1.785,2.9798,2.4264,2.1125,1.6754,2.5259,2.141,1.7153,2.5451,2.139,1.75,2.6658,2.3875,1.6618
8.439,1.083,0.8533,1.8539,1.3545,1.1099,0.767,1.4447,1.1342,0.7874,1.4777,1.0939,0.8131,1.5639,1.3291,0.7516
8.861,0.3182,0.2035,0.8915,0.5219,0.363,0.1469,0.518,0.3963,0.1443,0.6061,0.365,0.1712,0.6931,0.5145,0.1412
9.283,-0.0896,-0.1151,0.2508,0.0215,-0.0782,-0.1142,0.023,-0.0467,-0.1447,0.0774,-0.0552,-0.1312,0.1129,0.0109,-0.1115
9.705,0.0896,0.1685,-0.0481,-0.0146,0.0782,0.1926,-0.0337,0.0467,0.1296,-0.0419,0.0552,0.1451,-0.0547,-0.0163,0.1977
10.127,0.659,0.8023,0.2546,0.4485,0.6642,0.8397,0.4084,0.5772,0.7372,0.3659,0.6532,0.7771,0.319,0.4572,0.863
10.549,1.6558,1.7187,0.9248,1.2284,1.5522,1.7909,1.1569,1.3988,1.6852,1.0793,1.5445,1.6937,1.0005,1.2277,1.8042
10.97,2.783,2.8602,1.8932,2.2867,2.6347,2.8971,2.1596,2.4591,2.7858,2.0886,2.6518,2.8126,2.1058,2.2469,2.9212
11.392,3.9732,4.084,3.0045,3.4548,3.8198,4.0997,3.3651,3.6341,3.9907,3.2221,3.845,4.0505,3.2505,3.3998,4.1648
11.814,5.2287,5.3461,4.2299,4.6852,5.1166,5.5253,4.6297,5.0215,5.2565,4.6909,5.1091,5.3398,4.4728,4.6555,5.4605
12.236,6.5458,6.6004,5.5065,5.9813,6.4401,6.6571,5.9088,6.3691,6.5921,5.9841,6.4304,6.583,5.7583,5.9484,6.6566
12.658,6.1588,6.002,6.7177,6.6254,6.1616,5.7415,6.6395,6.299,5.7735,6.6281,6.2558,5.9505,6.7022,6.6464,5.7518
13.08,4.829,4.6489,5.9279,5.3658,4.8458,4.4202,5.4237,4.9721,4.4713,5.3829,4.9103,4.6359,5.5741,5.41,4.4475
13.502,3.5824,3.3953,4.6252,4.0327,3.5964,3.1975,4.0743,3.6807,3.1988,3.9449,3.6417,3.3568,4.2612,4.1042,3.0301
13.924,2.39,2.1993,3.3969,2.8351,2.3947,2.0411,2.8682,2.5034,2.0541,2.707,2.4631,2.1813,3.0382,2.8925,1.7889
14.346,1.345,1.1505,2.2476,1.7099,1.3299,1.0515,1.7475,1.4214,1.0498,1.6152,1.3979,1.1177,1.8846,1.635,0.8376
14.768,0.5368,0.394,1.0567,0.7995,0.4865,0.3355,0.7992,0.578,0.3109,0.7319,0.5668,0.3678,0.9248,0.7091,0.1809
15.19,0.0,0.0,0.3615,0.1387,0.0,0.0,0.1812,0.0,0.0,0.153,0.0,0.0,0.2135,0.0796,0.0
