feature,importance
dur_median,0.09090622493633829
h_mean,0.08057176673391352
dur_2,0.08024999360026422
dur_1,0.07096607038276705
gap_2,0.06438714531899647
gap_3,0.06010836294426427
dur_3,0.05908608887144108
dur_4,0.04654270960941012
gap_4,0.04634642901587466
h_rel_2,0.04119755114879303
dur_rel_3,0.040192658869164184
h_rel_3,0.039440203006215466
h_max/h_min,0.03901410283802981
n_elements,0.03857593767920655
h_rel_4,0.03817999750561975
dur_rel_4,0.037088284756314274
dur_rel_2,0.035388764225260994
dur_max/dur_min,0.03392892550370389
h_rel_1,0.03329940633824795
dur_rel_1,0.024529376716174438
gap_1,0.0
