letter,n_samples,Rule-based (no training),Features + Random Forest,Transformer (press sequence)
A,110,100.0,100.0,100.0
B,102,100.0,100.0,100.0
C,100,100.0,100.0,100.0
D,66,100.0,100.0,100.0
E,98,100.0,100.0,100.0
F,42,100.0,100.0,100.0
G,101,100.0,100.0,100.0
H,100,100.0,100.0,100.0
I,102,98.04,99.02,98.04
J,100,100.0,100.0,100.0
K,72,100.0,100.0,98.61
L,100,100.0,100.0,99.0
M,103,100.0,100.0,100.0
N,101,100.0,100.0,100.0
O,100,100.0,100.0,100.0
P,125,100.0,100.0,100.0
Q,103,100.0,100.0,99.03
R,100,100.0,100.0,100.0
S,100,100.0,100.0,100.0
T,100,100.0,100.0,98.0
U,100,100.0,100.0,100.0
V,101,100.0,100.0,100.0
W,125,100.0,100.0,100.0
X,79,100.0,100.0,100.0
Y,100,100.0,100.0,100.0
Z,100,100.0,100.0,100.0
