tsne_1,tsne_2,label
9.0600605,65.946304,A
8.713253,65.84456,A
8.610291,65.80817,A
8.484958,65.77879,A
8.313789,65.693855,A
7.9245386,65.609566,A
7.855133,65.51566,A
7.550745,65.58662,A
7.410296,65.57945,A
7.485797,65.30446,A
7.584655,64.99257,A
7.2489414,64.92012,A
7.246457,65.36156,A
7.343214,65.654465,A
6.7645855,64.51749,A
6.678092,64.60133,A
7.151235,64.92614,A
6.293919,65.03349,A
5.9996696,65.18238,A
6.456328,64.885155,A
6.2531705,63.431812,A
5.8262978,64.617714,A
4.917413,65.081375,A
5.287251,64.94081,A
5.5526934,65.13987,A
5.5223813,64.66341,A
5.9751797,64.73264,A
5.169417,64.43044,A
5.391102,64.21896,A
5.0571156,63.6582,A
5.042221,63.606632,A
5.2317395,64.27062,A
3.7965653,63.310688,A
4.973405,63.580147,A
5.1658034,62.96656,A
2.9000928,63.80232,A
2.4620838,63.868862,A
2.2237005,63.47627,A
2.321677,63.728294,A
2.2607298,63.10571,A
1.9929852,63.226357,A
3.8487093,63.251152,A
3.4414155,63.668877,A
3.3589714,63.31555,A
3.695863,63.23821,A
3.6596446,63.058407,A
3.6280556,63.30046,A
2.283582,63.752563,A
1.1024694,63.869923,A
1.4527036,62.0435,A
1.0620978,63.846905,A
1.3361473,62.89838,A
1.5755267,62.200623,A
-0.49244276,61.465694,A
0.886044,62.545082,A
0.3525542,62.323036,A
-0.37381852,61.132343,A
0.12201437,61.36289,A
0.76529396,61.98899,A
-1.3198267,64.25635,A
-0.3694898,62.781055,A
-0.8015972,61.72375,A
-0.85441905,63.016018,A
-2.1383553,62.92279,A
-1.0842512,64.12876,A
-1.1866107,63.968025,A
-1.5389107,63.952465,A
-1.322912,63.614452,A
-1.6503962,63.728004,A
-2.304755,59.654804,A
-2.468351,62.31447,A
-1.9562179,62.698467,A
-1.3272656,60.479588,A
-1.0210123,63.730976,A
-2.0684218,62.110516,A
-2.142784,62.33417,A
-1.4385556,64.0419,A
-2.000278,62.789005,A
-0.71422553,61.258064,A
-0.62480056,63.02754,A
-1.3683757,59.907585,A
-1.5395479,60.167805,A
-1.577526,60.717243,A
-1.2737149,59.90047,A
-1.1364714,61.615593,A
-1.5818752,60.022045,A
-1.9578042,63.379524,A
-2.52615,59.441845,A
-1.1892624,60.973904,A
-2.8401659,61.763863,A
-3.9110677,60.764534,A
-1.5205022,60.758163,A
-1.2745421,63.541096,A
-2.202175,59.960255,A
-3.277905,59.752636,A
-3.5224154,59.98184,A
-2.117654,58.700497,A
-2.3040626,59.80108,A
-3.69161,60.333714,A
-3.1032877,59.64604,A
-2.9236426,60.588272,A
-3.3902538,59.902313,A
-3.5329359,59.571995,A
-3.9047966,59.3353,A
-3.4196339,59.142963,A
-3.5536194,59.44452,A
-2.5170667,58.90356,A
-2.843763,59.861256,A
-2.254334,60.124786,A
-1.0411453,61.600384,A
28.0447,46.00223,B
27.52276,46.00856,B
27.309717,45.966793,B
27.29046,45.97949,B
27.312008,45.930294,B
29.19283,45.480545,B
29.316862,45.384415,B
29.422009,45.18076,B
29.460617,45.083157,B
29.747108,45.08004,B
29.584187,44.36412,B
29.637012,43.85249,B
29.93283,43.87425,B
30.031912,43.121193,B
29.018892,43.373413,B
27.270283,42.587967,B
27.873032,42.796543,B
28.212025,43.593163,B
26.913786,43.509167,B
26.373552,43.531166,B
26.429716,44.861362,B
29.076092,43.700207,B
29.717339,40.82431,B
26.588964,41.58555,B
28.88998,42.524025,B
29.69356,41.772575,B
27.84051,41.85158,B
29.1292,40.691753,B
26.981026,42.158836,B
26.393818,42.099224,B
26.232615,43.91089,B
26.23227,44.094666,B
26.33576,44.18318,B
26.241646,44.135017,B
27.004902,43.138145,B
28.133095,42.898426,B
31.056873,41.51088,B
30.618717,42.244602,B
31.034771,41.470848,B
30.953362,41.670612,B
31.044603,41.89524,B
26.38901,35.616547,B
27.486805,36.89125,B
25.875406,36.62497,B
26.441412,35.87861,B
25.99861,35.703423,B
25.613218,36.37438,B
25.819454,37.02932,B
26.674017,36.99638,B
26.494902,36.988045,B
26.446886,35.856113,B
27.606693,37.38662,B
25.998848,37.677155,B
25.82884,37.7424,B
26.835735,36.152756,B
26.917852,36.842064,B
27.171484,36.07014,B
26.123205,36.758144,B
26.00956,36.970848,B
27.512094,37.367966,B
27.59808,37.28418,B
27.765064,37.186127,B
27.049849,37.573257,B
27.835587,36.11069,B
27.09457,36.47177,B
27.376139,37.96909,B
27.119469,38.500988,B
27.97564,38.787334,B
25.582516,36.98823,B
25.868408,37.915504,B
25.892378,38.270752,B
28.415792,39.289215,B
28.72167,38.94289,B
27.284307,38.938263,B
29.278837,38.656147,B
28.636936,39.588867,B
27.123734,39.764515,B
27.813995,40.07852,B
28.57785,39.694347,B
27.190369,40.021496,B
28.808306,39.901028,B
28.824259,41.16623,B
27.284674,40.204247,B
27.299738,40.331646,B
28.777632,41.163994,B
28.553913,40.575863,B
26.703096,41.767178,B
28.739384,42.3169,B
26.623114,41.623596,B
28.75089,42.66885,B
28.736248,42.309517,B
28.638126,41.78743,B
26.734531,42.03206,B
28.78343,42.57102,B
29.250483,41.657177,B
29.629734,41.364357,B
28.805733,42.117607,B
29.667547,41.257175,B
29.93851,41.58217,B
29.54108,41.86476,B
27.370667,42.394695,B
29.827017,42.718647,B
47.534634,25.252504,C
47.42298,25.324018,C
46.932617,26.21444,C
46.883038,25.353418,C
46.405407,26.685743,C
45.55761,27.077019,C
41.068104,27.220314,C
45.264286,26.707438,C
46.11264,25.97838,C
46.126297,25.883509,C
46.288002,25.820217,C
46.34452,25.670494,C
46.636963,24.322678,C
46.525017,23.87526,C
46.4691,23.821894,C
45.696533,22.202852,C
45.41887,21.766306,C
45.23364,22.209412,C
45.73948,21.917536,C
44.69833,21.262276,C
46.512127,23.87802,C
45.606575,22.473415,C
45.24806,22.668844,C
42.958763,22.569427,C
43.00312,22.865095,C
46.129192,22.42684,C
43.18349,24.5984,C
44.699806,24.097878,C
44.81204,23.803728,C
44.64998,23.614798,C
44.777374,22.542213,C
42.247375,21.74671,C
41.30041,21.484068,C
43.86562,19.807594,C
41.39133,21.537607,C
40.648624,21.735209,C
41.094246,21.57954,C
41.816826,20.499561,C
40.805576,21.390173,C
40.759884,22.199255,C
42.634995,20.889214,C
42.523155,21.7965,C
42.180702,21.928797,C
43.304703,21.618034,C
43.949818,21.217623,C
45.370697,24.012897,C
43.60788,20.716614,C
43.210472,20.920843,C
42.82366,20.465172,C
42.97859,19.983006,C
42.54623,20.531082,C
42.65475,21.141134,C
42.6623,20.420578,C
42.938213,20.341543,C
42.38047,20.251295,C
40.976658,22.720078,C
41.28392,22.496279,C
41.144302,23.97591,C
41.40547,23.90539,C
42.83588,23.170479,C
44.5705,23.76994,C
43.042877,23.602753,C
44.16183,23.778088,C
43.713753,22.627066,C
43.262802,22.22188,C
44.22617,22.433525,C
41.617058,22.200449,C
43.08746,19.898542,C
42.789238,20.122051,C
