tsne_1,tsne_2,label
-17.872896,21.236607,A
-17.705849,20.756273,A
-17.768328,20.482512,A
-17.668568,20.380655,A
-17.894749,19.995098,A
-18.998604,20.573908,A
-18.239208,20.07464,A
-18.560244,20.03851,A
-18.677183,19.964245,A
-20.164267,20.334764,A
-18.94175,19.40754,A
-18.396973,19.310009,A
-23.178194,21.122805,A
-20.431114,20.10037,A
-18.433008,18.887888,A
-19.109135,19.06887,A
-19.431398,19.616827,A
-19.549547,19.326523,A
-19.871834,19.064856,A
-19.052584,19.187304,A
-18.20042,18.410479,A
-23.572187,21.03882,A
-23.547588,20.97916,A
-23.733282,20.486082,A
-23.583694,20.195744,A
-20.375847,19.941032,A
-19.989822,19.392366,A
-19.327162,19.19257,A
-19.058533,18.939281,A
-18.448109,18.57709,A
-24.058395,20.021091,A
-25.51229,19.923195,A
-25.717434,20.020908,A
-18.374552,18.197613,A
-18.625837,18.07605,A
-25.590406,20.054808,A
-21.809774,15.2156105,A
-20.48185,16.994574,A
-26.77377,15.361145,A
-20.597712,17.052994,A
-26.929993,15.858304,A
-25.489391,19.645905,A
-25.54542,19.723986,A
-18.731228,18.104258,A
-25.793524,18.976751,A
-25.149595,19.251566,A
-25.64788,19.199633,A
-23.091349,18.627293,A
-26.102575,18.719408,A
-25.867205,18.645153,A
-22.62302,18.089033,A
-21.987883,15.471103,A
-20.9074,16.482384,A
-21.795536,15.79253,A
-27.032621,15.889427,A
-21.351404,16.087662,A
-26.606087,16.972359,A
-26.292871,17.265984,A
-23.425735,18.379063,A
-23.372896,15.03949,A
-22.33553,15.345751,A
-22.482588,15.548788,A
-23.989756,14.996897,A
-22.741152,18.783512,A
-25.535975,15.280686,A
-22.363058,18.036592,A
-23.962456,15.024486,A
-22.358482,18.101994,A
-22.377838,18.085384,A
-25.65436,15.940988,A
-23.548937,17.916239,A
-24.542694,18.168762,A
-22.121876,15.768554,A
-25.152634,15.30893,A
-24.951214,17.827923,A
-25.127182,17.77981,A
-23.660181,14.955067,A
-20.883913,17.907446,A
-22.062443,15.553143,A
-27.375753,15.804231,A
-25.735521,17.569029,A
-25.6398,17.69157,A
-26.860819,16.689497,A
-21.390575,16.972765,A
-23.719307,15.022993,A
-25.813923,17.754581,A
-23.043026,17.61773,A
-21.783136,15.902208,A
-26.060232,16.585424,A
-22.96613,17.4341,A
-23.059128,17.693966,A
-25.185537,15.492249,A
-26.313667,17.844421,A
-26.274216,17.100048,A
-26.801323,17.92815,A
-22.37696,15.48506,A
-26.387432,16.578943,A
-24.94658,17.474358,A
-23.221626,17.554014,A
-23.42789,17.64737,A
-23.355015,17.151659,A
-21.510923,17.823904,A
-27.44208,15.931101,A
-22.242264,17.873854,A
-21.863377,17.814842,A
-22.529057,15.381346,A
-26.504896,16.704596,A
-26.826504,16.742546,A
-27.232203,16.314304,A
-25.974777,17.92048,A
-0.74260527,-14.015191,B
-2.7193022,-13.7857685,B
-1.186114,-7.2968287,B
-0.9400888,-7.5752835,B
-2.0941918,-7.248255,B
-4.8820643,-7.626127,B
-1.4474642,-11.861972,B
0.17760144,-12.817409,B
-6.894057,-8.061617,B
-2.4873004,-9.652353,B
-1.8018245,-13.549951,B
-3.4629807,-10.936271,B
-1.7718955,-11.957708,B
-0.40081906,-12.012644,B
-6.201699,-7.469482,B
-1.2359113,-10.2172575,B
-6.1014013,-7.2576356,B
-2.1271207,-9.092229,B
-0.57542807,-10.293622,B
-3.6351533,-6.2137847,B
-4.0399756,-5.5784655,B
-1.1338398,-13.532045,B
-2.5449085,-10.908632,B
0.23368312,-12.75738,B
-6.0400777,-7.715868,B
-3.337882,-10.985276,B
0.007206366,-11.906137,B
-5.4159684,-9.322051,B
-0.13488646,-11.080725,B
-3.647054,-6.738542,B
-3.1448174,-6.4882464,B
-2.2190847,-6.6242332,B
-0.92516744,-8.962338,B
-2.3451736,-6.506712,B
0.15664028,-11.111198,B
-6.780401,-7.285999,B
-3.0070188,-10.380226,B
-3.4378295,-12.31735,B
-4.4142604,-10.347418,B
-2.1037314,-11.690535,B
-6.847822,-7.6739707,B
-0.51520795,-13.08329,B
-6.1210303,-6.355818,B
-3.6059737,-12.899146,B
-5.250548,-6.7238383,B
-1.0600415,-9.293468,B
-3.0972252,-6.5423727,B
-3.7225149,-7.305651,B
-5.8007083,-6.397992,B
-5.9698825,-6.717877,B
-0.9110812,-10.324798,B
-5.59706,-7.786747,B
-0.24002896,-13.234856,B
-6.698527,-6.7570386,B
-1.3715229,-10.62812,B
-6.181066,-7.0708666,B
-1.6511518,-10.318066,B
-0.3625188,-12.045457,B
-6.687404,-6.7565556,B
-5.6160154,-9.078644,B
-5.135541,-8.833109,B
-0.0076184073,-9.917135,B
-1.9879051,-12.824193,B
-3.7782004,-11.254321,B
-0.6849759,-12.113415,B
-3.48702,-12.710502,B
-2.6322238,-12.70518,B
-4.719796,-9.021062,B
-0.9076567,-9.791718,B
-3.7986526,-6.718876,B
-6.5537744,-7.9002795,B
-3.8943639,-9.527742,B
