tsne_1,tsne_2,tsne_3,label
4.978267,7.2893457,17.764694,A
4.879727,7.294497,18.11758,A
4.8511586,7.2874675,18.225096,A
4.8029857,7.2936344,18.348782,A
4.768968,7.264974,18.5282,A
4.575688,7.212732,18.870832,A
4.63559,7.2317867,19.018236,A
4.3752418,7.2576385,19.191633,A
4.271521,7.224548,19.27062,A
4.5117326,7.04942,19.350904,A
4.771522,6.8538203,19.43256,A
4.5754256,6.827656,19.754965,A
4.313312,7.1144543,19.534157,A
4.2148213,7.335954,19.334568,A
4.388196,6.4094167,20.134407,A
4.275034,6.480867,20.176243,A
4.4853663,6.677053,19.663015,A
3.7489166,6.6467247,20.26064,A
3.3890293,6.592314,20.184889,A
3.928887,6.5248294,20.039717,A
4.503921,5.674082,20.83619,A
3.5671947,6.0069013,20.128933,A
2.6314645,5.853366,19.856041,A
2.9932945,5.860873,19.825264,A
3.1813123,5.993188,19.5683,A
3.2892008,5.8569107,20.048187,A
3.6473289,5.951843,19.665493,A
3.0851302,5.7135715,20.453592,A
3.4602182,5.495979,20.286545,A
3.5555472,4.9748535,20.594532,A
3.574123,4.96368,20.65843,A
3.3011608,5.4407687,20.25451,A
2.7329187,4.1580644,20.803076,A
3.5360131,4.8917933,20.626062,A
3.9747534,4.633331,20.95403,A
2.160606,4.095194,19.980633,A
1.7034005,4.3492327,19.882494,A
1.3870006,4.4681005,20.230381,A
1.5980948,4.205931,19.990091,A
1.3830225,4.34392,20.580734,A
1.1303278,4.4288926,20.437214,A
2.857141,3.9934847,20.746864,A
2.2835536,4.359219,20.68205,A
2.5262055,3.8566406,20.526428,A
2.7203472,3.987994,20.753433,A
2.7331467,3.8180099,20.852823,A
2.6421428,4.008832,20.732332,A
1.6862069,3.9069886,19.942305,A
0.91582185,3.66747,19.549618,A
1.134361,3.2819777,21.300268,A
0.96383595,3.5564036,19.570778,A
0.7336074,3.7647054,20.593464,A
1.1227756,3.4624043,21.249624,A
-0.18053116,2.5128486,21.204203,A
0.52983594,3.3912203,20.78425,A
0.23632722,3.0824726,20.79313,A
0.22968654,2.1674664,21.491447,A
0.5519075,2.3978875,21.463484,A
1.31153,2.3480978,20.779179,A
0.13723728,2.1516929,18.750368,A
-0.4912628,2.885101,20.038338,A
-0.32551774,2.2948544,20.88935,A
-0.8453778,2.4483721,19.657341,A
0.2097554,1.1775446,19.798767,A
0.285972,2.2214468,18.942633,A
-0.25019267,2.195441,18.938341,A
0.37928715,1.9482054,19.093988,A
-0.38500318,2.0606217,19.168442,A
-0.12269607,1.7935039,19.108685,A
-1.2187582,0.82201815,22.232393,A
0.06759046,0.8196875,20.247934,A
0.59953487,1.3278488,20.087017,A
-0.25149623,1.4268531,21.786802,A
0.6007044,2.016621,19.43698,A
0.9843701,1.1798894,20.732489,A
0.6687654,1.1117343,20.447098,A
0.0653206,1.9927834,18.910616,A
0.3693066,1.2884527,19.966022,A
-0.2133014,2.23031,21.321238,A
-0.78025943,2.6580887,19.688158,A
-0.24651177,1.0443338,22.188042,A
-0.37398183,1.1454277,21.964474,A
-0.45242497,1.4857258,21.558632,A
-0.21095185,1.0751182,22.207354,A
-1.0021046,2.2497225,20.789429,A
-0.44720936,1.0619988,22.065298,A
-0.09560979,1.3995706,19.395525,A
-1.4037024,0.6212482,22.192783,A
-0.306175,1.7521802,21.4214,A
-0.3863057,0.50401735,20.453829,A
-2.290141,1.8304489,20.920387,A
-0.87931746,1.9414232,21.672401,A
-0.219103,2.1102612,19.295929,A
-0.92864937,0.6897981,21.834036,A
-1.979357,0.64305437,21.48469,A
-2.0812335,0.82014126,21.130938,A
-0.9797572,-0.13637185,22.446985,A
-1.201847,0.85341984,22.067352,A
-2.026776,0.9961149,20.709883,A
-1.8212708,0.52036905,21.616282,A
-1.8505481,1.5458851,21.437243,A
-2.125761,0.86392546,21.401539,A
-2.1756117,0.45859239,21.383986,A
-2.4689012,0.18169732,21.256454,A
-2.1533508,0.11544648,21.649645,A
-2.1948621,0.34133786,21.437296,A
-1.356,-0.051902648,22.1444,A
-1.6335135,0.77120626,21.765057,A
-1.0258172,0.912549,21.810843,A
-0.88636494,2.290197,20.851587,A
6.363443,16.228354,-7.5459285,B
6.72624,16.462095,-7.3602247,B
6.8629227,16.548416,-7.247503,B
6.874808,16.561703,-7.257405,B
6.8402033,16.532045,-7.221054,B
5.5130534,15.655353,-7.525085,B
5.4052343,15.585955,-7.488932,B
5.306862,15.481107,-7.34992,B
5.274533,15.420595,-7.285126,B
5.0128098,15.300939,-7.366068,B
5.12515,15.160062,-6.7092915,B
4.84183,14.94985,-6.3850446,B
4.716232,15.311651,-6.3095207,B
4.262413,14.302721,-5.872807,B
5.4790645,14.807082,-5.8443966,B
5.4780765,16.469318,-4.2406087,B
5.6970396,15.586957,-5.0633926,B
4.865468,16.683044,-5.256925,B
6.326994,16.568485,-5.077139,B
6.8468466,16.4167,-5.0070996,B
7.1808634,16.657633,-6.108549,B
5.713187,14.599078,-6.0893254,B
4.0768385,13.969012,-4.769926,B
6.332698,15.780815,-3.4980333,B
5.592503,14.355448,-5.089278,B
4.255188,15.302774,-4.6608214,B
5.2580647,15.702641,-3.9087288,B
4.3772635,14.637778,-3.7537668,B
6.1074805,15.881476,-4.096628,B
6.5876603,15.97819,-3.8987384,B
7.137532,16.358566,-5.281301,B
7.178599,16.432447,-5.4368734,B
7.030378,16.622673,-5.503562,B
7.1911955,16.417698,-5.4798203,B
6.1330748,16.264257,-5.0272183,B
5.369417,15.678445,-5.2532544,B
3.0894167,15.496632,-4.68491,B
3.830826,15.8430195,-5.1757207,B
3.0881536,15.461367,-4.6657796,B
3.2732391,15.636315,-4.7750044,B
3.2976725,15.821769,-4.9578514,B
6.9852533,12.661119,-0.124857694,B
5.742141,12.924751,-0.9760432,B
7.098104,13.496354,-0.74238163,B
6.9260755,12.710815,-0.36500922,B
7.470402,12.694531,-0.4581178,B
7.5760517,13.248908,-1.0005039,B
7.1394787,13.652309,-1.2004449,B
6.7822165,13.035536,-1.4997795,B
6.970932,13.023669,-1.530234,B
6.912514,12.712453,-0.33520386,B
5.534641,13.101954,-1.2773575,B
6.22486,14.097065,-0.7752679,B
6.321254,14.215556,-0.7564071,B
6.6751986,12.437862,-0.8365785,B
6.4246945,12.827599,-1.23335,B
6.322383,12.389928,-0.64632916,B
6.7103095,13.527309,-0.6543734,B
6.657729,13.717777,-0.6350959,B
5.650304,13.06942,-1.3373907,B
5.5848804,12.965015,-1.2832313,B
5.6902633,12.556958,-1.511161,B
6.280292,12.8200865,-1.8313595,B
5.8533444,13.593089,-0.19332618,B
6.437473,12.419251,-1.2100134,B
5.8693686,13.261058,-1.9641126,B
6.2697306,13.373443,-2.4609892,B
5.3965907,13.523651,-2.5679793,B
7.386146,13.610381,-1.4592501,B
6.9352565,14.099995,-1.6679171,B
6.5484405,14.479389,-1.5627341,B
5.025007,13.751688,-2.8554256,B
4.657774,13.601951,-2.5773191,B
5.965931,13.666429,-2.6551898,B
4.1985173,13.722947,-2.2886379,B
4.8320904,13.862039,-3.0751133,B
6.3384953,13.848629,-3.2751713,B
5.676336,14.047706,-3.4632454,B
4.8722963,13.962035,-3.1359484,B
6.307803,13.972277,-3.4647195,B
4.667051,14.096732,-3.2556858,B
4.7004867,13.779027,-4.6408253,B
6.2242317,14.086491,-3.581633,B
6.2345,14.123892,-3.7123418,B
4.637833,15.305793,-3.846421,B
4.960144,14.38488,-3.7636075,B
6.2994514,15.769993,-3.7028825,B
5.440731,14.471486,-4.906293,B
6.307609,15.780363,-3.529732,B
5.815072,14.383898,-5.114666,B
5.37582,14.534291,-4.8831873,B
5.0486135,14.944091,-4.5970087,B
6.3283296,15.846763,-3.9670117,B
5.4491754,14.606289,-5.113176,B
4.541903,15.064745,-4.554094,B
4.132091,14.774622,-4.4873285,B
5.094537,15.041022,-4.9088244,B
4.0539756,14.671403,-4.423554,B
4.0014563,15.142993,-4.583001,B
4.397207,15.064788,-4.774143,B
5.7317486,15.919299,-4.5464454,B
4.3343163,14.341998,-5.553308,B
15.898562,8.542932,-1.578303,C
15.898898,8.355325,-1.5513018,C
15.870936,7.524291,-1.8210385,C
16.145763,7.80535,-1.3780137,C
16.00739,6.9469075,-1.7015634,C
16.331505,6.2090034,-1.656421,C
17.53353,3.685561,-1.4534309,C
16.804226,6.4899693,-1.8681424,C
17.154894,7.7645245,-2.4188972,C
17.058167,7.775296,-2.2304468,C
16.92513,7.868711,-2.1081667,C
16.87301,7.965963,-1.980281,C
16.951263,8.699223,-0.78855205,C
17.120829,8.806699,-0.30581358,C
16.998283,8.69329,-0.28900015,C
16.245941,7.7083006,0.8233252,C
16.322983,7.774421,1.285942,C
16.104107,7.0058866,1.1794127,C
16.287472,7.9059744,0.9862562,C
17.449581,8.412993,1.0355442,C
17.075989,8.814674,-0.33261275,C
15.768368,7.0989566,0.67627597,C
15.722962,6.510092,0.83449304,C
19.251572,6.7220235,1.2127392,C
19.214317,6.6843905,0.923529,C
16.066185,7.7743444,0.37026772,C
19.036892,6.3532357,-0.017493723,C
17.482862,7.179195,-0.28825146,C
17.287508,7.334207,-0.10502635,C
17.349607,7.255541,0.1397135,C
16.411243,6.743305,1.137734,C
18.890484,6.4742966,2.2288694,C
17.354046,5.9741864,2.6210628,C
17.02764,8.200363,2.7042708,C
18.07386,5.883082,2.7233183,C
17.7529,5.3412194,2.8455503,C
17.379654,5.790743,2.6508617,C
16.903753,6.8334517,2.6767616,C
16.91305,5.739571,2.6139262,C
17.886309,5.2346706,2.4680183,C
17.998896,7.12708,2.487901,C
18.898746,6.69254,2.0446577,C
18.085415,6.3605933,2.0114467,C
18.955286,7.4822445,1.7801229,C
18.153593,8.14162,1.4591825,C
18.570967,8.663489,-0.34758392,C
17.523218,7.7385893,2.1281722,C
18.809359,7.717564,2.3822598,C
17.902409,7.4574423,2.7391071,C
17.947338,7.839671,3.0543244,C
17.549753,7.2320986,2.7424314,C
18.817852,7.15557,2.50423,C
17.893747,7.370196,2.8425741,C
17.934414,7.615684,2.7757604,C
18.10046,7.1668205,3.1117117,C
17.996368,5.170671,1.9552861,C
17.48284,5.5354953,1.9396307,C
18.121647,4.786696,0.92374074,C
18.119864,5.027179,0.8840397,C
17.188608,6.0059133,0.83089125,C
17.619389,7.528781,0.07658286,C
17.783066,6.1822243,0.5157622,C
17.68105,6.9974465,0.16726686,C
18.699415,7.867227,0.72065234,C
18.00344,7.00621,1.2519046,C
16.782415,6.7130976,1.4507314,C
17.401608,5.9933424,2.01043,C
17.918217,7.960287,3.008654,C
17.933199,7.578527,2.9936595,C
18.158052,6.3997636,2.2687778,C
16.690311,6.953279,-1.7407529,C
17.329006,7.3125153,-2.1126986,C
17.411043,6.3283987,-1.4591492,C
17.871487,6.9529023,-1.618685,C
17.895876,6.704271,-1.2742077,C
17.903297,7.5872426,-0.42635864,C
18.41695,7.8562546,-0.4053246,C
18.308437,8.154282,0.98172075,C
18.343128,7.911785,-0.04915536,C
18.092785,6.0513277,0.63245004,C
16.729416,6.657595,0.8239781,C
18.11431,5.9578424,0.44385207,C
17.721704,5.758917,0.37408543,C
18.70262,5.8082414,-0.41901642,C
18.09643,4.6007133,-0.76021373,C
17.648954,3.921117,-1.3991579,C
18.08961,6.0483,-2.0851536,C
18.07433,6.4466524,-2.431154,C
18.22307,6.4229355,-2.6529539,C
18.290281,5.858636,-2.3686996,C
18.236874,6.435668,-2.5342674,C
18.568619,6.5208826,-2.1635413,C
18.13355,6.2413807,-1.5420095,C
18.17492,5.8699827,-1.2150693,C
18.267134,5.70566,-0.78406847,C
18.852272,6.982252,-1.5628794,C
18.247395,5.5594916,-1.0834627,C
18.05121,4.5993824,-1.0477425,C
17.698153,4.014695,-1.4028937,C
18.030457,4.736034,-1.8349288,C
-5.932249,16.785854,0.9137972,D
-2.8023183,16.51818,0.7508683,D
-2.72934,16.90514,1.1231586,D
-4.672177,17.700827,0.8978459,D
-4.916731,17.474712,0.93210006,D
-2.7076297,16.83282,1.0667878,D
-2.6758409,16.822481,0.96537584,D
-4.6329455,17.801714,1.027194,D
-5.7102976,16.874834,1.0132947,D
-5.171076,17.299137,0.93880534,D
-2.696102,16.894909,1.0534877,D
-4.78088,17.692087,0.9352201,D
-5.0247865,17.374825,0.9406202,D
-2.7932112,16.934752,0.9725471,D
-2.7823777,17.03343,1.0095676,D
-5.243774,17.276955,0.86134374,D
-2.7266927,16.914349,0.86491454,D
-5.5324855,17.147938,0.8225201,D
-2.570031,17.040117,0.9097972,D
-5.6725774,16.995893,0.89246756,D
-3.223307,15.414077,1.7596987,D
-4.4805164,15.55314,1.9237416,D
-2.9216745,15.876143,2.0269737,D
-5.26234,16.275894,2.050523,D
-3.00151,16.046404,2.122355,D
-5.579667,16.346622,1.8302655,D
-2.632337,15.249559,1.4585577,D
-2.8310106,16.340826,2.4501307,D
-6.044037,16.290545,1.6572618,D
-2.845654,15.616739,1.9016645,D
-2.8423498,16.23656,2.2436764,D
-2.715999,15.587373,1.7277337,D
-4.119902,17.287064,3.0924082,D
-5.6609206,16.274332,1.8711212,D
-2.7397559,15.820095,1.6678474,D
-2.780099,16.566711,2.2591596,D
-2.882996,16.365986,2.4155207,D
-5.4632454,16.354527,1.8758394,D
-4.5541816,16.655901,2.1604707,D
-2.8402498,15.839137,1.6399021,D
-4.135964,17.307089,3.0917878,D
-5.8038974,16.434402,1.7499723,D
-4.3753386,14.726629,2.9225752,D
-5.2445617,16.056232,3.2372358,D
-2.8608708,14.495944,2.5885131,D
-5.268699,16.010555,2.8896298,D
-4.811472,14.527091,2.5956428,D
-3.3168962,15.005346,2.5341337,D
-4.861899,16.312906,3.6379156,D
-4.37991,14.754614,2.8075702,D
-3.0720518,15.241986,2.9844527,D
-5.321387,15.800134,3.136151,D
-4.0193624,15.107488,3.5366988,D
-3.998513,16.777277,3.8434737,D
-5.4569116,15.646699,2.4640129,D
-3.5513005,15.966231,4.0533423,D
-5.8093476,15.752306,2.3023968,D
-4.241737,16.922728,3.4089346,D
-4.1228733,14.879062,2.8759212,D
-6.2104864,16.031488,2.0953329,D
-3.2582977,15.250332,2.731801,D
-3.0840487,15.924549,3.2411327,D
-4.135263,14.938611,2.7517724,D
-3.2668598,16.071066,3.6892915,D
-4.513437,15.072401,2.8627715,D
-3.1058257,15.880029,3.2630172,D
-12.721025,3.5045195,-12.578638,E
-10.159084,2.0048256,-7.643906,E
-11.121925,3.0228617,-12.1671915,E
-14.457395,4.189138,-14.232685,E
-12.752487,3.410653,-11.854632,E
-9.047407,2.1011698,-10.109027,E
-10.9448805,2.7613776,-10.781807,E
-14.491314,4.237601,-14.336153,E
-11.725246,3.0751154,-11.443684,E
-9.1303,1.8728216,-8.629129,E
-10.742965,2.8549266,-11.727082,E
-11.295632,3.1124122,-12.4822445,E
-13.624466,3.7785864,-12.801844,E
-14.47181,4.1243825,-13.621804,E
-9.8608885,2.137283,-8.90936,E
-9.292711,2.005961,-9.118166,E
-13.574395,3.9662638,-14.290225,E
-13.853214,4.0561743,-14.384455,E
-9.377642,2.1814353,-10.013249,E
-11.051019,2.5646517,-9.391999,E
-13.304826,3.8242931,-13.807032,E
-10.251921,2.3077815,-9.242439,E
-8.565831,1.8186005,-9.285165,E
-8.379141,1.749982,-9.211332,E
-10.112651,1.8652018,-6.936555,E
-13.973064,4.0318274,-14.0758295,E
-8.311238,1.6331404,-8.651486,E
-12.133231,3.3862739,-12.850392,E
-11.073059,2.5760827,-9.421197,E
-9.823966,1.9345793,-7.8078957,E
-14.597346,4.226263,-14.024149,E
-10.591476,2.800482,-11.651812,E
-10.365217,2.4607587,-9.964766,E
-13.640247,3.9767509,-14.259205,E
-11.01616,2.5204623,-9.18672,E
-9.336476,2.076832,-9.45452,E
-14.626768,4.3355937,-14.52083,E
-11.526205,3.0693388,-11.754199,E
-10.937096,2.844542,-11.3239155,E
-13.591243,3.8888357,-13.736695,E
-9.988464,2.3757875,-10.1161785,E
-11.022279,3.0079613,-12.255883,E
-14.169878,3.9690428,-14.428131,E
-8.852814,1.8594077,-9.034494,E
-11.095337,2.908313,-11.45758,E
-12.940714,3.714212,-13.707866,E
-8.053347,1.5665817,-8.705061,E
-9.838965,1.8035994,-7.0446963,E
-7.913175,1.6382499,-9.341436,E
-9.0856085,1.7985368,-8.279321,E
-11.349854,3.0478184,-11.919948,E
-11.704791,3.211547,-12.410418,E
-8.970743,1.7326745,-8.098395,E
-13.460177,3.7097275,-12.6311655,E
-8.241696,1.6925622,-9.112286,E
-9.39041,1.920357,-8.467743,E
-14.43043,4.322751,-14.803124,E
-10.82384,2.6220045,-10.137955,E
-11.185394,2.6185124,-9.485358,E
-14.560221,4.3352375,-14.616096,E
-8.005825,1.6417942,-9.220867,E
-11.069418,2.2377112,-7.4505343,E
-12.431023,3.461093,-12.817274,E
-8.622404,1.6461376,-8.199612,E
-12.33133,3.293663,-11.821889,E
-8.714157,1.423097,-6.802754,E
-12.467064,3.3388016,-11.88493,E
-9.645524,1.7576522,-7.1028013,E
-8.7995205,1.723798,-8.341352,E
-14.122348,4.353818,-14.378564,E
-10.634511,2.4438167,-9.3913,E
-8.835736,2.0913136,-10.425291,E
-12.786409,3.6543956,-13.529764,E
-10.696418,2.6841373,-10.747254,E
-9.17937,1.6212585,-7.121404,E
-10.871112,2.2702672,-7.9670653,E
-10.695935,2.869725,-11.915468,E
-8.076735,1.389171,-7.6658,E
-10.860049,2.183381,-7.488929,E
-12.810437,3.6466184,-13.429396,E
-13.252741,3.5012386,-11.562573,E
-8.923433,1.6024069,-7.4378314,E
-8.506289,1.4523476,-7.2905293,E
-8.025669,1.7695928,-9.891369,E
-10.518576,2.8284695,-11.9671545,E
-13.206356,3.8698285,-14.303542,E
-7.6650596,1.6570926,-9.859577,E
-8.387247,1.4247842,-7.335042,E
-7.7086444,1.4569285,-8.675481,E
-10.255364,2.345891,-9.468221,E
-13.983618,4.1563506,-14.656554,E
-9.670297,2.1446788,-9.286039,E
-11.020064,2.8018723,-10.903823,E
-10.714006,2.5256183,-9.74721,E
-12.747133,3.606606,-13.267112,E
-8.791428,1.8295006,-8.967814,E
-14.420324,4.202464,-14.551836,E
-13.851497,3.9764333,-13.896535,E
21.73508,-3.6231241,-3.2466369,F
20.753504,-2.5856726,-5.32465,F
21.030542,-3.7233417,-4.2454348,F
21.500772,-3.4670444,-2.900252,F
22.155666,-2.5447812,-3.4398472,F
21.407331,-3.2184753,-2.6307983,F
21.267546,-1.7481152,-3.7208416,F
21.801277,-2.2931168,-3.6280308,F
21.39996,-3.5439298,-3.1031945,F
20.53276,-2.6068335,-5.2364073,F
20.463562,-2.5830173,-5.094152,F
20.75818,-1.9465367,-4.638312,F
21.657438,-3.404325,-3.202548,F
21.532614,-3.5168152,-3.3323436,F
20.483425,-2.6650994,-4.914232,F
21.934872,-3.0109046,-4.343344,F
22.177544,-2.65905,-3.3679652,F
21.494703,-3.4763973,-3.1527371,F
22.060816,-3.204898,-4.745047,F
20.640266,-3.484844,-4.1810484,F
21.357832,-1.6642187,-3.845817,F
21.50625,-1.840881,-3.8995106,F
21.994644,-2.360702,-4.093735,F
21.762177,-1.8267043,-4.5068808,F
20.61638,-3.3778236,-4.3549457,F
20.71947,-3.4846547,-4.32604,F
20.450056,-2.5561776,-4.838469,F
20.934654,-3.4912689,-4.510394,F
21.214539,-3.6458576,-4.270937,F
20.911118,-3.713084,-3.7674255,F
21.4745,-1.7953247,-3.95633,F
21.315628,-1.5920275,-3.80902,F
20.6234,-2.1311333,-4.352227,F
21.543793,-3.510883,-3.236545,F
22.209335,-4.013614,-3.3479574,F
21.912685,-2.3958871,-3.5662472,F
21.645744,-1.9577787,-4.0261393,F
20.734787,-2.667457,-5.5139074,F
20.90779,-1.9629309,-4.841324,F
21.320305,-1.7018666,-3.7906337,F
22.111526,-2.5356238,-3.6105156,F
20.771418,-3.728934,-3.8847094,F
1.3634235,15.873354,10.4800005,G
1.9590641,17.751871,8.1932125,G
1.8443797,17.760702,8.179745,G
2.1195405,16.863798,7.968994,G
1.8340394,17.586855,8.451271,G
2.1686316,16.462517,7.822053,G
3.0243797,16.432981,7.953896,G
1.8104116,16.872334,8.247437,G
2.3767858,17.734411,8.752731,G
1.924168,15.7797985,8.107891,G
1.6189631,17.27519,9.234096,G
3.4179194,16.929745,8.540895,G
1.3704761,17.063257,9.18487,G
2.8249202,17.214987,8.697623,G
1.5715644,17.641481,10.051598,G
2.4393923,17.609129,8.687402,G
2.2819738,17.536526,9.407581,G
2.4205985,17.710615,9.19421,G
1.9583855,16.268097,8.597543,G
1.8736254,16.407755,8.757212,G
1.5859687,17.404068,10.144262,G
2.217544,17.584576,9.165918,G
3.5751762,16.579876,8.601424,G
3.065964,16.12445,7.932119,G
3.4664173,16.433926,8.781903,G
3.5890968,16.048096,8.924399,G
3.6815586,16.049982,9.010149,G
3.5107803,16.450333,8.744283,G
3.5233798,16.154375,8.895788,G
2.0655043,16.068027,8.518927,G
3.2814908,15.856724,7.830001,G
3.5985742,16.322609,8.603294,G
1.5261257,16.84747,9.479344,G
1.9282901,17.139479,9.514825,G
2.364913,16.865282,9.572795,G
1.4850171,17.146736,9.962763,G
2.1172595,16.044905,8.702592,G
3.676068,15.894729,9.020055,G
1.6901547,16.896341,10.506521,G
1.7729884,16.053663,9.420129,G
2.161638,16.56323,10.018356,G
3.0672057,15.570383,8.7080555,G
1.5398245,16.213108,9.797826,G
1.6359792,16.835377,10.4220705,G
2.151899,16.657383,10.204798,G
2.492328,15.811536,9.534608,G
4.16914,8.928041,7.3379455,G
6.362407,9.578151,6.8075957,G
5.57674,7.1182337,5.6455975,G
4.671953,7.5182,6.430783,G
3.8537545,7.4459643,6.3326335,G
4.004244,8.20339,6.7713857,G
4.959221,6.9152293,6.1426992,G
6.1316686,8.08641,7.8734975,G
4.665079,6.343625,7.3161807,G
5.12362,7.561625,7.2978125,G
4.976827,7.52555,5.962167,G
5.7698436,6.8955975,5.266076,G
6.4092183,8.343366,7.5152807,G
4.84714,9.398435,6.431318,G
3.9009328,8.648863,6.7352138,G
4.373267,8.516762,6.1572447,G
6.511552,8.071852,6.4555254,G
6.276673,9.527415,6.758529,G
4.4362693,6.366884,6.971949,G
4.753015,9.555923,6.640429,G
4.9977303,9.544743,6.58649,G
4.3434987,9.5716,6.699841,G
4.4410563,6.394085,6.877567,G
5.5660553,7.126806,5.9930687,G
4.687166,7.1417603,7.162377,G
5.649525,6.912664,5.3483133,G
4.5972214,7.9623694,6.86007,G
5.1158934,7.215519,7.4733887,G
5.662656,6.8955846,5.390545,G
5.1448517,6.5832176,5.9491687,G
4.2118196,8.872811,5.8982687,G
6.0042233,9.561802,6.8339386,G
6.42555,8.439426,7.3458533,G
4.962752,6.9950128,7.3792334,G
5.430273,7.331775,6.4190726,G
4.5746703,7.495212,6.865959,G
6.379445,9.44594,6.818392,G
6.18704,8.542844,7.891465,G
6.1628394,8.42174,7.7120786,G
3.7505753,6.6468287,7.181772,G
4.87497,7.165739,6.794037,G
6.0371585,8.287504,7.8806744,G
6.7392783,8.730519,7.112143,G
4.4158025,8.393795,7.3073964,G
4.7255497,8.154911,5.5546045,G
4.465011,7.3287387,6.4890866,G
4.4350615,7.264327,6.7385926,G
4.232523,8.558739,6.7300506,G
4.1817102,7.8463545,6.5877223,G
4.915698,7.3330765,5.7672133,G
6.9518027,8.467851,6.7385077,G
4.778317,6.5246,6.5755033,G
5.307912,7.172201,6.8977766,G
4.71507,8.343412,5.17895,G
4.7524195,8.265508,4.9866524,G
-0.021838184,-4.767471,-16.624043,H
0.16278066,-5.310349,-16.329721,H
-1.4089457,-7.0296183,-16.651928,H
-0.25583678,-6.213953,-16.926035,H
-0.011709113,-4.6763806,-16.397379,H
0.1853688,-6.754095,-15.576061,H
-1.3262026,-6.858764,-16.622488,H
-0.5025108,-6.4100475,-16.815285,H
0.028116954,-3.8497963,-16.28979,H
-1.3980461,-6.9349647,-16.621962,H
-0.30902123,-5.929246,-16.381191,H
0.15362902,-6.598709,-15.370311,H
-1.7681228,-7.177685,-16.034542,H
-0.8845047,-6.259974,-15.676126,H
-0.23104592,-4.5490103,-15.969339,H
-0.28146106,-4.6243997,-15.991144,H
