time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,5.3347,4.7826,5.2174,5.1971,5.3064,5.2606,5.0063,5.3328,4.8382,5.4684,4.86,5.1585,4.9432,4.6984,5.3464
0.422,6.0183,5.4684,5.9194,5.8945,6.025,5.9537,5.7183,6.0445,5.5355,6.166,5.5426,5.9193,5.6365,5.3727,6.0591
0.844,6.7118,6.1572,6.61,6.6121,6.7513,6.7026,6.4112,6.7603,6.2514,6.8963,6.3233,6.6052,6.3367,6.1431,6.7646
1.266,7.4168,6.8576,7.3267,7.3424,7.4721,7.4137,7.1118,7.4691,6.9819,7.6126,7.0461,7.3182,7.0467,6.8322,7.4713
1.688,8.2176,7.5719,8.0354,8.0606,8.234,8.1594,7.823,8.2103,7.6984,8.4272,7.7612,8.0461,7.7689,7.5447,8.1739
2.11,8.941,8.3731,8.7541,8.7851,8.9712,8.9134,8.5417,8.9385,8.4237,9.1649,8.4806,8.7606,8.48,8.2767,8.888
2.532,9.7008,9.0981,9.4946,9.5194,9.7378,9.6527,9.2807,9.7085,9.1728,9.9235,9.2093,9.4814,9.2049,8.9955,9.624
2.954,10.4537,9.8351,10.3294,10.2597,10.5021,10.4122,10.0211,10.4539,9.9145,10.7011,9.9789,10.2246,9.9392,9.7192,10.3802
3.376,11.1965,10.5774,11.0766,11.0108,11.2589,11.1712,10.7706,11.2231,10.6831,11.4537,10.7473,10.9843,10.7312,10.5007,11.2189
3.797,11.9562,11.3578,11.8299,11.8705,12.0307,11.9364,11.5393,12.0147,11.4441,12.2199,11.5323,11.7325,11.4795,11.273,11.9966
4.219,12.7529,12.2204,12.5932,12.6432,12.8087,12.7166,12.315,12.7916,12.2395,13.0242,12.3069,12.4894,12.2535,12.0467,12.7601
4.641,13.548,12.9922,13.3926,13.4228,13.7665,13.5089,13.0911,13.6096,13.0347,13.8118,13.0856,13.257,13.022,12.815,13.5496
5.063,14.3616,13.7834,14.1752,14.2114,14.5729,14.3006,13.8765,14.4056,13.8258,14.6092,13.8996,14.0819,13.7962,13.5943,14.3594
5.485,14.4574,14.4962,14.2789,14.5476,14.5009,14.4826,14.6248,14.7719,14.6558,14.6669,14.5878,14.3335,14.53,14.3728,14.2744
5.907,13.634,14.0111,13.468,13.7621,13.6717,13.6445,14.1729,14.0067,14.6001,13.7593,14.0726,13.5561,13.9041,14.0853,13.4702
6.329,12.8481,13.098,12.6474,12.937,12.8669,12.8344,13.3456,13.1006,13.8015,12.9432,13.2506,12.7683,13.1152,13.2655,12.6861
6.751,12.0131,12.2905,11.8515,12.1501,12.0148,12.0406,12.544,12.3041,12.9955,12.1314,12.4441,11.8865,12.3072,12.4741,11.8847
7.173,11.2227,11.4836,11.0784,11.3364,11.2312,11.2574,11.7469,11.512,12.2144,11.3427,11.6482,11.1208,11.5353,11.6872,11.1101
7.595,10.4649,10.7146,10.3149,10.5471,10.4519,10.4602,10.9689,10.7187,11.4394,10.5805,10.864,10.3492,10.7404,10.8965,10.3504
