time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.2141,-0.1294,-0.1712,-0.1768,-0.0543,-0.1764,-0.3243,-0.3433,-0.062,-0.1539,-0.1913,-0.2767,-0.0133,-0.0782,-0.1484
0.422,0.2384,0.3595,0.3061,0.3182,0.4605,0.2746,0.0413,0.0492,0.5187,0.318,0.2654,0.137,0.5333,0.4258,0.337
0.844,0.8381,0.9692,0.9067,0.959,1.1011,0.8759,0.5905,0.6244,1.1934,0.918,0.8782,0.7262,1.1889,1.0392,0.9451
1.266,1.5326,1.7828,1.6149,1.6923,1.8663,1.5796,1.2585,1.3032,1.9544,1.6757,1.5892,1.4274,1.9655,1.786,1.66
1.688,2.3182,2.5805,2.3985,2.4914,2.7024,2.3632,2.1227,2.1025,2.7659,2.4839,2.3999,2.2025,2.7791,2.5838,2.4629
2.11,3.1673,3.4011,3.2339,3.33,3.4327,3.1944,2.9505,2.93,3.451,3.346,3.2527,3.0268,3.4381,3.4409,3.3109
2.532,3.2359,3.0359,3.223,2.9994,2.8969,3.2431,3.3908,3.4751,2.8395,3.2169,3.2719,3.38,2.6986,3.1897,3.2452
2.954,2.3928,2.1893,2.3838,2.1188,2.0666,2.394,2.5827,2.7152,2.0041,2.3714,2.4119,2.5491,1.8782,2.331,2.3707
3.376,1.5568,1.4077,1.5751,1.3395,1.2833,1.5979,1.7616,1.8817,1.2324,1.5738,1.5821,1.7366,1.1026,1.5395,1.5744
3.797,0.813,0.7039,0.8593,0.6443,0.5831,0.8767,1.0118,1.1027,0.5409,0.8353,0.8536,0.9691,0.4451,0.8237,0.8317
4.219,0.2117,0.139,0.2419,0.0644,0.0327,0.2737,0.3657,0.4443,-0.007,0.2418,0.2508,0.3305,-0.0771,0.2414,0.2367
4.641,-0.2387,-0.2119,-0.1985,-0.288,-0.2517,-0.1761,-0.1385,-0.0983,-0.2553,-0.1935,-0.2021,-0.1611,-0.2369,-0.1609,-0.1965
5.063,-0.0041,0.1229,0.0288,0.1467,0.2041,0.0202,-0.2196,-0.2252,0.1788,0.0319,-0.0227,-0.1389,0.2278,0.1029,0.0348
5.485,0.546,0.6964,0.5718,0.748,0.8098,0.5491,0.2568,0.3369,0.7705,0.592,0.5228,0.3823,0.8297,0.6648,0.5682
5.907,1.2089,1.384,1.2527,1.4508,1.5465,1.2061,0.9462,0.981,1.4743,1.2792,1.2069,1.0157,1.5461,1.3321,1.2716
6.329,1.9886,2.1525,2.0104,2.2348,2.336,1.988,1.6821,1.714,2.2698,2.0443,1.9735,1.7819,2.3398,2.1183,2.0341
6.751,2.8035,3.006,2.8382,3.1745,3.1729,2.8044,2.4868,2.5167,3.2792,2.8898,2.8204,2.5918,3.1784,2.9415,2.8699
7.173,3.4162,3.4302,3.4772,3.2048,3.276,3.5051,3.3271,3.3724,3.1908,3.5093,3.4795,3.3982,3.0675,3.5129,3.506
7.595,2.7033,2.6231,2.8003,2.3578,2.417,2.8715,3.0537,3.122,2.3305,2.8113,2.8474,2.9867,2.23,2.737,2.8381
8.017,1.9407,1.8082,1.9231,1.5307,1.6101,2.0184,2.1136,2.2778,1.511,1.9672,2.0186,2.1536,1.4451,1.8932,1.9735
8.439,1.195,1.0438,1.1551,0.8069,0.8785,1.2518,1.3366,1.4603,0.7955,1.2172,1.2594,1.3522,0.7414,1.1403,1.2006
