time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.0554,0.0929,-0.1795,-0.3554,-0.0789,-0.0487,0.1841,-0.2469,0.0262,-0.3227,-0.3728,-0.2382,-0.0654,-0.0428,-0.2626
0.422,0.9303,1.124,0.6498,0.5476,0.8718,0.9501,1.2315,0.6746,1.0773,0.397,0.507,0.6673,0.934,1.0157,0.3671
0.844,2.2014,2.4176,1.7807,1.7221,2.1495,2.2481,2.575,1.8861,2.3946,1.4798,1.6577,1.8629,2.1875,2.3151,1.4092
1.266,3.7999,4.0237,3.202,3.2001,3.6759,3.8493,4.2167,3.3839,3.9857,2.857,3.0981,3.3524,3.757,3.9167,2.9417
1.688,5.6407,5.8361,4.8876,4.918,5.4993,5.6428,6.0483,5.3582,5.8012,4.5151,4.8382,5.1526,5.5968,5.7503,4.6238
2.11,7.3963,7.3921,6.8516,6.8276,7.4135,7.4313,7.4749,7.2668,7.4378,6.5923,6.7951,7.0669,7.452,7.4888,6.4832
2.532,6.2946,5.9221,7.4133,6.9584,6.5883,6.2685,5.8204,6.7551,5.9691,7.548,7.2026,6.7995,6.5261,6.1827,7.7027
2.954,4.408,4.0135,5.474,5.0157,4.6802,4.3666,3.9745,4.8464,4.1067,5.7086,5.2586,4.8115,4.6101,4.3005,5.9693
3.376,2.6544,2.3327,3.6892,3.2089,2.9802,2.68,2.235,3.1183,2.4567,3.8998,3.4343,3.0902,2.915,2.6357,4.1298
3.797,1.2827,1.0079,2.158,1.6741,1.5096,1.258,0.9339,1.6229,1.096,2.3246,1.9058,1.6314,1.4995,1.2373,2.5203
4.219,0.2217,-0.0232,0.8923,0.4631,0.3838,0.1948,-0.046,0.4136,-0.0066,1.0214,0.6777,0.4845,0.2617,0.171,1.2072
4.641,-0.3419,-0.4002,-0.0546,-0.3814,-0.288,-0.37,-0.2832,-0.3319,-0.406,0.0441,-0.2559,-0.3152,-0.2804,-0.3564,0.1648
5.063,0.3965,0.4281,0.1273,0.0165,0.3156,0.3792,0.6406,0.1993,0.4239,-0.0189,-0.0388,0.1334,0.4626,0.4475,-0.0706
5.485,1.5588,1.5806,1.0922,1.0291,1.3835,1.5319,1.8812,1.2573,1.5816,0.9203,0.9445,1.1849,1.5789,1.5931,0.8177
5.907,2.9842,3.052,2.398,2.3408,2.7832,3.0147,3.3879,2.6674,3.0883,2.1801,2.225,2.5714,2.9963,3.055,2.003
6.329,4.6749,5.1343,3.9873,4.0025,4.4402,4.7459,5.1487,4.3601,4.8561,3.7207,3.8466,4.2011,4.6892,4.8314,3.4976
6.751,6.5659,7.0503,5.7949,5.8463,6.4172,6.649,7.1361,6.2172,6.7524,5.6117,5.7163,6.1306,6.6039,6.7605,5.3758
7.173,7.3047,6.6024,7.5853,7.4149,7.4623,7.206,6.7762,7.5156,6.8995,7.5094,7.468,7.4987,7.4149,7.1633,7.3085
7.595,5.173,4.6932,6.5351,5.9633,5.6133,5.1379,4.853,5.7924,4.8907,6.7251,6.1438,5.8423,5.5338,5.1809,7.0108
8.017,3.3568,2.7695,4.6483,4.0487,3.7478,3.3571,3.1194,3.953,3.0804,4.745,4.2478,3.9442,3.6635,3.3537,5.0752
8.439,1.857,1.313,2.9654,2.4011,2.1269,1.8253,1.5627,2.2734,1.5734,3.037,2.5883,2.2737,2.1088,1.7965,3.3327
8.861,0.6674,0.2267,1.4868,1.0344,0.843,0.6308,0.431,0.9482,0.405,1.5845,1.2208,0.9413,0.811,0.5934,1.7742
9.283,-0.2133,-0.5166,0.3937,-0.0041,-0.0828,-0.2509,-0.368,-0.0498,-0.4438,0.4658,0.1551,-0.0334,-0.1117,-0.3046,0.6016
9.705,0.0,0.0,-0.2721,0.0,0.0,0.0,0.0,0.0,0.0,-0.2636,0.0,0.0,0.0,0.0,-0.1941
