time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.5132,-0.3462,-0.5406,-0.7087,-0.7448,-0.6721,-0.4635,-0.5051,-0.5872,-0.4659,-0.4129,-0.3675,-0.3874,-0.2398,-0.6461
0.422,0.3677,0.6203,0.3627,0.0135,-0.0512,0.0598,0.4789,0.2822,0.318,0.4157,0.4288,0.4916,0.4802,0.6863,0.0082
0.844,1.5393,1.9151,1.5665,1.047,0.9494,1.0952,1.6726,1.3431,1.4749,1.547,1.5745,1.6812,1.6414,1.9094,1.0161
1.266,3.0257,3.4829,3.2815,2.397,2.2532,2.4812,3.2232,2.7649,2.9745,2.9807,3.0172,3.1571,3.1207,3.4437,2.2898
1.688,4.7785,5.3229,5.0847,4.0661,3.8617,4.1477,4.9949,4.4426,4.7002,4.6972,4.7409,4.9682,4.8753,5.236,3.892
2.11,6.6857,6.7463,6.5714,6.0071,5.7873,6.0637,6.5605,6.3386,6.6377,6.5994,6.5485,6.6189,6.5084,6.3907,5.783
2.532,5.7913,5.143,5.0513,6.4309,6.5003,6.3027,4.9963,5.9888,5.9776,5.7729,5.5424,5.2392,5.1374,4.506,6.4135
2.954,3.8097,3.2902,3.2097,4.4625,4.5322,4.3542,3.1771,4.0807,4.0624,3.8615,3.635,3.3842,3.2957,2.7506,4.5109
3.376,2.1434,1.6948,1.442,2.666,2.78,2.629,1.5744,2.4081,2.3934,2.2262,1.9807,1.8175,1.7252,1.2898,2.7805
3.797,0.7901,0.4378,0.2003,1.21,1.3123,1.1649,0.3549,1.0112,1.0033,0.9024,0.6945,0.5566,0.4493,0.13,1.346
4.219,-0.2432,-0.5109,-0.7158,0.0971,0.1714,0.0621,-0.5562,-0.0444,-0.0559,-0.2112,-0.2673,-0.3711,-0.465,-0.6825,0.243
4.641,-0.8508,-0.8416,-0.9074,-0.7314,-0.663,-0.7185,-0.8542,-0.7092,-0.7628,-0.7259,-0.7684,-0.7785,-0.8451,-0.6974,-0.6375
5.063,-0.1555,-0.0558,-0.0776,-0.5036,-0.604,-0.4906,-0.1104,-0.2295,-0.2843,-0.078,-0.1387,-0.0997,-0.1494,0.1144,-0.4169
5.485,0.8887,1.0466,1.0438,0.394,0.2518,0.3884,0.9431,0.709,0.6956,0.9192,0.843,0.9314,0.8731,1.2378,0.4341
5.907,2.2515,2.4482,2.521,1.6251,1.5719,1.5573,2.356,1.9531,2.0092,2.2242,2.1367,2.2902,2.1988,2.7054,1.5901
6.329,3.96,4.1397,4.3018,3.1407,3.0809,3.3875,4.0286,3.5152,3.59,3.8449,3.9895,3.9538,3.8303,4.413,3.0559
6.751,5.9202,6.0575,6.255,4.9794,4.8514,5.1926,5.9281,5.4626,5.4192,5.7571,5.9235,5.8223,5.8094,6.3806,4.816
7.173,7.9771,8.2659,8.4532,6.9573,6.8902,7.1796,8.0556,7.4725,7.4245,7.7814,8.0389,7.8623,7.8513,8.499,6.7778
7.595,10.1991,10.4675,10.6707,9.0824,9.0591,9.3082,10.2342,9.6471,9.8179,10.0093,10.2293,10.0224,10.012,10.6846,8.8972
8.017,12.4679,12.7948,12.9679,11.3172,11.3053,11.8138,12.5734,11.8965,12.0599,12.2964,12.5655,12.2735,12.3185,12.9636,11.097
8.439,14.8239,15.167,15.4151,13.7052,13.6054,14.14,14.999,14.2949,14.4506,14.6313,14.9162,14.6157,14.7329,15.6178,13.382
8.861,17.3299,17.6726,17.8544,16.1244,15.9861,16.5273,17.4393,16.7497,16.8936,17.1196,17.3303,17.182,17.2034,18.0435,16.0462
9.283,19.8517,20.0239,19.9561,18.653,18.43,18.9797,19.7872,19.2782,19.3588,19.5776,19.8044,19.623,19.5812,19.7521,18.5431
9.705,19.2257,18.8016,18.2655,20.019,19.999,19.7266,18.4581,19.4811,19.7036,19.3037,18.8122,18.9072,18.5653,17.7031,19.6952
10.127,16.6349,16.3035,15.7009,17.722,17.7497,17.2785,15.982,16.9815,17.1189,16.7545,16.3281,16.3542,16.0085,15.2601,17.3258
10.549,14.2059,13.8052,13.2562,15.2608,15.2934,14.6691,13.5767,14.4736,14.6859,14.3293,13.905,13.9443,13.6085,12.8781,14.891
10.97,11.8204,11.398,10.9262,12.8632,12.9194,12.2617,11.1716,12.1268,12.3282,11.9581,11.499,11.4729,11.2018,10.5257,12.5311
11.392,9.5491,9.1266,8.6826,10.4953,10.6287,9.9884,8.9462,9.8711,10.0674,9.6296,9.2322,9.1902,8.9832,8.2841,10.2119
11.814,7.3827,6.9645,6.5341,8.2993,8.3621,7.7499,6.8147,7.6647,7.9007,7.4766,7.0229,7.0583,6.8617,6.1951,7.9683
12.236,5.3426,4.9581,4.5567,6.1064,6.2597,5.6739,4.8258,5.6208,5.7615,5.4394,5.0321,5.0042,4.8126,4.2725,5.9155
12.658,3.5033,3.1579,2.7398,4.187,4.2432,3.7386,2.8436,3.7135,3.8688,3.6079,3.2291,3.2223,3.0489,2.3919,4.0223
13.08,1.9088,1.5943,1.2825,2.5096,2.5609,2.1463,1.4005,2.1095,2.2757,1.9845,1.6923,1.7031,1.4937,1.0325,2.3985
13.502,0.444,0.4163,0.1583,1.1444,1.1895,0.8778,0.2856,0.8682,0.9621,0.7457,0.5327,0.5449,0.3536,0.03,1.0566
13.924,-0.436,-0.4636,-0.677,-0.0202,0.1461,-0.0897,-0.542,-0.0557,0.0024,-0.1694,-0.2972,-0.2953,-0.4492,-0.6761,0.1009
14.346,-0.6313,-0.698,-0.7218,-0.6617,-0.5939,-0.6448,-0.6495,-0.572,-0.5527,-0.5748,-0.5869,-0.6112,-0.6678,-0.4243,-0.5468
14.768,0.1555,0.0558,0.082,-0.2475,-0.2765,-0.0976,0.1104,-0.0161,0.0021,0.052,0.0925,0.0665,0.1494,0.4273,-0.2089
15.19,1.2255,1.1093,1.1859,0.6467,0.6266,0.8347,1.1722,0.9545,0.9641,1.0354,1.1258,1.0907,1.2095,1.5468,0.6224
15.612,2.6442,2.5421,2.6775,1.8618,1.8329,2.0828,2.5535,2.2188,2.2396,2.3389,2.4534,2.4557,2.5887,3.0073,1.7547
16.034,4.3582,4.3054,4.4172,3.4238,3.3694,3.6666,4.2589,3.806,3.7432,3.9695,4.1593,4.0939,4.2958,4.7574,3.4337
16.456,6.3159,6.285,6.4758,5.2452,5.2358,5.5209,6.2492,5.6558,5.5918,5.9037,6.0551,5.9734,6.2112,6.7178,5.2257
16.878,8.4736,8.3733,8.6583,7.2621,7.2381,7.6651,8.3277,7.9746,7.614,7.957,8.1143,8.1024,8.3671,8.819,7.2835
17.3,10.7137,10.5749,10.9599,9.4101,9.3717,9.8977,10.6423,10.1391,9.7927,10.2773,10.4126,10.3676,10.6327,11.1416,9.4947
17.722,13.165,12.8717,13.3422,11.7235,11.6101,12.1548,13.0039,12.401,12.0414,12.5387,12.7611,12.6887,12.9247,13.435,11.7536
18.143,15.5466,15.6172,15.7517,14.0733,13.9366,14.5523,15.3693,14.7475,14.3686,14.8798,15.2092,15.0468,15.2855,15.8069,14.0676
18.565,18.0019,18.1221,18.2874,16.4947,16.3784,16.9614,17.8203,17.2098,16.7689,17.2893,17.6341,17.4796,17.7039,18.3285,16.4458
