time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,0.0019,0.1964,-0.1307,-0.1215,-0.0412,-0.0736,-0.0877,0.3128,0.0453,-0.108,0.0525,-0.0864,-0.0668,0.305,0.0059
0.422,0.6732,1.0238,0.6066,0.5202,0.7096,0.5854,0.671,1.157,0.8396,0.5248,0.7642,0.5501,0.6574,1.1609,0.7575
0.844,1.597,2.0341,1.5589,1.4229,1.6781,1.4884,1.6614,2.1781,1.8465,1.4122,1.7397,1.4699,1.6185,2.2371,1.749
1.266,2.6514,3.1823,2.6512,2.5006,2.7778,2.5449,2.7664,3.2952,2.9813,2.4841,2.8546,2.5611,2.7313,3.3989,2.8814
1.688,3.7995,4.3605,3.8016,3.6374,3.9363,3.7013,3.9268,4.4812,4.1724,3.6081,4.0132,3.6975,3.894,4.5904,4.0686
2.11,5.0137,5.6101,5.0128,4.858,5.1772,4.9038,5.149,6.0109,5.4074,4.7914,5.2718,4.8991,5.1499,5.8396,5.3047
2.532,6.3028,6.336,6.2067,6.1539,6.3067,6.1995,6.2934,6.1014,6.3178,6.0567,6.4371,6.1998,6.2868,6.1651,6.3493
2.954,6.1944,5.1243,5.5997,6.124,5.5584,6.1813,5.4181,4.8132,5.2468,6.0596,5.6913,6.1227,5.5301,4.8595,5.3841
3.376,4.9147,3.8951,4.3449,4.7479,4.1624,4.9079,4.1697,3.5943,4.0067,4.7607,4.446,4.8473,4.2724,3.5939,4.0925
3.797,3.7008,2.6965,3.1446,3.5401,2.9729,3.6629,2.9808,2.4054,2.817,3.5638,3.099,3.5983,3.0862,2.4408,2.9092
4.219,2.5595,1.5941,1.9748,2.3948,1.8358,2.4786,1.8643,1.2976,1.6447,2.4289,1.9907,2.4535,1.9668,1.3606,1.7779
4.641,1.5015,0.6147,0.9427,1.3394,0.8271,1.402,0.8481,0.4012,0.6674,1.3734,0.9882,1.3974,0.9465,0.4343,0.7491
5.063,0.5836,-0.0862,0.0871,0.4513,0.0275,0.4624,0.0585,-0.2118,-0.0679,0.4799,0.208,0.5043,0.0446,-0.2311,-0.0089
5.485,-0.0906,-0.4187,-0.4603,-0.1525,-0.4568,-0.117,-0.4273,-0.3783,-0.453,-0.1205,-0.2643,-0.1123,-0.4245,-0.4059,-0.4245
5.907,-0.164,-0.0571,-0.3844,-0.2875,-0.2241,-0.2084,-0.2105,0.0695,-0.1308,-0.2262,-0.1226,-0.2211,-0.2704,0.0436,-0.1863
6.329,0.3466,0.6644,0.1948,0.2,0.409,0.2898,0.4544,0.8311,0.5533,0.2678,0.4836,0.2699,0.3253,0.8065,0.474
6.751,1.1529,1.6594,1.0615,1.0,1.3531,1.1182,1.3747,1.8597,1.4964,1.0754,1.3926,1.0661,1.2098,1.8367,1.4139
7.173,2.1643,2.9038,2.1017,2.1269,2.435,2.2741,2.4708,3.0884,2.5782,2.1213,2.4463,2.075,2.2594,3.0216,2.5133
7.595,3.2732,4.0752,3.2369,3.2392,3.5825,3.3964,3.6146,4.4426,3.7714,3.2412,3.5822,3.3076,3.448,4.2229,3.6615
8.017,4.4675,5.3421,4.7096,4.4241,4.8744,4.5851,4.8648,5.682,4.9849,4.4351,4.7755,4.5168,4.6545,5.4881,4.9022
8.439,5.7392,6.3789,5.9715,5.6891,6.1674,5.8686,6.1547,6.2772,6.2607,5.6648,6.1053,5.7672,5.914,6.3129,6.1593
8.861,6.5298,5.4653,5.9138,6.4314,5.7947,6.4448,5.8244,5.0657,5.766,6.4209,6.1564,6.4406,6.0751,5.2045,5.7027
9.283,5.2475,4.2198,4.5949,5.2928,4.5321,5.2184,4.5603,3.8481,4.5129,5.275,4.8342,5.2192,4.7998,3.9556,4.4128
9.705,3.9879,2.9476,3.2364,4.0567,3.3282,3.9521,3.3244,2.694,3.3103,4.036,3.5957,3.9486,3.3332,2.7823,3.2041
10.127,2.8227,1.8058,2.0744,2.852,2.1518,2.7585,2.1876,1.574,2.0317,2.829,2.4432,2.7857,2.1989,1.6455,2.0688
10.549,1.7061,0.8104,1.0295,1.7437,1.0998,1.6744,1.1371,0.5951,1.0009,1.7214,1.3351,1.6992,1.1474,0.6536,1.0306
10.97,0.7553,0.038,0.165,0.7731,0.1837,0.725,0.2483,-0.1042,0.1571,0.763,0.4489,0.716,0.2752,-0.0654,0.1668
11.392,-0.0044,0.0,0.0,0.0521,0.0,0.0315,0.0,0.0,0.0,0.0463,-0.1356,0.037,0.0,0.0,0.0
