time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.2103,0.279,-0.0576,-0.1126,-0.0317,-0.2148,-0.1899,0.0103,-0.1082,-0.0175,-0.0314,0.0072,-0.1513,-0.1974,0.1873
0.422,0.1746,1.2209,0.6576,0.4475,0.7208,0.2584,0.1461,0.7496,0.5581,0.5287,0.45,0.7893,0.449,0.1643,1.1236
0.844,1.122,2.5429,1.7765,1.5148,1.8628,1.221,1.0085,1.9362,1.667,1.6954,1.4692,1.9519,1.5061,1.079,2.4351
1.266,2.6457,3.9891,3.3307,2.8013,3.2884,2.6084,2.5294,3.3501,3.03,3.5983,2.7388,3.3362,2.8534,2.5567,3.9029
1.688,4.1839,5.5356,4.8689,4.2502,4.8148,4.1297,4.0469,4.946,4.6544,4.6097,4.2816,4.8971,4.3311,4.1188,5.4386
2.11,5.7984,6.7634,6.5015,5.8339,6.4401,5.7172,5.6697,6.5397,6.2627,5.9978,5.85,6.5577,6.1236,5.7566,6.6987
2.532,6.8098,5.3946,6.2296,6.6897,6.2263,6.6915,6.7348,5.9597,6.32,6.4336,6.6546,5.9176,6.2885,6.7175,5.3744
2.954,5.4038,3.8057,4.5798,5.1095,4.6088,5.1746,5.318,4.3578,4.6709,4.7536,5.1164,4.2535,4.6728,5.2481,3.762
3.376,3.8136,2.3559,3.0138,3.5095,3.0948,3.6004,3.7282,2.8668,3.1531,3.2358,3.5331,2.7169,3.1885,3.636,2.2783
3.797,2.2577,1.0889,1.6567,2.0469,1.6743,2.1712,2.2778,1.2551,1.5783,1.8339,2.1238,1.3906,1.8063,2.1204,1.0293
4.219,1.0141,0.2032,0.5756,0.8475,0.5825,0.9236,1.0379,0.2985,0.4953,0.7049,0.9231,0.372,0.65,0.9065,0.1765
4.641,0.1576,-0.0205,-0.0119,0.0939,-0.0099,0.1142,0.1881,-0.046,-0.0504,0.0183,0.1194,-0.0986,-0.0345,0.1019,-0.0262
5.063,0.0087,0.6132,0.3241,0.119,0.2643,0.0092,0.0099,0.4942,0.297,0.1917,0.1143,0.3397,0.1269,0.0715,0.5969
5.485,0.6829,1.7102,1.2674,0.9057,1.1829,0.7035,0.6846,1.5571,1.2062,1.0094,0.8635,1.2929,0.9661,0.7953,1.7087
5.907,1.9122,3.1719,2.5269,2.1123,2.4554,1.8294,1.9696,2.9023,2.5357,2.2331,2.0273,2.5867,2.224,1.9364,3.0807
6.329,3.3416,4.7453,3.9872,3.5283,3.9151,3.5608,3.4204,4.395,4.0259,3.6573,3.4512,4.075,3.6513,3.3264,4.5791
6.751,4.8739,6.3975,5.5745,5.0874,5.4952,5.1149,4.9927,6.02,5.69,5.2191,4.9687,5.6819,5.3247,4.8542,6.2243
7.173,6.5234,6.3328,6.8469,6.6496,6.8539,6.6706,6.6002,6.5808,6.7132,6.6943,6.5932,6.7914,6.6877,6.4685,6.1309
7.595,6.262,4.6532,5.4545,6.0049,5.5408,5.9051,6.0433,4.9455,5.2375,5.4235,6.0484,5.271,5.4761,6.0777,4.5019
8.017,4.5273,3.1188,3.8713,4.3903,3.9441,4.3045,4.4366,3.4,3.6859,3.8617,4.3918,3.6468,3.9223,4.132,2.9604
8.439,2.9845,1.7026,2.3587,2.8494,2.4563,2.7654,2.8764,1.835,2.2343,2.3746,2.8644,2.1745,2.476,2.6476,1.5775
8.861,1.6147,0.6188,1.0871,1.5059,1.0375,1.4362,1.5443,0.6808,0.9705,1.1171,1.4979,0.9334,1.136,1.2976,0.5481
9.283,0.5481,0.0203,0.2741,0.4936,0.2225,0.387,0.5176,0.0382,0.1745,0.2357,0.4828,0.1281,0.2457,0.3526,0.0262
9.705,-0.0131,0.3035,0.1371,0.0048,0.0672,-0.0137,0.01,0.2067,0.0639,0.0116,0.0073,-0.0015,0.023,-0.0369,0.3328
10.127,0.4326,1.1882,0.831,0.4199,0.7115,0.4637,0.3792,1.0175,0.7307,0.6147,0.3909,0.8023,0.6312,0.5281,1.2221
10.549,1.4251,2.3231,1.9744,1.3998,1.8217,1.4902,1.3047,2.2202,1.9311,1.7483,1.3638,2.0056,1.7395,1.5699,2.2983
10.97,2.3946,1.5341,2.0803,2.3547,2.0113,2.2577,2.3326,1.6139,2.001,2.1654,2.3033,1.8871,2.1708,2.2295,1.3758
11.392,1.3953,0.4828,0.8469,1.3995,0.8189,1.0508,1.3466,0.5462,0.8051,0.9222,1.2901,0.7076,0.9578,1.0951,0.3959
11.814,0.3434,-0.0203,0.1027,0.3726,0.0763,0.1855,0.3468,-0.0103,0.0461,0.1142,0.332,0.0015,0.1403,0.2281,-0.0336
12.236,0.0289,0.4043,0.181,-0.0072,0.16,0.0215,-0.0148,0.3416,0.1409,0.0836,-0.011,0.2161,0.12,0.0246,0.4467
12.658,0.651,1.4107,1.0351,0.5032,0.9933,0.6955,0.5215,1.4105,1.0639,0.8584,0.5842,1.0965,0.8769,0.7729,1.5076
13.08,1.7833,2.3537,2.2353,1.5044,2.2134,1.8164,1.5964,2.3384,2.267,2.0328,1.6533,2.2207,2.0479,1.7758,2.2806
13.502,2.2621,1.3469,1.8123,2.3255,1.8019,2.2043,2.3138,1.3212,1.7611,1.8008,2.2103,1.5161,1.9681,2.0208,1.1892
13.924,1.0548,0.3119,0.6522,1.0842,0.6739,0.9688,1.165,0.3511,0.6828,0.6457,1.0108,0.437,0.7712,0.7925,0.2579
14.346,0.1747,-0.1013,0.0079,0.2136,0.0066,0.1358,0.2285,-0.0829,0.0298,-0.0767,0.1382,-0.1506,0.0735,0.0327,-0.1129
14.768,-0.0896,-0.1081,-0.0865,-0.0955,-0.1061,-0.1305,-0.1095,-0.0908,-0.0485,-0.154,-0.1317,-0.2176,-0.0682,-0.1745,-0.1008
15.19,-0.0688,0.0,-0.0773,-0.0958,-0.1033,-0.1193,-0.102,0.0,-0.0447,-0.1464,-0.1214,0.0,-0.0633,-0.1634,0.0
