time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,1.4495,1.262,1.1294,1.2982,1.4032,1.0476,1.1396,0.9949,1.5768,1.3465,1.4664,1.0139,1.2976,1.6953,1.2987
0.422,2.1248,2.0073,1.7957,1.9578,2.0768,1.6912,1.7899,1.6433,2.2556,2.0293,2.1642,1.6597,1.9626,2.3895,1.9715
0.844,2.9286,2.7038,2.4903,2.7419,2.7809,2.3971,2.5792,2.3241,2.9835,2.7302,2.8731,2.3557,2.7585,3.1155,2.694
1.266,3.66,3.4522,3.2113,3.4654,3.5139,3.1091,3.3235,3.0543,3.7179,3.4776,3.6059,3.0937,3.5035,3.8793,3.4509
1.688,4.4201,4.1921,3.9454,4.2177,4.2802,3.8543,4.0612,3.7876,4.4719,4.2506,4.3858,3.8364,4.2804,4.6419,4.2168
2.11,5.2102,4.9457,4.7041,4.9955,5.1834,4.636,4.8719,4.6005,5.2429,5.0499,5.1562,4.6531,5.0503,5.4408,4.9933
2.532,5.9984,5.8383,5.498,5.7732,5.9892,5.4467,5.6723,5.372,6.0712,5.8986,5.9468,5.4508,5.8486,6.2704,5.7954
2.954,6.7906,6.6652,6.3121,6.5702,6.7888,6.25,6.4638,6.1917,6.9087,6.7088,6.7654,6.2532,6.6551,7.0842,6.6054
3.376,7.2861,7.348,7.1212,7.3167,7.4231,7.0579,7.2904,7.0038,7.3889,7.3706,7.3762,7.093,7.3808,7.3679,7.3819
3.797,6.4983,6.7899,7.0906,6.8289,6.8016,7.2021,6.9777,7.0192,6.6492,6.762,6.7218,7.2031,6.8342,6.5588,6.9333
4.219,5.6679,5.9785,6.2395,5.98,5.9881,6.3798,6.1308,6.1901,5.7417,5.9267,5.9071,6.3119,5.9868,5.7463,6.0398
4.641,4.8864,5.1857,5.4187,5.1696,5.1851,5.5667,5.316,5.3929,4.9527,5.0966,5.1147,5.5031,5.1606,4.7713,5.2183
