time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.1395,-0.184,-0.1803,-0.2637,-0.2102,-0.1429,-0.1792,-0.1719,-0.2636,-0.2794,-0.0227,-0.0873,-0.1498,-0.0835,-0.233
0.422,0.3047,0.2371,0.254,0.092,0.1153,0.2593,0.2083,0.2463,0.066,0.0283,0.4794,0.3878,0.3305,0.4002,0.1973
0.844,0.8676,0.782,0.7967,0.5993,0.6151,0.7882,0.8009,0.8098,0.5678,0.5384,1.0803,0.9627,0.931,0.9853,0.7914
1.266,1.5231,1.4205,1.4343,1.2218,1.2254,1.4176,1.4358,1.4581,1.2227,1.154,1.8369,1.6319,1.6094,1.6578,1.4922
1.688,2.2481,2.1303,2.1853,1.9026,1.9249,2.1347,2.1551,2.2134,1.9382,1.8403,2.577,2.5165,2.3462,2.4115,2.2313
2.11,3.0951,3.0205,2.9254,2.6313,2.6561,2.9033,2.9041,2.9641,2.6885,2.6783,3.1461,3.1802,3.0855,3.1309,3.0109
2.532,2.6836,2.7914,2.8943,3.0507,3.1702,3.0592,3.0299,2.9509,3.1396,3.1427,2.5286,2.5559,2.7467,2.6707,3.2656
2.954,1.9472,2.0236,2.1407,2.3356,2.5221,2.2923,2.2738,2.1941,2.3661,2.4318,1.7811,1.7941,1.9365,1.9017,2.4588
3.376,1.2313,1.3046,1.4292,1.6117,1.7958,1.5684,1.4999,1.4762,1.6371,1.6981,1.0141,1.0991,1.2044,1.186,1.705
3.797,0.5851,0.6683,0.7737,0.9262,1.0868,0.8727,0.8444,0.6917,0.9599,1.0002,0.4111,0.4876,0.5704,0.5488,0.9995
4.219,0.0755,0.0888,0.2035,0.3276,0.4991,0.2959,0.2839,0.1598,0.3705,0.4007,-0.0659,-0.002,0.051,0.0339,0.384
4.641,-0.2059,-0.2424,-0.2136,-0.1491,-0.0002,-0.1266,-0.133,-0.1995,-0.0909,-0.0661,-0.1993,-0.1872,-0.2513,-0.2484,-0.1255
5.063,0.1463,0.073,-0.0344,-0.132,-0.1063,-0.0022,0.0132,0.0701,-0.1234,-0.1438,0.2908,0.2333,0.1175,0.1174,-0.0788
5.485,0.6683,0.5869,0.4474,0.3254,0.33,0.5455,0.4889,0.638,0.3286,0.302,0.8634,0.7825,0.6533,0.6733,0.4458
5.907,1.3793,1.2236,1.057,0.896,0.9296,1.1432,1.0843,1.2876,0.9012,0.8659,1.5315,1.4362,1.3094,1.3247,1.0707
6.329,2.0788,1.9243,1.7404,1.6385,1.5851,1.8224,1.7834,1.9892,1.5657,1.6159,2.2624,2.1594,2.0215,2.0552,1.7902
6.751,2.8132,2.6609,2.4731,2.3583,2.2973,2.5722,2.5133,2.7332,2.3141,2.3468,3.0265,2.9151,2.7779,2.85,2.5597
7.173,3.025,3.0773,3.1255,3.0587,3.0587,3.1587,3.1671,3.1367,3.0687,3.0983,2.8929,3.0527,3.0469,3.0641,3.3028
7.595,2.2615,2.3831,2.6503,2.6661,2.8016,2.5933,2.679,2.3373,2.8795,2.8479,2.1304,2.2838,2.2772,2.2834,2.8772
8.017,1.5473,1.5917,1.8918,1.9033,2.0595,1.8246,1.9346,1.611,2.1227,2.095,1.4093,1.5836,1.5187,1.5484,2.0726
8.439,0.8479,0.9471,1.2026,1.2323,1.3712,1.1228,1.2374,0.9337,1.4013,1.36,0.7275,0.9025,0.839,0.8761,1.3118
8.861,0.2873,0.3743,0.5806,0.6259,0.7241,0.5138,0.6018,0.3495,0.7512,0.7137,0.1795,0.3137,0.2505,0.2938,0.6482
9.283,-0.1495,-0.0954,0.0643,0.1084,0.1988,0.0138,0.0757,-0.1051,0.2058,0.1622,-0.208,-0.1187,-0.1907,-0.1441,0.0935
9.705,-0.0526,-0.0629,-0.2006,-0.1958,-0.139,-0.1492,-0.1814,-0.1093,-0.1839,-0.1884,0.0152,0.0014,-0.0765,-0.0509,-0.2192
10.127,0.4168,0.395,0.1638,0.134,0.2085,0.282,0.1739,0.3451,0.039,0.109,0.5888,0.478,0.4189,0.4194,0.1631
