time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.0269,0.0543,0.1124,-0.291,-0.0645,0.0039,-0.2971,-0.0175,-0.2847,-0.2953,-0.0216,-0.0033,0.1717,0.245,-0.2374
0.422,0.7337,0.8817,0.9715,0.4068,0.6648,0.7986,0.3442,0.798,0.2909,0.4106,0.767,0.8496,1.0485,1.172,0.4103
0.844,1.7391,1.9674,2.1114,1.352,1.642,1.8503,1.2899,1.8724,1.224,1.3675,1.8145,2.0052,2.3702,2.3968,1.3869
1.266,3.1589,3.3431,3.5268,2.5599,2.8956,3.1836,2.4816,3.1971,2.4207,2.6219,3.1707,3.3958,3.8477,3.8722,2.6734
1.688,4.6427,4.8785,5.0781,3.9908,4.428,5.0189,4.1019,4.7145,3.9122,4.1608,4.7407,5.011,5.567,5.5383,4.2371
2.11,6.1691,6.1642,6.1495,5.6504,6.054,6.3259,5.7766,6.3283,5.6053,5.8769,6.4761,6.5538,6.5826,6.6886,5.9364
2.532,5.3973,4.8904,4.7403,5.9828,5.8718,4.8418,5.946,5.5269,6.6269,6.2592,5.8167,5.4167,4.9829,5.1646,6.5611
2.954,3.7923,3.3234,3.1204,4.3139,4.2335,3.2325,4.2384,3.9087,4.9808,4.5009,4.1114,3.6858,3.3107,3.453,4.8101
3.376,2.4083,1.9583,1.783,2.7664,2.764,1.8831,2.7424,2.44,3.3157,2.924,2.6125,2.2209,1.8953,2.0279,3.1475
3.797,1.1806,0.8549,0.717,1.5042,1.3867,0.7968,1.459,1.2161,1.9494,1.5993,1.3759,0.9784,0.7871,0.8417,1.769
4.219,0.3026,0.026,-0.0749,0.4956,0.4326,0.0013,0.4785,0.3206,0.852,0.5638,0.42,0.0893,-0.0384,0.0184,0.6842
4.641,-0.1652,-0.2868,-0.2003,-0.2153,-0.1476,-0.1618,-0.2221,-0.1838,0.0562,-0.1388,-0.171,-0.2514,-0.1183,-0.1077,-0.0909
5.063,0.4041,0.3658,0.5543,-0.02,0.2884,0.5656,0.0704,0.3954,-0.0113,0.1123,0.2805,0.4541,0.6508,0.6578,0.0708
5.485,1.2946,1.3041,1.5561,0.775,1.1707,1.5497,0.9252,1.3062,0.7606,0.9376,1.1553,1.4292,1.6789,1.6942,0.9244
5.907,2.4564,2.5144,2.8309,1.8307,2.5598,2.8242,2.0676,2.5384,1.7838,2.0747,2.3055,2.7016,2.9902,3.0982,2.0574
6.329,3.8753,3.9419,4.3254,3.3341,3.984,4.304,3.4772,4.0419,3.1173,3.4864,3.8397,4.2268,4.6081,4.6794,3.4564
6.751,5.4411,5.6421,6.0937,4.8696,5.59,5.9605,5.0418,5.7126,4.6606,5.0999,5.4985,5.9507,6.3416,6.4514,5.1031
