time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,0.1697,-0.016,-0.008,0.09,0.207,0.3354,-0.0797,-0.0833,0.0851,0.2253,0.1136,0.3295,-0.001,0.1137,0.1067
0.422,0.9898,0.667,0.6878,0.808,1.0255,1.2321,0.5377,0.5713,0.8004,1.0569,1.0156,1.1942,0.7026,0.838,0.8563
0.844,2.0125,1.6375,1.6405,1.7923,2.0929,2.3172,1.4623,1.4791,1.9033,2.0959,2.0895,2.242,1.7991,1.813,2.0061
1.266,3.1565,2.7592,2.7392,2.9114,3.247,3.4887,2.5434,2.5566,3.1269,3.2766,3.2369,3.3916,2.9547,2.9663,3.1449
1.688,4.6231,3.9803,3.9762,4.2722,4.4684,4.7691,3.7247,3.7648,4.3388,4.5242,4.5061,4.6314,4.1527,4.1596,4.3559
2.11,5.9292,5.2374,5.2764,5.5439,5.7489,6.0785,5.019,5.1723,5.6248,5.8111,5.8596,5.9277,5.4303,5.4186,5.6174
2.532,6.3987,6.5288,6.5345,6.6289,6.4672,6.245,6.365,6.4851,6.6142,6.5068,6.4694,6.4104,6.4683,6.5281,6.4195
2.954,5.0672,5.9732,5.8705,5.6875,5.2068,4.8522,6.1065,6.0047,5.5681,5.2588,5.1254,4.9698,5.4678,5.5423,5.2399
3.376,3.7772,4.6533,4.5742,4.3725,3.9318,3.5977,4.8008,4.6991,4.2447,3.9515,3.8379,3.7176,4.1787,4.2274,3.9284
3.797,2.5434,3.4103,3.3443,3.129,2.7284,2.4001,3.5324,3.4586,2.999,2.7275,2.6393,2.5286,2.8049,3.0226,2.5793
4.219,1.443,2.2136,2.1595,1.9844,1.5296,1.3125,2.3588,2.2684,1.8541,1.6097,1.5301,1.4384,1.6852,1.8722,1.4764
4.641,0.5129,1.1583,1.0629,0.9508,0.5827,0.4148,1.2604,1.1608,0.8577,0.6603,0.4651,0.5301,0.711,0.8723,0.5378
5.063,-0.1194,0.3115,0.2602,0.1976,-0.0931,-0.2647,0.4004,0.3349,0.1165,-0.0006,-0.1369,-0.0806,0.009,0.0708,-0.1048
5.485,-0.3573,-0.2034,-0.2231,-0.2293,-0.363,-0.3135,-0.1437,-0.1839,-0.2585,-0.2929,-0.3014,-0.2886,-0.3564,-0.2808,-0.3826
