time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.1738,-0.1113,-0.1607,-0.2393,-0.1606,-0.1332,-0.1757,-0.1585,-0.1796,-0.1919,-0.1611,-0.168,-0.1437,-0.1361,-0.2009
0.422,-0.1572,-0.1042,-0.125,-0.141,0.049,-0.1259,-0.1248,-0.1597,-0.0706,0.0024,0.0607,0.0819,-0.127,-0.0985,-0.1466
0.844,0.194,0.2138,0.289,0.3715,0.6583,0.2018,0.3221,0.0919,0.5115,0.667,0.6845,0.7236,0.2256,0.3133,0.3853
1.266,0.9069,0.8983,1.0457,1.2724,1.5835,0.8916,1.113,0.8395,1.3884,1.6513,1.6292,1.7047,0.9694,1.1004,1.2193
1.688,1.9157,1.8865,2.1042,2.3796,2.6078,1.9132,2.4431,1.8302,2.5157,2.6274,2.6465,2.6468,2.0359,2.1588,2.3283
2.11,2.5746,2.706,2.456,2.0951,1.8565,2.5798,2.1616,2.6474,2.078,1.8162,1.7477,1.5389,2.6265,2.5592,2.2897
2.532,1.5322,1.7083,1.3298,1.1068,0.6473,1.4775,1.0718,1.692,1.0003,0.7927,0.729,0.5731,1.5036,1.4185,1.1773
2.954,0.5921,0.7265,0.4351,0.2954,0.0124,0.5525,0.275,0.6827,0.2284,0.0942,0.05,-0.0232,0.5804,0.5181,0.3457
3.376,-0.0107,0.0574,-0.0762,-0.0048,-0.0239,-0.021,-0.1214,0.0234,-0.1159,-0.0947,-0.0383,0.0376,-0.0009,-0.0512,-0.125
3.797,0.0402,-0.0112,0.1373,0.4487,0.5738,0.0904,0.2319,-0.0234,0.3281,0.477,0.5233,0.6604,0.0872,0.1202,0.2682
4.219,0.6629,0.5617,0.8437,1.2588,1.4882,0.7252,0.9868,0.5718,1.1328,1.4012,1.4427,1.6115,0.7186,0.7957,1.0578
4.641,1.634,1.5956,1.8488,2.3489,2.7293,1.7165,2.137,1.4908,2.2665,2.5546,2.6159,2.9359,1.6818,1.8175,2.2845
5.063,2.7961,2.8621,3.1103,3.586,4.0477,2.9004,3.418,2.6814,3.5316,3.8572,3.9305,4.2458,2.8936,3.2082,3.5783
5.485,4.1056,4.1407,4.4126,5.0688,5.406,4.2186,4.777,3.9854,5.0715,5.4018,5.2948,5.6255,4.1937,4.5406,4.933
5.907,5.463,5.4996,5.8333,6.4689,6.838,5.5859,6.1787,5.3485,6.4961,6.8421,6.7202,7.0689,5.8718,5.9708,6.3439
6.329,6.9349,6.9416,7.2756,7.666,7.4665,7.0727,7.5334,6.8181,7.6437,7.5813,7.556,7.3976,7.3477,7.4321,7.6145
6.751,7.3143,7.2065,7.1429,6.6441,6.0468,7.3742,6.7053,7.5355,6.5487,6.1967,6.1583,5.7311,7.2121,7.1332,6.6853
7.173,5.8739,5.7445,5.5339,4.9157,4.6449,5.8695,5.2238,6.1654,5.1047,4.7579,4.7431,4.304,5.7288,5.4747,5.2423
7.595,4.4899,4.3323,4.1483,3.5457,3.2857,4.4663,3.8376,4.7437,3.5719,3.409,3.4015,2.9901,4.3376,4.101,3.8036
8.017,3.1824,2.985,2.8578,2.2798,2.0436,3.1516,2.5164,3.3171,2.2776,2.0704,2.1493,1.7814,2.9822,2.7787,2.5215
8.439,1.9686,1.7904,1.6751,1.1424,1.0,1.9324,1.3738,2.0837,1.18,1.0148,1.0735,0.795,1.7764,1.6053,1.3485
8.861,0.9508,0.8152,0.7084,0.3406,0.2796,0.8143,0.4611,1.0279,0.3788,0.2652,0.3164,0.1622,0.7716,0.6589,0.4834
9.283,0.2594,0.1449,0.1091,-0.0941,-0.0366,0.1835,-0.0133,0.2766,-0.0209,-0.0329,-0.0456,0.0123,0.1537,0.0545,-0.0153
9.705,0.0234,0.0244,0.0877,0.1483,0.3201,0.0355,0.1607,-0.0357,0.2597,0.3481,0.2812,0.4963,0.0382,0.1633,0.1398
10.127,0.5143,0.5365,0.6526,0.8457,1.0585,0.5164,0.8176,0.3514,0.9541,1.113,1.1154,1.334,0.5594,0.7665,0.8751
