time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.0075,-0.0577,-0.0121,-0.0703,-0.0403,-0.0047,-0.0711,-0.0217,-0.0342,-0.0514,-0.0726,-0.0114,-0.0575,-0.0276,-0.0538
0.422,0.0046,0.1611,0.0182,0.1098,0.0326,0.007,0.0448,-0.0215,0.0216,0.0505,0.0271,0.003,0.1529,-0.0272,-0.0004
0.844,0.3498,0.7763,0.4194,0.6954,0.5323,0.3642,0.6022,0.2497,0.4791,0.5654,0.5518,0.3601,0.7558,0.2565,0.4495
1.266,1.096,1.6859,1.1625,1.6093,1.3195,1.1632,1.4579,0.89,1.2469,1.4916,1.361,1.0523,1.6395,0.8995,1.2051
1.688,2.0734,2.6134,2.1378,2.5876,2.3374,2.1411,2.4814,1.8264,2.2582,2.5149,2.3919,2.149,2.6017,1.8117,2.2384
2.11,2.629,1.9056,2.6121,1.9316,2.3478,2.5935,2.1047,2.6482,2.3937,1.9651,2.2936,2.5639,1.8969,2.6413,2.4261
2.532,1.621,0.9418,1.5855,0.9564,1.2994,1.5657,1.0797,1.7724,1.3388,0.9889,1.2281,1.4926,0.9309,1.7968,1.3636
2.954,0.6479,0.257,0.7128,0.2459,0.4769,0.6794,0.3411,0.8184,0.5296,0.288,0.4344,0.6381,0.2123,0.861,0.5181
3.376,0.1008,0.0349,0.0743,0.0163,0.0252,0.09,-0.0025,0.1847,0.048,0.0711,-0.0097,0.0937,0.036,0.1935,0.001
3.797,0.2802,0.564,0.3085,0.504,0.3713,0.307,0.4312,0.1302,0.2908,0.6164,0.3213,0.2297,0.5502,0.1344,0.327
4.219,0.9377,1.3823,0.9868,1.3495,1.1054,0.9751,1.205,0.7003,0.9668,1.4524,1.0367,0.8777,1.3701,0.7201,1.049
4.641,1.911,2.4967,1.9251,2.4153,2.1273,1.9257,2.2238,1.565,1.9145,2.589,2.012,1.8001,2.4295,1.5945,2.0391
5.063,2.6478,2.1634,2.5933,2.1848,2.4617,2.6448,2.3464,2.5694,2.6221,1.8843,2.4722,2.6347,2.1579,2.5741,2.5132
5.485,1.6507,1.1136,1.5868,1.1593,1.4097,1.7081,1.2953,2.0569,1.6927,0.9212,1.4279,1.8044,1.1067,1.9794,1.3384
5.907,0.7603,0.3576,0.6941,0.3033,0.5446,0.6973,0.4876,1.0601,0.7514,0.2445,0.5523,0.8377,0.3579,0.8796,0.5138
6.329,0.167,-0.0038,0.1231,-0.007,-0.0108,0.1184,0.0059,0.2787,0.1528,0.0321,0.0227,0.2013,-0.0154,0.2191,0.0149
6.751,0.1661,0.3918,0.1902,0.4211,0.1614,0.2194,0.2387,0.0591,0.144,0.525,0.1721,0.0812,0.3579,0.0491,0.2242
7.173,0.8551,1.1594,0.8019,1.1913,0.9228,0.8612,0.9078,0.5471,0.731,1.3318,0.8236,0.6272,1.1005,0.5648,0.8871
7.595,1.7676,2.1736,1.7144,2.2353,1.885,1.7905,1.8522,1.3456,1.6168,2.517,1.7846,1.4691,2.1428,1.3795,1.8363
8.017,2.672,2.4428,2.6541,2.4276,2.5395,2.6552,2.5753,2.3979,2.6056,2.1342,2.5935,2.5598,2.4788,2.4599,2.6228
8.439,1.9085,1.3799,1.8996,1.3358,1.5685,1.8506,1.6474,2.3109,2.0098,1.1081,1.4444,2.1315,1.441,2.2536,1.5986
8.861,0.9502,0.5152,0.93,0.5196,0.6743,0.9023,0.7387,1.264,1.0293,0.3779,0.5983,1.1308,0.598,1.2297,0.6895
9.283,0.2884,0.0088,0.2721,0.0186,0.0761,0.2552,0.1345,0.4765,0.3112,-0.0138,0.0539,0.2837,0.0691,0.4633,0.1182
9.705,-0.0066,-0.067,-0.0162,-0.0503,-0.089,-0.014,-0.0728,0.0319,-0.0144,-0.0353,-0.0572,-0.002,-0.0455,0.0262,-0.0381
10.127,-0.0031,0.0,-0.0123,0.0,0.0,-0.0104,0.0,-0.0213,-0.0218,0.0,0.0,-0.0024,0.0,-0.0174,0.0
