time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.1338,-0.0894,-0.1288,-0.142,-0.0683,-0.0536,-0.1047,-0.0701,-0.1194,-0.0834,-0.0744,-0.0765,-0.1354,-0.1137,-0.0953
0.422,0.0799,0.0286,0.0701,-0.1296,0.0002,0.0012,0.0069,-0.0067,0.0164,-0.0747,-0.0531,-0.0295,0.0796,0.1042,-0.0878
0.844,0.624,0.517,0.6059,0.1,0.4101,0.4299,0.4812,0.3954,0.4999,0.2066,0.2818,0.3417,0.617,0.643,0.1685
1.266,1.4353,1.2749,1.4365,0.6525,1.1044,1.1409,1.229,1.0833,1.2548,0.7916,0.9064,1.0056,1.4345,1.4664,0.8137
1.688,2.2694,2.2798,2.2655,1.5134,2.075,2.0895,2.1923,2.0188,2.2602,1.6493,1.7958,1.9296,2.2419,2.2502,1.6848
2.11,1.5718,1.6718,1.47,2.2516,2.0533,2.0229,1.7586,2.0652,1.5277,2.2075,2.2382,2.1469,1.475,1.3798,2.2598
2.532,0.6959,0.7775,0.6177,1.4213,1.0669,1.0547,0.8386,1.0216,0.5531,1.0985,1.2806,0.9824,0.6172,0.551,1.3326
2.954,0.1001,0.1655,0.0523,0.5804,0.3539,0.3506,0.1922,0.3286,0.0079,0.3731,0.4969,0.2939,0.0521,0.0184,0.5292
3.376,-0.0719,-0.0429,-0.0523,0.0295,-0.0288,-0.0258,-0.0756,-0.0383,-0.0079,-0.036,0.0144,-0.043,-0.0521,-0.0184,0.0216
3.797,0.3649,0.3823,0.4931,0.0267,0.2236,0.3063,0.2751,0.2274,0.486,0.1796,0.089,0.2437,0.4322,0.4704,0.0448
4.219,1.1013,1.1095,1.279,0.5603,0.8574,0.965,0.9377,0.846,1.2899,0.778,0.6185,0.8731,1.1932,1.2635,0.5806
4.641,2.0979,2.0984,2.2048,1.3739,1.7673,1.9141,1.8611,1.733,2.2024,1.6462,1.4564,1.7683,2.144,2.1895,1.3895
5.063,1.8785,1.9493,1.6864,2.2331,2.2405,2.1357,2.1299,2.2396,1.593,2.2838,2.2853,2.1876,1.7316,1.5902,2.2611
5.485,0.9284,0.9913,0.7754,1.5247,1.2821,1.1535,1.1508,1.3004,0.6901,1.3895,1.5578,1.2076,0.7697,0.6902,1.5795
5.907,0.2253,0.285,0.1391,0.6335,0.4854,0.3888,0.3948,0.4836,0.0949,0.5635,0.6626,0.4402,0.1382,0.0903,0.6993
6.329,-0.117,-0.0775,-0.1184,0.0512,-0.0003,-0.0325,-0.0572,-0.0106,-0.0929,0.0332,0.0977,-0.0266,-0.1134,-0.1029,0.107
6.751,0.2149,0.2272,0.2501,-0.0248,0.0839,0.1843,0.0971,0.1012,0.3171,0.024,-0.0215,0.114,0.2691,0.3016,-0.0424
7.173,0.8806,0.8652,0.9298,0.5809,0.6438,0.7869,0.7139,0.6482,1.0227,0.5251,0.4453,0.7702,0.9616,1.0081,0.4208
7.595,1.799,1.77,1.9296,1.4208,1.4843,1.6576,1.5991,1.4813,1.987,1.3371,1.1933,1.6428,1.9041,2.0994,1.184
8.017,2.1188,2.1143,1.9841,2.221,2.2893,2.273,2.2526,2.2828,1.9069,2.2461,2.2321,2.257,2.003,1.8761,2.1538
8.439,1.1351,1.1301,0.9739,1.4382,1.5155,1.338,1.3606,1.4804,0.9446,1.6714,1.7063,1.3451,0.9886,0.8878,1.8109
8.861,0.3693,0.3782,0.2606,0.5828,0.6283,0.5029,0.5387,0.6274,0.222,0.7693,0.7967,0.5263,0.2646,0.2069,0.8757
9.283,-0.1001,-0.0663,-0.1381,0.0165,0.0544,-0.0018,0.0038,0.0629,-0.1257,0.122,0.1703,0.0177,-0.1194,-0.1255,0.1075
9.705,0.0495,0.0865,0.1776,-0.0974,-0.0062,0.0573,-0.0057,0.0045,0.1521,-0.0515,-0.0668,0.0256,0.1155,0.1698,-0.0324
10.127,0.6189,0.6492,0.8277,0.3593,0.4799,0.5783,0.568,0.4909,0.7874,0.3741,0.3105,0.5337,0.7204,0.8894,0.4501
10.549,1.4744,1.5195,1.7401,1.1156,1.2613,1.3839,1.3841,1.263,1.6926,1.0973,0.9993,1.3469,1.6016,1.8381,1.2467
10.97,2.5169,2.5538,2.8298,2.159,2.2595,2.3935,2.4381,2.3831,2.7683,2.0587,1.9532,2.3775,2.6994,2.9255,2.2478
11.392,3.6622,3.709,4.0223,3.2684,3.3747,3.5126,3.5662,3.5038,4.0612,3.1557,3.1905,3.503,3.8521,4.1035,3.3859
11.814,4.9077,4.9447,5.3138,4.4839,4.5623,4.7074,4.7716,4.7009,5.287,4.3415,4.3686,4.7347,5.2453,5.3315,4.619
12.236,6.163,6.2187,6.5209,5.7741,5.8266,5.9647,6.0264,5.9789,6.4954,5.5743,5.6177,5.9932,6.4832,6.5651,5.8822
12.658,6.3104,6.2758,5.8216,6.5824,6.6064,6.5565,6.5369,6.5506,5.9141,6.6369,6.6429,6.531,5.9947,5.7884,6.603
13.08,4.9958,4.9797,4.4921,5.3781,5.4603,5.2999,5.2477,5.149,4.6223,5.6804,5.6971,5.2172,4.678,4.5117,5.3799
13.502,3.7629,3.7133,3.2916,4.0962,4.2126,4.0569,3.9912,3.8835,3.418,4.4151,4.4289,3.976,3.4231,3.3081,4.1299
13.924,2.6016,2.5653,2.1433,2.8775,2.9436,2.8549,2.7399,2.6823,2.2813,3.2186,3.2335,2.8015,2.2727,2.179,2.9499
14.346,1.5468,1.393,1.1478,1.7878,1.853,1.739,1.6689,1.602,1.1385,2.1025,2.119,1.7149,1.2077,1.1744,1.8521
14.768,0.5779,0.5828,0.3935,0.8522,0.9284,0.8281,0.7846,0.7347,0.3982,1.1192,1.1369,0.8169,0.4475,0.4242,0.8631
15.19,0.0479,0.0669,0.0,0.2086,0.2833,0.1722,0.1927,0.1713,0.0,0.4012,0.4191,0.2199,0.0,0.0,0.241
