time_s,rep_01,rep_02,rep_03,rep_04,rep_05,rep_06,rep_07,rep_08,rep_09,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15
0.0,-0.0308,-0.1859,-0.1017,0.0916,-0.399,-0.6088,-0.0453,-0.2784,-0.1171,-0.1824,-0.5542,-0.2768,-0.3167,-0.2736,-0.6165
0.422,3.3583,1.555,1.6209,1.3714,1.1687,0.0975,1.3467,0.9638,1.1014,1.1372,0.677,0.7848,0.8789,0.643,0.3312
0.844,8.4035,3.7461,3.6916,3.3877,3.1622,1.7023,3.2134,2.6271,2.7164,2.8024,2.3414,2.3954,2.4985,2.1308,1.893
1.266,10.5008,6.1155,6.1615,5.6168,5.4543,3.5961,5.5541,4.5948,4.6964,4.743,4.2457,4.3529,4.3045,3.9749,3.6721
1.688,8.5877,8.6022,8.5372,8.0319,7.9831,5.7509,7.6732,6.7661,6.8913,6.8368,6.3635,6.4611,6.2871,6.071,5.639
2.11,5.3986,10.3935,10.1497,9.9467,9.6111,8.0249,9.4162,8.9237,9.229,8.9708,8.4746,8.6166,8.5376,8.22,7.7367
2.532,2.4163,8.4038,8.0398,8.1315,7.4599,9.5276,7.5653,7.7141,8.3636,7.8982,7.7736,8.2046,7.7478,8.6621,7.9385
2.954,-0.4781,6.0428,5.6424,5.7895,5.192,7.3134,5.3247,5.6065,6.1349,5.6534,5.6551,6.1352,5.6616,6.506,5.8863
3.376,0.3198,3.8072,3.4003,3.6197,3.1457,5.1573,3.3105,3.6241,4.1176,3.5729,3.6198,4.0951,3.646,4.4793,3.9884
3.797,2.9905,1.4909,1.4581,1.6963,1.3214,3.035,1.5977,1.6864,2.2369,1.524,1.7246,2.2791,1.8552,2.2945,2.1526
4.219,2.9347,0.0107,0.0048,0.1964,0.0463,1.1349,0.1892,0.018,0.6703,0.1319,0.2204,0.7178,0.4084,0.88,0.5078
4.641,1.003,0.0391,-0.1221,-0.3331,-0.022,-0.2199,-0.2475,-0.5658,-0.1012,-0.2982,-0.5266,-0.1339,-0.377,0.0,-0.3486
5.063,-0.3864,1.3645,1.1939,0.6242,1.1899,-0.4001,0.7794,0.4225,0.4231,0.6067,0.0864,0.464,0.2184,0.4188,0.0505
5.485,-0.0447,3.3028,3.0378,2.3675,2.9407,0.8328,2.4794,2.0503,1.8757,2.1282,1.4174,1.7495,1.5787,1.6319,1.2912
5.907,1.6402,3.1304,3.0503,3.2925,2.9055,2.6476,3.096,3.0903,3.3987,3.0988,2.8624,3.0622,2.8825,3.0772,2.7308
6.329,3.6744,1.1684,1.1529,1.5045,1.1451,2.7565,1.303,1.4289,1.8797,1.4543,1.6225,1.7547,1.5949,2.0201,1.6076
6.751,6.0041,-0.1433,-0.1693,-0.1195,-0.1844,1.0493,0.005,0.0781,0.5207,0.0,0.015,0.3793,0.2072,0.484,0.1728
7.173,8.558,0.2511,0.1309,-0.252,0.0035,-0.3306,-0.0784,-0.1624,-0.0506,-0.2009,-0.4817,-0.1182,-0.3811,-0.2337,-0.4356
7.595,10.9648,1.8436,1.9114,1.1522,1.4087,0.0,1.0993,0.9569,0.936,0.9051,0.5597,0.6998,0.4267,0.4681,0.2608
8.017,9.5492,3.8934,3.9601,3.1573,3.3701,1.3838,2.8474,2.5973,2.6095,2.5702,2.2606,2.2201,1.8709,1.8841,1.757
8.439,7.0833,6.0588,6.2639,5.2711,5.4981,3.425,4.8474,4.544,4.5236,4.5135,4.2021,4.0468,3.7066,3.5927,3.3377
8.861,4.8093,8.4483,8.6501,7.5472,7.8075,5.5788,7.074,6.6697,6.6401,6.5492,6.3352,6.0218,5.6686,5.5588,5.4312
9.283,2.556,10.6267,10.8597,9.8818,10.06,7.8593,9.3248,8.9959,8.9192,8.8156,8.644,8.1422,7.8661,7.596,7.6905
9.705,0.7711,8.7705,9.2133,8.9318,8.6621,9.9896,8.5905,8.7385,8.6366,8.4928,8.78,8.7479,8.8273,8.6059,8.6415
10.127,0.0308,6.2818,6.9119,6.4034,6.3319,8.4662,6.3449,6.4877,6.4122,6.3835,6.5875,6.4999,6.7464,6.5484,6.5935
10.549,1.1962,4.0389,4.7349,4.1875,4.1084,6.1773,4.2558,4.4781,4.2836,4.4774,4.4914,4.5168,4.6834,4.4749,4.3427
10.97,2.9954,1.9199,2.6563,2.3044,2.1796,4.0682,2.336,2.5667,2.3611,2.6654,2.499,2.7017,2.8391,2.567,2.5476
11.392,5.154,0.326,1.0055,0.7648,0.5604,2.1358,0.7456,0.7856,0.7819,0.9955,0.9578,1.0781,1.148,0.9686,1.0023
11.814,7.5775,-0.0961,0.3435,0.0133,0.0024,0.7012,0.0091,0.0684,0.0,0.0763,0.0,0.0,0.0,-0.0547,0.0
12.236,10.077,1.1781,1.3832,0.9593,1.0377,0.1485,0.7256,0.7625,0.6471,0.572,0.3749,0.3434,0.0201,0.0851,0.1108
12.658,10.8683,3.1038,3.0996,2.6816,2.7254,0.9945,2.33,2.1834,2.065,2.0096,1.7057,1.7158,1.0829,1.2346,1.2039
13.08,8.4042,5.3604,5.2353,4.7582,5.0889,2.602,4.1752,4.0217,3.9418,3.827,3.5591,3.5175,2.6786,2.8801,2.8854
13.502,6.0048,7.6819,7.516,6.999,7.4457,4.6849,6.2477,6.0813,6.0007,5.732,5.5496,5.4615,4.5559,4.8153,4.7729
13.924,3.6683,10.1972,9.9833,9.4338,9.8113,6.9458,8.617,8.3613,8.348,7.9626,7.7535,7.5303,6.6986,6.8747,6.8036
14.346,1.6254,10.2035,10.685,10.2239,10.1826,9.3831,10.069,9.6991,9.7333,9.7698,9.5836,9.2685,8.8107,8.9868,8.7658
14.768,0.3684,7.6585,8.1895,7.7534,7.7994,10.2942,8.1223,7.6856,7.8104,7.9984,7.94,7.5657,8.1297,8.079,7.6094
15.19,0.0,5.3129,6.0188,5.3903,5.4334,7.8162,5.9302,5.4037,5.6804,5.8891,5.668,5.4841,5.9691,6.0516,5.4507
15.612,0.0,2.7752,3.5359,2.9521,3.0018,5.4996,3.3073,3.224,3.5426,3.7001,3.5515,3.5334,3.903,3.8027,3.4109
16.034,0.0,0.3845,1.1241,0.841,0.6583,3.4001,1.2638,1.1759,1.3245,1.4235,1.5594,1.7067,2.0421,1.9274,1.5509
