Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-18 17:38:03.839
Stop Time,2026-08-18 19:31:42.250
,
Time (s),Channel 1 (Ω)
2026-08-18 17:38:04.319,27123.153
2026-08-18 17:38:04.733,27123.8617
2026-08-18 17:38:05.147,27124.0093
2026-08-18 17:38:05.575,27125.0827
2026-08-18 17:38:06.006,27125.757
2026-08-18 17:38:06.422,27125.5491
2026-08-18 17:38:06.837,27125.9486
2026-08-18 17:38:07.249,27126.3954
2026-08-18 17:38:07.681,27127.0162
2026-08-18 17:38:08.093,27128.3081
2026-08-18 17:38:08.506,27129.7429
2026-08-18 17:38:08.924,27130.6904
2026-08-18 17:38:09.353,27131.3459
2026-08-18 17:38:09.765,27132.1953
2026-08-18 17:38:10.193,27133.0878
2026-08-18 17:38:10.605,27133.8739
2026-08-18 17:38:11.033,27134.5555
2026-08-18 17:38:11.446,27135.4959
2026-08-18 17:38:11.859,27136.1449
2026-08-18 17:38:12.270,27136.4117
2026-08-18 17:38:12.686,27137.0071
2026-08-18 17:38:13.104,27136.8609
2026-08-18 17:38:13.533,27136.8773
2026-08-18 17:38:13.946,27137.5674
2026-08-18 17:38:14.373,27138.3001
2026-08-18 17:38:14.797,27139.0099
2026-08-18 17:38:15.225,27139.8735
2026-08-18 17:38:15.642,27141.0731
2026-08-18 17:38:16.056,27141.7745
2026-08-18 17:38:16.482,27143.2054
2026-08-18 17:38:16.902,27143.6842
2026-08-18 17:38:17.328,27144.7829
2026-08-18 17:38:17.741,27145.3822
2026-08-18 17:38:18.162,27145.53
2026-08-18 17:38:18.582,27145.8334
2026-08-18 17:38:19.001,27145.7015
2026-08-18 17:38:19.414,27146.1752
2026-08-18 17:38:19.832,27146.5109
2026-08-18 17:38:20.245,27146.1608
2026-08-18 17:38:20.678,27146.8339
2026-08-18 17:38:21.090,27146.5483
2026-08-18 17:38:21.515,27145.6376
2026-08-18 17:38:21.933,27144.8844
2026-08-18 17:38:22.348,27144.8417
2026-08-18 17:38:22.785,27144.5325
2026-08-18 17:38:23.204,27144.9134
2026-08-18 17:38:23.621,27145.1484
2026-08-18 17:38:24.040,27145.4566
2026-08-18 17:38:24.453,27147.1251
2026-08-18 17:38:24.889,27148.9917
2026-08-18 17:38:25.304,27150.0656
2026-08-18 17:38:25.730,27150.9396
2026-08-18 17:38:26.143,27151.3707
2026-08-18 17:38:26.603,27151.792
2026-08-18 17:38:27.035,27152.1376
2026-08-18 17:38:27.448,27152.3964
2026-08-18 17:38:27.860,27152.8705
2026-08-18 17:38:28.283,27153.3314
2026-08-18 17:38:28.696,27153.8526
2026-08-18 17:38:29.116,27154.9276
2026-08-18 17:38:29.544,27156.0937
2026-08-18 17:38:29.955,27156.6415
2026-08-18 17:38:30.369,27156.9832
2026-08-18 17:38:30.786,27157.6556
2026-08-18 17:38:31.219,27157.9029
2026-08-18 17:38:31.637,27158.3615
2026-08-18 17:38:32.049,27158.5913
2026-08-18 17:38:32.472,27158.4922
2026-08-18 17:38:32.898,27157.8731
2026-08-18 17:38:33.325,27157.1479
2026-08-18 17:38:33.737,27157.0833
