Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-19 13:18:53.695
Stop Time,2026-08-19 13:37:28.759
Sample Count,2645
Auto Range:,On
Auto Zero:,On
Measurement:, Resistance (2W) 
NPLC:,10
Null State:,False
Null Value(Ω):,0
Range(Ω):,100000
,
Time (s),Channel 1 (Ω)
2026-08-19 13:18:54.173,33274.0842
2026-08-19 13:18:54.589,33274.0238
2026-08-19 13:18:55.001,33272.7217
2026-08-19 13:18:55.441,33270.6565
2026-08-19 13:18:55.856,33268.819
2026-08-19 13:18:56.276,33269.9323
2026-08-19 13:18:56.703,33269.9081
2026-08-19 13:18:57.116,33268.2238
2026-08-19 13:18:57.558,33264.9237
2026-08-19 13:18:57.971,33265.2611
2026-08-19 13:18:58.399,33264.1523
2026-08-19 13:18:58.817,33261.062
2026-08-19 13:18:59.234,33259.0901
2026-08-19 13:18:59.677,33256.1108
2026-08-19 13:19:00.088,33254.0556
2026-08-19 13:19:00.502,33252.7832
2026-08-19 13:19:00.930,33252.6202
2026-08-19 13:19:01.343,33256.455
2026-08-19 13:19:01.767,33256.6413
2026-08-19 13:19:02.180,33257.4099
2026-08-19 13:19:02.612,33255.4974
2026-08-19 13:19:03.028,33256.363
2026-08-19 13:19:03.441,33255.4654
2026-08-19 13:19:03.854,33255.2665
2026-08-19 13:19:04.326,33256.3746
2026-08-19 13:19:04.747,33255.0356
2026-08-19 13:19:05.170,33254.3827
2026-08-19 13:19:05.596,33251.4737
2026-08-19 13:19:06.010,33252.9811
2026-08-19 13:19:06.425,33253.1054
2026-08-19 13:19:06.838,33254.6607
2026-08-19 13:19:07.273,33253.7098
2026-08-19 13:19:07.685,33252.324
2026-08-19 13:19:08.098,33252.5754
2026-08-19 13:19:08.515,33253.0222
2026-08-19 13:19:08.928,33252.7516
2026-08-19 13:19:09.341,33251.6498
2026-08-19 13:19:09.820,33249.6741
2026-08-19 13:19:10.233,33247.7494
2026-08-19 13:19:10.647,33248.3882
2026-08-19 13:19:11.061,33248.5181
2026-08-19 13:19:11.490,33249.597
2026-08-19 13:19:11.914,33250.1447
2026-08-19 13:19:12.327,33250.6598
2026-08-19 13:19:12.752,33250.4291
2026-08-19 13:19:13.166,33250.0248
2026-08-19 13:19:13.581,33249.5255
2026-08-19 13:19:14.044,33249.7899
2026-08-19 13:19:14.478,33249.7669
2026-08-19 13:19:14.890,33248.659
2026-08-19 13:19:15.303,33247.317
2026-08-19 13:19:15.716,33245.2046
2026-08-19 13:19:16.149,33244.7799
2026-08-19 13:19:16.570,33242.514
2026-08-19 13:19:16.983,33241.6944
2026-08-19 13:19:17.395,33241.8316
2026-08-19 13:19:17.818,33240.8922
2026-08-19 13:19:18.231,33240.0703
2026-08-19 13:19:18.657,33242.1696
2026-08-19 13:19:19.102,33241.2198
2026-08-19 13:19:19.528,33241.7431
2026-08-19 13:19:19.940,33240.5187
2026-08-19 13:19:20.352,33239.6425
2026-08-19 13:19:20.771,33234.9945
2026-08-19 13:19:21.203,33230.5878
2026-08-19 13:19:21.615,33228.5841
2026-08-19 13:19:22.041,33226.743
