Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-19 13:50:41.053
Stop Time,2026-08-19 14:49:23.724
,
Time (s),Channel 1 (Ω)
2026-08-19 13:50:41.580,33044.6504
2026-08-19 13:50:42.045,33043.9999
2026-08-19 13:50:42.458,33043.5897
2026-08-19 13:50:42.884,33043.2168
2026-08-19 13:50:43.298,33042.8699
2026-08-19 13:50:43.712,33042.5301
2026-08-19 13:50:44.172,33042.1441
2026-08-19 13:50:44.596,33042.8089
2026-08-19 13:50:45.010,33043.482
2026-08-19 13:50:45.422,33043.1651
2026-08-19 13:50:45.848,33043.3228
2026-08-19 13:50:46.265,33042.604
2026-08-19 13:50:46.704,33042.1286
2026-08-19 13:50:47.124,33040.8798
2026-08-19 13:50:47.540,33039.3557
2026-08-19 13:50:47.954,33035.4614
2026-08-19 13:50:48.366,33034.3835
2026-08-19 13:50:48.778,33035.5276
2026-08-19 13:50:49.223,33035.7552
2026-08-19 13:50:49.651,33035.2506
2026-08-19 13:50:50.071,33034.8354
2026-08-19 13:50:50.536,33034.4516
2026-08-19 13:50:50.965,33033.4244
2026-08-19 13:50:51.379,33032.5264
2026-08-19 13:50:51.795,33032.0704
2026-08-19 13:50:52.208,33031.674
2026-08-19 13:50:52.621,33031.379
2026-08-19 13:50:53.035,33030.7626
2026-08-19 13:50:53.449,33030.0708
2026-08-19 13:50:53.876,33029.2259
2026-08-19 13:50:54.291,33028.0199
2026-08-19 13:50:54.708,33027.4518
2026-08-19 13:50:55.122,33027.2742
2026-08-19 13:50:55.551,33031.254
2026-08-19 13:50:55.993,33031.8387
2026-08-19 13:50:56.406,33031.1763
2026-08-19 13:50:56.819,33030.6453
2026-08-19 13:50:57.233,33030.9889
2026-08-19 13:50:57.645,33030.8283
2026-08-19 13:50:58.065,33032.1478
2026-08-19 13:50:58.479,33034.3673
2026-08-19 13:50:58.893,33035.4489
2026-08-19 13:50:59.314,33035.9726
2026-08-19 13:50:59.727,33035.6025
2026-08-19 13:51:00.155,33033.5749
2026-08-19 13:51:00.569,33031.4922
2026-08-19 13:51:00.981,33029.5763
2026-08-19 13:51:01.397,33028.629
2026-08-19 13:51:01.814,33027.1937
2026-08-19 13:51:02.226,33026.6301
2026-08-19 13:51:02.646,33028.6789
2026-08-19 13:51:03.060,33029.5628
2026-08-19 13:51:03.472,33029.2714
2026-08-19 13:51:03.885,33028.793
2026-08-19 13:51:04.298,33028.0333
2026-08-19 13:51:04.725,33027.4374
2026-08-19 13:51:05.218,33026.5328
2026-08-19 13:51:05.631,33026.1772
2026-08-19 13:51:06.063,33024.9661
2026-08-19 13:51:06.482,33024.6942
2026-08-19 13:51:06.914,33024.4098
2026-08-19 13:51:07.331,33024.4476
2026-08-19 13:51:07.744,33024.7196
2026-08-19 13:51:08.158,33024.6028
2026-08-19 13:51:08.569,33024.5772
2026-08-19 13:51:09.035,33024.3939
2026-08-19 13:51:09.449,33024.7928
2026-08-19 13:51:09.861,33025.356
2026-08-19 13:51:10.274,33025.4434
2026-08-19 13:51:10.701,33025.4219
2026-08-19 13:51:11.113,33025.2084
