Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-20 12:49:05.868
Stop Time,2026-08-20 13:15:45.315
,
Time (s),Channel 1 (Ω)
2026-08-20 12:49:06.409,28906.4441
2026-08-20 12:49:06.825,28953.8533
2026-08-20 12:49:07.239,28995.4037
2026-08-20 12:49:07.651,29036.2673
2026-08-20 12:49:08.075,29080.6307
2026-08-20 12:49:08.536,29127.6311
2026-08-20 12:49:08.961,29167.9479
2026-08-20 12:49:09.380,29200.8024
2026-08-20 12:49:09.793,29236.5828
2026-08-20 12:49:10.266,29281.1941
2026-08-20 12:49:10.682,29329.4529
2026-08-20 12:49:11.116,29370.8819
2026-08-20 12:49:11.587,29412.8148
2026-08-20 12:49:11.999,29459.0554
2026-08-20 12:49:12.413,29496.0146
2026-08-20 12:49:12.827,29530.7839
2026-08-20 12:49:13.239,29570.7307
2026-08-20 12:49:13.701,29611.8127
2026-08-20 12:49:14.114,29650.6305
2026-08-20 12:49:14.527,29687.543
2026-08-20 12:49:14.940,29722.7682
2026-08-20 12:49:15.358,29756.1786
2026-08-20 12:49:15.819,29802.0937
2026-08-20 12:49:16.232,29841.9641
2026-08-20 12:49:16.644,29873.8338
2026-08-20 12:49:17.062,29904.6975
2026-08-20 12:49:17.480,29939.1036
2026-08-20 12:49:17.941,29978.5696
2026-08-20 12:49:18.358,30014.0437
2026-08-20 12:49:18.786,30044.5367
2026-08-20 12:49:19.249,30074.723
2026-08-20 12:49:19.675,30106.3346
2026-08-20 12:49:20.091,30145.3489
2026-08-20 12:49:20.503,30176.396
2026-08-20 12:49:20.982,30211.5302
2026-08-20 12:49:21.395,30242.5764
2026-08-20 12:49:21.808,30267.8979
2026-08-20 12:49:22.233,30294.9992
2026-08-20 12:49:22.704,30331.2201
2026-08-20 12:49:23.117,30365.1593
2026-08-20 12:49:23.540,30390.2279
2026-08-20 12:49:24.001,30421.7372
2026-08-20 12:49:24.413,30451.9256
2026-08-20 12:49:24.840,30481.8955
2026-08-20 12:49:25.253,30514.2753
2026-08-20 12:49:25.718,30542.9114
2026-08-20 12:49:26.151,30569.8372
2026-08-20 12:49:26.564,30594.246
2026-08-20 12:49:26.991,30619.2252
2026-08-20 12:49:27.455,30646.0774
2026-08-20 12:49:27.869,30668.3697
2026-08-20 12:49:28.343,30687.1258
2026-08-20 12:49:28.756,30715.4694
2026-08-20 12:49:29.184,30745.4307
2026-08-20 12:49:29.596,30769.6013
2026-08-20 12:49:30.008,30795.1362
2026-08-20 12:49:30.433,30815.8355
2026-08-20 12:49:30.881,30831.9082
2026-08-20 12:49:31.293,30854.3689
2026-08-20 12:49:31.719,30886.3419
2026-08-20 12:49:32.184,30912.6915
2026-08-20 12:49:32.597,30948.137
2026-08-20 12:49:33.010,30964.3487
2026-08-20 12:49:33.423,30979.1602
2026-08-20 12:49:33.851,31003.6398
2026-08-20 12:49:34.318,31027.6702
2026-08-20 12:49:34.731,31052.0124
2026-08-20 12:49:35.145,31075.98
2026-08-20 12:49:35.563,31104.8527
2026-08-20 12:49:35.975,31128.1898
2026-08-20 12:49:36.441,31151.1603
