Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-20 15:35:13.417
Stop Time,2026-08-20 16:33:50.697
,
Time (s),Channel 1 (Ω)
2026-08-20 15:35:13.905,27746.4925
2026-08-20 15:35:14.329,27745.8536
2026-08-20 15:35:14.749,27745.251
2026-08-20 15:35:15.168,27744.6146
2026-08-20 15:35:15.580,27744.1482
2026-08-20 15:35:16.044,27743.596
2026-08-20 15:35:16.457,27742.9237
2026-08-20 15:35:16.871,27742.3966
2026-08-20 15:35:17.282,27741.9403
2026-08-20 15:35:17.703,27741.6927
2026-08-20 15:35:18.117,27741.2225
2026-08-20 15:35:18.546,27741.0015
2026-08-20 15:35:18.959,27740.8637
2026-08-20 15:35:19.371,27740.8756
2026-08-20 15:35:19.824,27740.6329
2026-08-20 15:35:20.246,27740.1811
2026-08-20 15:35:20.660,27736.4685
2026-08-20 15:35:21.073,27726.5528
2026-08-20 15:35:21.485,27723.3905
2026-08-20 15:35:21.899,27721.931
2026-08-20 15:35:22.327,27721.0306
2026-08-20 15:35:22.756,27720.7582
2026-08-20 15:35:23.176,27720.7042
2026-08-20 15:35:23.597,27720.9678
2026-08-20 15:35:24.009,27721.2742
2026-08-20 15:35:24.436,27721.6012
2026-08-20 15:35:24.902,27722.5437
2026-08-20 15:35:25.314,27723.3658
2026-08-20 15:35:25.726,27724.2053
2026-08-20 15:35:26.148,27724.8441
2026-08-20 15:35:26.564,27725.33
2026-08-20 15:35:26.984,27725.3929
2026-08-20 15:35:27.405,27725.5857
2026-08-20 15:35:27.818,27725.3164
2026-08-20 15:35:28.230,27725.2564
2026-08-20 15:35:28.648,27725.386
2026-08-20 15:35:29.060,27724.8663
2026-08-20 15:35:29.480,27724.4464
2026-08-20 15:35:29.901,27724.7777
2026-08-20 15:35:30.314,27724.8906
2026-08-20 15:35:30.780,27724.9118
2026-08-20 15:35:31.206,27724.874
2026-08-20 15:35:31.632,27724.7858
2026-08-20 15:35:32.044,27724.785
2026-08-20 15:35:32.477,27724.6579
2026-08-20 15:35:32.889,27724.6904
2026-08-20 15:35:33.303,27724.7829
2026-08-20 15:35:33.720,27724.6574
2026-08-20 15:35:34.132,27724.5335
2026-08-20 15:35:34.555,27724.1873
2026-08-20 15:35:34.968,27724.0733
2026-08-20 15:35:35.389,27724.0141
2026-08-20 15:35:35.851,27723.9158
2026-08-20 15:35:36.287,27724.1001
2026-08-20 15:35:36.700,27724.3069
2026-08-20 15:35:37.114,27724.4852
2026-08-20 15:35:37.527,27724.5049
2026-08-20 15:35:37.972,27724.5269
2026-08-20 15:35:38.385,27724.5132
2026-08-20 15:35:38.807,27724.4685
2026-08-20 15:35:39.221,27724.4957
2026-08-20 15:35:39.632,27724.4665
2026-08-20 15:35:40.058,27724.1313
2026-08-20 15:35:40.486,27723.8863
2026-08-20 15:35:40.915,27723.4671
2026-08-20 15:35:41.337,27723.0366
2026-08-20 15:35:41.751,27722.7454
2026-08-20 15:35:42.169,27722.5739
2026-08-20 15:35:42.585,27722.2463
2026-08-20 15:35:42.997,27722.0422
2026-08-20 15:35:43.429,27721.8918
