Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-20 20:10:01.539
Stop Time,2026-08-20 21:05:19.543
,
Time (s),Channel 1 (Ω)
2026-08-20 20:10:02.026,22634.8527
2026-08-20 20:10:02.471,22635.4546
2026-08-20 20:10:02.883,22635.8983
2026-08-20 20:10:03.310,22636.4849
2026-08-20 20:10:03.737,22636.9689
2026-08-20 20:10:04.159,22637.534
2026-08-20 20:10:04.654,22638.3566
2026-08-20 20:10:05.066,22638.8165
2026-08-20 20:10:05.535,22639.7362
2026-08-20 20:10:05.957,22640.0964
2026-08-20 20:10:06.371,22640.745
2026-08-20 20:10:06.794,22641.3644
2026-08-20 20:10:07.208,22642.0113
2026-08-20 20:10:07.657,22642.7273
2026-08-20 20:10:08.070,22643.255
2026-08-20 20:10:08.484,22643.9574
2026-08-20 20:10:08.912,22644.4927
2026-08-20 20:10:09.338,22645.0842
2026-08-20 20:10:09.801,22645.8719
2026-08-20 20:10:10.240,22646.3836
2026-08-20 20:10:10.651,22646.9515
2026-08-20 20:10:11.064,22647.5616
2026-08-20 20:10:11.477,22648.193
2026-08-20 20:10:11.889,22648.7468
2026-08-20 20:10:12.302,22649.361
2026-08-20 20:10:12.716,22649.7572
2026-08-20 20:10:13.128,22650.2243
2026-08-20 20:10:13.547,22650.8197
2026-08-20 20:10:13.973,22651.3584
2026-08-20 20:10:14.392,22651.9346
2026-08-20 20:10:14.805,22652.5612
2026-08-20 20:10:15.234,22653.125
2026-08-20 20:10:15.671,22653.696
2026-08-20 20:10:16.091,22654.3119
2026-08-20 20:10:16.509,22654.7913
2026-08-20 20:10:16.925,22655.4022
2026-08-20 20:10:17.339,22656.0937
2026-08-20 20:10:17.766,22656.7021
2026-08-20 20:10:18.178,22657.2972
2026-08-20 20:10:18.599,22657.96
2026-08-20 20:10:19.011,22658.5193
2026-08-20 20:10:19.436,22659.0276
2026-08-20 20:10:19.940,22659.7502
2026-08-20 20:10:20.414,22660.3672
2026-08-20 20:10:20.830,22660.9861
2026-08-20 20:10:21.244,22661.5205
2026-08-20 20:10:21.662,22662.1165
2026-08-20 20:10:22.090,22662.7286
2026-08-20 20:10:22.502,22663.3019
2026-08-20 20:10:22.940,22664.0103
2026-08-20 20:10:23.353,22664.577
2026-08-20 20:10:23.764,22665.0479
2026-08-20 20:10:24.191,22665.6632
2026-08-20 20:10:24.604,22666.3124
2026-08-20 20:10:25.016,22666.9115
2026-08-20 20:10:25.429,22667.5159
2026-08-20 20:10:25.843,22667.9155
2026-08-20 20:10:26.255,22668.4601
2026-08-20 20:10:26.699,22669.0222
2026-08-20 20:10:27.111,22669.6026
2026-08-20 20:10:27.544,22670.0349
2026-08-20 20:10:27.955,22670.5793
2026-08-20 20:10:28.367,22671.3621
2026-08-20 20:10:28.780,22671.7373
2026-08-20 20:10:29.195,22672.3204
2026-08-20 20:10:29.660,22672.8324
2026-08-20 20:10:30.077,22673.4432
2026-08-20 20:10:30.495,22674.1052
2026-08-20 20:10:30.908,22674.6977
2026-08-20 20:10:31.322,22675.2109
2026-08-20 20:10:31.822,22675.6921
