Address,GPIB0::22::INSTR
Model,34461A
Serial Number:,MY60051737
Firmware Version,A.03.03-03.15-03.03-00.52-04-03
Start Time,2026-08-21 15:39:11.399
Stop Time,2026-08-21 16:16:22.927
,
Time (s),Channel 1 (Ω)
2026-08-21 15:39:11.881,25028.5445
2026-08-21 15:39:12.374,25029.4897
2026-08-21 15:39:12.787,25030.1092
2026-08-21 15:39:13.225,25030.7842
2026-08-21 15:39:13.642,25031.7697
2026-08-21 15:39:14.076,25031.9998
2026-08-21 15:39:14.489,25032.9655
2026-08-21 15:39:14.915,25034.0172
2026-08-21 15:39:15.328,25034.1802
2026-08-21 15:39:15.791,25035.0521
2026-08-21 15:39:16.211,25034.1752
2026-08-21 15:39:16.629,25034.629
2026-08-21 15:39:17.041,25035.798
2026-08-21 15:39:17.454,25036.9382
2026-08-21 15:39:17.916,25036.9921
2026-08-21 15:39:18.334,25037.3927
2026-08-21 15:39:18.748,25038.1723
2026-08-21 15:39:19.161,25038.8452
2026-08-21 15:39:19.574,25039.1692
2026-08-21 15:39:20.001,25039.7362
2026-08-21 15:39:20.436,25040.756
2026-08-21 15:39:20.848,25041.6722
2026-08-21 15:39:21.261,25042.9968
2026-08-21 15:39:21.673,25043.6985
2026-08-21 15:39:22.087,25044.2712
2026-08-21 15:39:22.499,25046.0119
2026-08-21 15:39:22.920,25046.4443
2026-08-21 15:39:23.333,25048.4597
2026-08-21 15:39:23.744,25049.8318
2026-08-21 15:39:24.157,25050.6254
2026-08-21 15:39:24.586,25052.0464
2026-08-21 15:39:25.011,25053.8123
2026-08-21 15:39:25.425,25054.2833
2026-08-21 15:39:25.838,25055.2223
2026-08-21 15:39:26.250,25055.8112
2026-08-21 15:39:26.664,25057.7396
2026-08-21 15:39:27.078,25059.2458
2026-08-21 15:39:27.491,25059.5657
2026-08-21 15:39:27.963,25059.8084
2026-08-21 15:39:28.423,25060.3855
2026-08-21 15:39:28.835,25060.9093
2026-08-21 15:39:29.248,25061.8184
2026-08-21 15:39:29.670,25064.308
2026-08-21 15:39:30.105,25065.8497
2026-08-21 15:39:30.521,25069.0459
2026-08-21 15:39:30.942,25069.4082
2026-08-21 15:39:31.355,25070.3613
2026-08-21 15:39:31.768,25071.1546
2026-08-21 15:39:32.233,25069.9234
2026-08-21 15:39:32.646,25068.6223
2026-08-21 15:39:33.073,25067.2026
2026-08-21 15:39:33.500,25066.485
2026-08-21 15:39:33.913,25066.6864
2026-08-21 15:39:34.336,25067.9015
2026-08-21 15:39:34.830,25074.1727
2026-08-21 15:39:35.243,25080.5789
2026-08-21 15:39:35.655,25085.7507
2026-08-21 15:39:36.123,25078.1443
2026-08-21 15:39:36.557,25072.6291
2026-08-21 15:39:36.970,25071.3547
2026-08-21 15:39:37.382,25070.461
2026-08-21 15:39:37.795,25070.5137
2026-08-21 15:39:38.206,25070.9033
2026-08-21 15:39:38.644,25070.8436
2026-08-21 15:39:39.056,25071.0384
2026-08-21 15:39:39.468,25071.7072
2026-08-21 15:39:39.881,25072.2617
2026-08-21 15:39:40.294,25072.4325
2026-08-21 15:39:40.784,25072.6309
2026-08-21 15:39:41.198,25072.9457
2026-08-21 15:39:41.610,25072.4001
